Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
55	-13	13	913	55	-13	13	913	55	-13	13	913	55	-13	13	913	55	-13	13	913	55	-13	13	913	55	-13	13	913	55	-13	13	913	55	-13	13	913	55	-13	13	913	55	-13	13	913	55	-13	13	913	55	-13	13	913	55	-13	13	913	55	-13	13	913	55	-13	13	913	55	-13	13	913	55	-13	13	913	55	-13	13	913	55	-13	13	913	55	-13	13	913	55	-13	13	913	55	-13	13	913	55	-13	13	913	55	-13	13	913	55	-13	13	913
56	-13	13	926	56	-13	13	926	56	-13	13	926	56	-13	13	926	56	-13	13	926	56	-13	13	926	56	-13	13	926	56	-13	13	926	56	-13	13	926	56	-13	13	926	56	-13	13	926	56	-13	13	926	56	-13	13	926	56	-13	13	926	56	-13	13	926	56	-13	13	926	56	-13	13	926	56	-13	13	926	56	-13	13	926	56	-13	13	926	56	-13	13	926	56	-13	13	926	56	-13	13	926	56	-13	13	926	56	-13	13	926	56	-13	13	926
57	-13	13	939	57	-13	13	939	57	-13	13	939	57	-13	13	939	57	-13	13	939	57	-13	13	939	57	-13	13	939	57	-13	13	939	57	-13	13	939	57	-13	13	939	57	-13	13	939	57	-13	13	939	57	-13	13	939	57	-13	13	939	57	-13	13	939	57	-13	13	939	57	-13	13	939	57	-13	13	939	57	-13	13	939	57	-13	13	939	57	-13	13	939	57	-13	13	939	57	-13	13	939	57	-13	13	939	57	-13	13	939	57	-13	13	939
58	-17	17	956	58	-17	17	956	58	-17	17	956	58	-17	17	956	58	-17	17	956	58	-17	17	956	58	-17	17	956	58	-17	17	956	58	-17	17	956	58	-17	17	956	58	-17	17	956	58	-17	17	956	58	-17	17	956	58	-17	17	956	58	-17	17	956	58	-17	17	956	58	-17	17	956	58	-17	17	956	58	-17	17	956	58	-17	17	956	58	-17	17	956	58	-17	17	956	58	-17	17	956	58	-17	17	956	58	-17	17	956	58	-17	17	956
59	-17	17	973	59	-17	17	973	59	-17	17	973	59	-17	17	973	59	-17	17	973	59	-17	17	973	59	-17	17	973	59	-17	17	973	59	-17	17	973	59	-17	17	973	59	-17	17	973	59	-17	17	973	59	-17	17	973	59	-17	17	973	59	-17	17	973	59	-17	17	973	59	-17	17	973	59	-17	17	973	59	-17	17	973	59	-17	17	973	59	-17	17	973	59	-17	17	973	59	-17	17	973	59	-17	17	973	59	-17	17	973	59	-17	17	973
60	-13	13	986	60	-13	13	986	60	-13	13	986	60	-13	13	986	60	-13	13	986	60	-13	13	986	60	-13	13	986	60	-13	13	986	60	-13	13	986	60	-13	13	986	60	-13	13	986	60	-13	13	986	60	-13	13	986	60	-13	13	986	60	-13	13	986	60	-13	13	986	60	-13	13	986	60	-13	13	986	60	-13	13	986	60	-13	13	986	60	-13	13	986	60	-13	13	986	60	-13	13	986	60	-13	13	986	60	-13	13	986	60	-13	13	986
61	-13	13	999	61	-13	13	999	61	-13	13	999	61	-13	13	999	61	-13	13	999	61	-13	13	999	61	-13	13	999	61	-13	13	999	61	-13	13	999	61	-13	13	999	61	-13	13	999	61	-13	13	999	61	-13	13	999	61	-13	13	999	61	-13	13	999	61	-13	13	999	61	-13	13	999	61	-13	13	999	61	-13	13	999	61	-13	13	999	61	-13	13	999	61	-13	13	999	61	-13	13	999	61	-13	13	999	61	-13	13	999	61	-13	13	999
62	-17	17	1016	62	-17	17	1016	62	-17	17	1016	62	-17	17	1016	62	-17	17	1016	62	-17	17	1016	62	-17	17	1016	62	-17	17	1016	62	-17	17	1016	62	-17	17	1016	62	-17	17	1016	62	-17	17	1016	62	-17	17	1016	62	-17	17	1016	62	-17	17	1016	62	-17	17	1016	62	-17	17	1016	62	-17	17	1016	62	-17	17	1016	62	-17	17	1016	62	-17	17	1016	62	-17	17	1016	62	-17	17	1016	62	-17	17	1016	62	-17	17	1016	62	-17	17	1016
63	-15	15	1031	63	-15	15	1031	63	-15	15	1031	63	-15	15	1031	63	-15	15	1031	63	-15	15	1031	63	-15	15	1031	63	-15	15	1031	63	-15	15	1031	63	-15	15	1031	63	-15	15	1031	63	-15	15	1031	63	-15	15	1031	63	-15	15	1031	63	-15	15	1031	63	-15	15	1031	63	-15	15	1031	63	-15	15	1031	63	-15	15	1031	63	-15	15	1031	63	-15	15	1031	63	-15	15	1031	63	-15	15	1031	63	-15	15	1031	63	-15	15	1031	63	-15	15	1031
64	-224	26	1057	64	-224	26	1057	64	-224	26	1057	64	-224	26	1057	64	-224	26	1057	64	-224	26	1057	64	-224	26	1057	64	-224	26	1057	64	-224	26	1057	64	-224	26	1057	64	-224	26	1057	64	-224	26	1057	64	-224	26	1057	64	-224	26	1057	64	-224	26	1057	64	-224	26	1057	64	-224	26	1057	64	-224	26	1057	64	-224	26	1057	64	-224	26	1057	64	-224	26	1057	64	-224	26	1057	64	-224	26	1057	64	-224	26	1057	64	-224	26	1057	64	-224	26	1057
65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070
66	-15	15	1085	66	-15	15	1085	66	-15	15	1085	66	-15	15	1085	66	-15	15	1085	66	-15	15	1085	66	-15	15	1085	66	-15	15	1085	66	-15	15	1085	66	-15	15	1085	66	-15	15	1085	66	-15	15	1085	66	-15	15	1085	66	-15	15	1085	66	-15	15	1085	66	-15	15	1085	66	-15	15	1085	66	-15	15	1085	66	-15	15	1085	66	-15	15	1085	66	-15	15	1085	66	-15	15	1085	66	-15	15	1085	66	-15	15	1085	66	-15	15	1085	66	-15	15	1085
67	-13	13	1098	67	-13	13	1098	67	-13	13	1098	67	-13	13	1098	67	-13	13	1098	67	-13	13	1098	67	-13	13	1098	67	-13	13	1098	67	-13	13	1098	67	-13	13	1098	67	-13	13	1098	67	-13	13	1098	67	-13	13	1098	67	-13	13	1098	67	-13	13	1098	67	-13	13	1098	67	-13	13	1098	67	-13	13	1098	67	-13	13	1098	67	-13	13	1098	67	-13	13	1098	67	-13	13	1098	67	-13	13	1098	67	-13	13	1098	67	-13	13	1098	67	-13	13	1098
68	-121	22	1120	68	-121	22	1120	68	-121	22	1120	68	-121	22	1120	68	-121	22	1120	68	-121	22	1120	68	-121	22	1120	68	-121	22	1120	68	-121	22	1120	68	-121	22	1120	68	-121	22	1120	68	-121	22	1120	68	-121	22	1120	68	-121	22	1120	68	-121	22	1120	68	-121	22	1120	68	-121	22	1120	68	-121	22	1120	68	-121	22	1120	68	-121	22	1120	68	-121	22	1120	68	-121	22	1120	68	-121	22	1120	68	-121	22	1120	68	-121	22	1120	68	-121	22	1120
69	-13	13	1133	69	-13	13	1133	69	-13	13	1133	69	-13	13	1133	69	-13	13	1133	69	-13	13	1133	69	-13	13	1133	69	-13	13	1133	69	-13	13	1133	69	-13	13	1133	69	-13	13	1133	69	-13	13	1133	69	-13	13	1133	69	-13	13	1133	69	-13	13	1133	69	-13	13	1133	69	-13	13	1133	69	-13	13	1133	69	-13	13	1133	69	-13	13	1133	69	-13	13	1133	69	-13	13	1133	69	-13	13	1133	69	-13	13	1133	69	-13	13	1133	69	-13	13	1133
70	-227	29	1162	70	-227	29	1162	70	-227	29	1162	70	-227	29	1162	70	-227	29	1162	70	-227	29	1162	70	-227	29	1162	70	-227	29	1162	70	-227	29	1162	70	-227	29	1162	70	-227	29	1162	70	-227	29	1162	70	-227	29	1162	70	-227	29	1162	70	-227	29	1162	70	-227	29	1162	70	-227	29	1162	70	-227	29	1162	70	-227	29	1162	70	-227	29	1162	70	-227	29	1162	70	-227	29	1162	70	-227	29	1162	70	-227	29	1162	70	-227	29	1162	70	-227	29	1162
71	-15	15	1177	71	-15	15	1177	71	-15	15	1177	71	-15	15	1177	71	-15	15	1177	71	-15	15	1177	71	-15	15	1177	71	-15	15	1177	71	-15	15	1177	71	-15	15	1177	71	-15	15	1177	71	-15	15	1177	71	-15	15	1177	71	-15	15	1177	71	-15	15	1177	71	-15	15	1177	71	-15	15	1177	71	-15	15	1177	71	-15	15	1177	71	-15	15	1177	71	-15	15	1177	71	-15	15	1177	71	-15	15	1177	71	-15	15	1177	71	-15	15	1177	71	-15	15	1177
72	-13	13	1190	72	-13	13	1190	72	-13	13	1190	72	-13	13	1190	72	-13	13	1190	72	-13	13	1190	72	-13	13	1190	72	-13	13	1190	72	-13	13	1190	72	-13	13	1190	72	-13	13	1190	72	-13	13	1190	72	-13	13	1190	72	-13	13	1190	72	-13	13	1190	72	-13	13	1190	72	-13	13	1190	72	-13	13	1190	72	-13	13	1190	72	-13	13	1190	72	-13	13	1190	72	-13	13	1190	72	-13	13	1190	72	-13	13	1190	72	-13	13	1190	72	-13	13	1190
73	-13	13	1203	73	-13	13	1203	73	-13	13	1203	73	-13	13	1203	73	-13	13	1203	73	-13	13	1203	73	-13	13	1203	73	-13	13	1203	73	-13	13	1203	73	-13	13	1203	73	-13	13	1203	73	-13	13	1203	73	-13	13	1203	73	-13	13	1203	73	-13	13	1203	73	-13	13	1203	73	-13	13	1203	73	-13	13	1203	73	-13	13	1203	73	-13	13	1203	73	-13	13	1203	73	-13	13	1203	73	-13	13	1203	73	-13	13	1203	73	-13	13	1203	73	-13	13	1203
74	-13	13	1216	74	-13	13	1216	74	-13	13	1216	74	-13	13	1216	74	-13	13	1216	74	-13	13	1216	74	-13	13	1216	74	-13	13	1216	74	-13	13	1216	74	-13	13	1216	74	-13	13	1216	74	-13	13	1216	74	-13	13	1216	74	-13	13	1216	74	-13	13	1216	74	-13	13	1216	74	-13	13	1216	74	-13	13	1216	74	-13	13	1216	74	-13	13	1216	74	-13	13	1216	74	-13	13	1216	74	-13	13	1216	74	-13	13	1216	74	-13	13	1216	74	-13	13	1216
75	-13	13	1229	75	-13	13	1229	75	-13	13	1229	75	-13	13	1229	75	-13	13	1229	75	-13	13	1229	75	-13	13	1229	75	-13	13	1229	75	-13	13	1229	75	-13	13	1229	75	-13	13	1229	75	-13	13	1229	75	-13	13	1229	75	-13	13	1229	75	-13	13	1229	75	-13	13	1229	75	-13	13	1229	75	-13	13	1229	75	-13	13	1229	75	-13	13	1229	75	-13	13	1229	75	-13	13	1229	75	-13	13	1229	75	-13	13	1229	75	-13	13	1229	75	-13	13	1229
76	-121	22	1251	76	-121	22	1251	76	-121	22	1251	76	-121	22	1251	76	-121	22	1251	76	-121	22	1251	76	-121	22	1251	76	-121	22	1251	76	-121	22	1251	76	-121	22	1251	76	-121	22	1251	76	-121	22	1251	76	-121	22	1251	76	-121	22	1251	76	-121	22	1251	76	-121	22	1251	76	-121	22	1251	76	-121	22	1251	76	-121	22	1251	76	-121	22	1251	76	-121	22	1251	76	-121	22	1251	76	-121	22	1251	76	-121	22	1251	76	-121	22	1251	76	-121	22	1251
77	-13	13	1264	77	-13	13	1264	77	-13	13	1264	77	-13	13	1264	77	-13	13	1264	77	-13	13	1264	77	-13	13	1264	77	-13	13	1264	77	-13	13	1264	77	-13	13	1264	77	-13	13	1264	77	-13	13	1264	77	-13	13	1264	77	-13	13	1264	77	-13	13	1264	77	-13	13	1264	77	-13	13	1264	77	-13	13	1264	77	-13	13	1264	77	-13	13	1264	77	-13	13	1264	77	-13	13	1264	77	-13	13	1264	77	-13	13	1264	77	-13	13	1264	77	-13	13	1264
78	-13	13	1277	78	-13	13	1277	78	-13	13	1277	78	-13	13	1277	78	-13	13	1277	78	-13	13	1277	78	-13	13	1277	78	-13	13	1277	78	-13	13	1277	78	-13	13	1277	78	-13	13	1277	78	-13	13	1277	78	-13	13	1277	78	-13	13	1277	78	-13	13	1277	78	-13	13	1277	78	-13	13	1277	78	-13	13	1277	78	-13	13	1277	78	-13	13	1277	78	-13	13	1277	78	-13	13	1277	78	-13	13	1277	78	-13	13	1277	78	-13	13	1277	78	-13	13	1277
79	-13	13	1290	79	-13	13	1290	79	-13	13	1290	79	-13	13	1290	79	-13	13	1290	79	-13	13	1290	79	-13	13	1290	79	-13	13	1290	79	-13	13	1290	79	-13	13	1290	79	-13	13	1290	79	-13	13	1290	79	-13	13	1290	79	-13	13	1290	79	-13	13	1290	79	-13	13	1290	79	-13	13	1290	79	-13	13	1290	79	-13	13	1290	79	-13	13	1290	79	-13	13	1290	79	-13	13	1290	79	-13	13	1290	79	-13	13	1290	79	-13	13	1290	79	-13	13	1290
80	-15	15	1305	80	-15	15	1305	80	-15	15	1305	80	-15	15	1305	80	-15	15	1305	80	-15	15	1305	80	-15	15	1305	80	-15	15	1305	80	-15	15	1305	80	-15	15	1305	80	-15	15	1305	80	-15	15	1305	80	-15	15	1305	80	-15	15	1305	80	-15	15	1305	80	-15	15	1305	80	-15	15	1305	80	-15	15	1305	80	-15	15	1305	80	-15	15	1305	80	-15	15	1305	80	-15	15	1305	80	-15	15	1305	80	-15	15	1305	80	-15	15	1305	80	-15	15	1305
81	-13	13	1318	81	-13	13	1318	81	-13	13	1318	81	-13	13	1318	81	-13	13	1318	81	-13	13	1318	81	-13	13	1318	81	-13	13	1318	81	-13	13	1318	81	-13	13	1318	81	-13	13	1318	81	-13	13	1318	81	-13	13	1318	81	-13	13	1318	81	-13	13	1318	81	-13	13	1318	81	-13	13	1318	81	-13	13	1318	81	-13	13	1318	81	-13	13	1318	81	-13	13	1318	81	-13	13	1318	81	-13	13	1318	81	-13	13	1318	81	-13	13	1318	81	-13	13	1318
82	-13	13	1331	82	-13	13	1331	82	-13	13	1331	82	-13	13	1331	82	-13	13	1331	82	-13	13	1331	82	-13	13	1331	82	-13	13	1331	82	-13	13	1331	82	-13	13	1331	82	-13	13	1331	82	-13	13	1331	82	-13	13	1331	82	-13	13	1331	82	-13	13	1331	82	-13	13	1331	82	-13	13	1331	82	-13	13	1331	82	-13	13	1331	82	-13	13	1331	82	-13	13	1331	82	-13	13	1331	82	-13	13	1331	82	-13	13	1331	82	-13	13	1331	82	-13	13	1331
83	-17	17	1348	83	-17	17	1348	83	-17	17	1348	83	-17	17	1348	83	-17	17	1348	83	-17	17	1348	83	-17	17	1348	83	-17	17	1348	83	-17	17	1348	83	-17	17	1348	83	-17	17	1348	83	-17	17	1348	83	-17	17	1348	83	-17	17	1348	83	-17	17	1348	83	-17	17	1348	83	-17	17	1348	83	-17	17	1348	83	-17	17	1348	83	-17	17	1348	83	-17	17	1348	83	-17	17	1348	83	-17	17	1348	83	-17	17	1348	83	-17	17	1348	83	-17	17	1348
84	-17	17	1365	84	-17	17	1365	84	-17	17	1365	84	-17	17	1365	84	-17	17	1365	84	-17	17	1365	84	-17	17	1365	84	-17	17	1365	84	-17	17	1365	84	-17	17	1365	84	-17	17	1365	84	-17	17	1365	84	-17	17	1365	84	-17	17	1365	84	-17	17	1365	84	-17	17	1365	84	-17	17	1365	84	-17	17	1365	84	-17	17	1365	84	-17	17	1365	84	-17	17	1365	84	-17	17	1365	84	-17	17	1365	84	-17	17	1365	84	-17	17	1365	84	-17	17	1365
85	-21	21	1386	85	-21	21	1386	85	-21	21	1386	85	-21	21	1386	85	-21	21	1386	85	-21	21	1386	85	-21	21	1386	85	-21	21	1386	85	-21	21	1386	85	-21	21	1386	85	-21	21	1386	85	-21	21	1386	85	-21	21	1386	85	-21	21	1386	85	-21	21	1386	85	-21	21	1386	85	-21	21	1386	85	-21	21	1386	85	-21	21	1386	85	-21	21	1386	85	-21	21	1386	85	-21	21	1386	85	-21	21	1386	85	-21	21	1386	85	-21	21	1386	85	-21	21	1386
86	-15	15	1401	86	-15	15	1401	86	-15	15	1401	86	-15	15	1401	86	-15	15	1401	86	-15	15	1401	86	-15	15	1401	86	-15	15	1401	86	-15	15	1401	86	-15	15	1401	86	-15	15	1401	86	-15	15	1401	86	-15	15	1401	86	-15	15	1401	86	-15	15	1401	86	-15	15	1401	86	-15	15	1401	86	-15	15	1401	86	-15	15	1401	86	-15	15	1401	86	-15	15	1401	86	-15	15	1401	86	-15	15	1401	86	-15	15	1401	86	-15	15	1401	86	-15	15	1401
87	-128	29	1430	87	-128	29	1430	87	-128	29	1430	87	-128	29	1430	87	-128	29	1430	87	-128	29	1430	87	-128	29	1430	87	-128	29	1430	87	-128	29	1430	87	-128	29	1430	87	-128	29	1430	87	-128	29	1430	87	-128	29	1430	87	-128	29	1430	87	-128	29	1430	87	-128	29	1430	87	-128	29	1430	87	-128	29	1430	87	-128	29	1430	87	-128	29	1430	87	-128	29	1430	87	-128	29	1430	87	-128	29	1430	87	-128	29	1430	87	-128	29	1430	87	-128	29	1430
88	-15	15	1445	88	-15	15	1445	88	-15	15	1445	88	-15	15	1445	88	-15	15	1445	88	-15	15	1445	88	-15	15	1445	88	-15	15	1445	88	-15	15	1445	88	-15	15	1445	88	-15	15	1445	88	-15	15	1445	88	-15	15	1445	88	-15	15	1445	88	-15	15	1445	88	-15	15	1445	88	-15	15	1445	88	-15	15	1445	88	-15	15	1445	88	-15	15	1445	88	-15	15	1445	88	-15	15	1445	88	-15	15	1445	88	-15	15	1445	88	-15	15	1445	88	-15	15	1445
89	-113	14	1459	89	-113	14	1459	89	-113	14	1459	89	-113	14	1459	89	-113	14	1459	89	-113	14	1459	89	-113	14	1459	89	-113	14	1459	89	-113	14	1459	89	-113	14	1459	89	-113	14	1459	89	-113	14	1459	89	-113	14	1459	89	-113	14	1459	89	-113	14	1459	89	-113	14	1459	89	-113	14	1459	89	-113	14	1459	89	-113	14	1459	89	-113	14	1459	89	-113	14	1459	89	-113	14	1459	89	-113	14	1459	89	-113	14	1459	89	-113	14	1459	89	-113	14	1459
90	-13	13	1472	90	-13	13	1472	90	-13	13	1472	90	-13	13	1472	90	-13	13	1472	90	-13	13	1472	90	-13	13	1472	90	-13	13	1472	90	-13	13	1472	90	-13	13	1472	90	-13	13	1472	90	-13	13	1472	90	-13	13	1472	90	-13	13	1472	90	-13	13	1472	90	-13	13	1472	90	-13	13	1472	90	-13	13	1472	90	-13	13	1472	90	-13	13	1472	90	-13	13	1472	90	-13	13	1472	90	-13	13	1472	90	-13	13	1472	90	-13	13	1472	90	-13	13	1472
91	-17	17	1489	91	-17	17	1489	91	-17	17	1489	91	-17	17	1489	91	-17	17	1489	91	-17	17	1489	91	-17	17	1489	91	-17	17	1489	91	-17	17	1489	91	-17	17	1489	91	-17	17	1489	91	-17	17	1489	91	-17	17	1489	91	-17	17	1489	91	-17	17	1489	91	-17	17	1489	91	-17	17	1489	91	-17	17	1489	91	-17	17	1489	91	-17	17	1489	91	-17	17	1489	91	-17	17	1489	91	-17	17	1489	91	-17	17	1489	91	-17	17	1489	91	-17	17	1489
92	-15	15	1504	92	-15	15	1504	92	-15	15	1504	92	-15	15	1504	92	-15	15	1504	92	-15	15	1504	92	-15	15	1504	92	-15	15	1504	92	-15	15	1504	92	-15	15	1504	92	-15	15	1504	92	-15	15	1504	92	-15	15	1504	92	-15	15	1504	92	-15	15	1504	92	-15	15	1504	92	-15	15	1504	92	-15	15	1504	92	-15	15	1504	92	-15	15	1504	92	-15	15	1504	92	-15	15	1504	92	-15	15	1504	92	-15	15	1504	92	-15	15	1504	92	-15	15	1504
93	-18	18	1522	93	-18	18	1522	93	-18	18	1522	93	-18	18	1522	93	-18	18	1522	93	-18	18	1522	93	-18	18	1522	93	-18	18	1522	93	-18	18	1522	93	-18	18	1522	93	-18	18	1522	93	-18	18	1522	93	-18	18	1522	93	-18	18	1522	93	-18	18	1522	93	-18	18	1522	93	-18	18	1522	93	-18	18	1522	93	-18	18	1522	93	-18	18	1522	93	-18	18	1522	93	-18	18	1522	93	-18	18	1522	93	-18	18	1522	93	-18	18	1522	93	-18	18	1522
94	-119	20	1542	94	-119	20	1542	94	-119	20	1542	94	-119	20	1542	94	-119	20	1542	94	-119	20	1542	94	-119	20	1542	94	-119	20	1542	94	-119	20	1542	94	-119	20	1542	94	-119	20	1542	94	-119	20	1542	94	-119	20	1542	94	-119	20	1542	94	-119	20	1542	94	-119	20	1542	94	-119	20	1542	94	-119	20	1542	94	-119	20	1542	94	-119	20	1542	94	-119	20	1542	94	-119	20	1542	94	-119	20	1542	94	-119	20	1542	94	-119	20	1542	94	-119	20	1542
95	-13	13	1555	95	-13	13	1555	95	-13	13	1555	95	-13	13	1555	95	-13	13	1555	95	-13	13	1555	95	-13	13	1555	95	-13	13	1555	95	-13	13	1555	95	-13	13	1555	95	-13	13	1555	95	-13	13	1555	95	-13	13	1555	95	-13	13	1555	95	-13	13	1555	95	-13	13	1555	95	-13	13	1555	95	-13	13	1555	95	-13	13	1555	95	-13	13	1555	95	-13	13	1555	95	-13	13	1555	95	-13	13	1555	95	-13	13	1555	95	-13	13	1555	95	-13	13	1555
96	-15	15	1570	96	-15	15	1570	96	-15	15	1570	96	-15	15	1570	96	-15	15	1570	96	-15	15	1570	96	-15	15	1570	96	-15	15	1570	96	-15	15	1570	96	-15	15	1570	96	-15	15	1570	96	-15	15	1570	96	-15	15	1570	96	-15	15	1570	96	-15	15	1570	96	-15	15	1570	96	-15	15	1570	96	-15	15	1570	96	-15	15	1570	96	-15	15	1570	96	-15	15	1570	96	-15	15	1570	96	-15	15	1570	96	-15	15	1570	96	-15	15	1570	96	-15	15	1570
97	-13	13	1583	97	-13	13	1583	97	-13	13	1583	97	-13	13	1583	97	-13	13	1583	97	-13	13	1583	97	-13	13	1583	97	-13	13	1583	97	-13	13	1583	97	-13	13	1583	97	-13	13	1583	97	-13	13	1583	97	-13	13	1583	97	-13	13	1583	97	-13	13	1583	97	-13	13	1583	97	-13	13	1583	97	-13	13	1583	97	-13	13	1583	97	-13	13	1583	97	-13	13	1583	97	-13	13	1583	97	-13	13	1583	97	-13	13	1583	97	-13	13	1583	97	-13	13	1583
98	-13	13	1596	98	-13	13	1596	98	-13	13	1596	98	-13	13	1596	98	-13	13	1596	98	-13	13	1596	98	-13	13	1596	98	-13	13	1596	98	-13	13	1596	98	-13	13	1596	98	-13	13	1596	98	-13	13	1596	98	-13	13	1596	98	-13	13	1596	98	-13	13	1596	98	-13	13	1596	98	-13	13	1596	98	-13	13	1596	98	-13	13	1596	98	-13	13	1596	98	-13	13	1596	98	-13	13	1596	98	-13	13	1596	98	-13	13	1596	98	-13	13	1596	98	-13	13	1596
99	-13	13	1609	99	-13	13	1609	99	-13	13	1609	99	-13	13	1609	99	-13	13	1609	99	-13	13	1609	99	-13	13	1609	99	-13	13	1609	99	-13	13	1609	99	-13	13	1609	99	-13	13	1609	99	-13	13	1609	99	-13	13	1609	99	-13	13	1609	99	-13	13	1609	99	-13	13	1609	99	-13	13	1609	99	-13	13	1609	99	-13	13	1609	99	-13	13	1609	99	-13	13	1609	99	-13	13	1609	99	-13	13	1609	99	-13	13	1609	99	-13	13	1609	99	-13	13	1609
100	-15	15	1624	100	-15	15	1624	100	-15	15	1624	100	-15	15	1624	100	-15	15	1624	100	-15	15	1624	100	-15	15	1624	100	-15	15	1624	100	-15	15	1624	100	-15	15	1624	100	-15	15	1624	100	-15	15	1624	100	-15	15	1624	100	-15	15	1624	100	-15	15	1624	100	-15	15	1624	100	-15	15	1624	100	-15	15	1624	100	-15	15	1624	100	-15	15	1624	100	-15	15	1624	100	-15	15	1624	100	-15	15	1624	100	-15	15	1624	100	-15	15	1624	100	-15	15	1624
101	-15	15	1639	101	-15	15	1639	101	-15	15	1639	101	-15	15	1639	101	-15	15	1639	101	-15	15	1639	101	-15	15	1639	101	-15	15	1639	101	-15	15	1639	101	-15	15	1639	101	-15	15	1639	101	-15	15	1639	101	-15	15	1639	101	-15	15	1639	101	-15	15	1639	101	-15	15	1639	101	-15	15	1639	101	-15	15	1639	101	-15	15	1639	101	-15	15	1639	101	-15	15	1639	101	-15	15	1639	101	-15	15	1639	101	-15	15	1639	101	-15	15	1639	101	-15	15	1639
102	-18	18	1657	102	-18	18	1657	102	-18	18	1657	102	-18	18	1657	102	-18	18	1657	102	-18	18	1657	102	-18	18	1657	102	-18	18	1657	102	-18	18	1657	102	-18	18	1657	102	-18	18	1657	102	-18	18	1657	102	-18	18	1657	102	-18	18	1657	102	-18	18	1657	102	-18	18	1657	102	-18	18	1657	102	-18	18	1657	102	-18	18	1657	102	-18	18	1657	102	-18	18	1657	102	-18	18	1657	102	-18	18	1657	102	-18	18	1657	102	-18	18	1657	102	-18	18	1657
103	-121	22	1679	103	-121	22	1679	103	-121	22	1679	103	-121	22	1679	103	-121	22	1679	103	-121	22	1679	103	-121	22	1679	103	-121	22	1679	103	-121	22	1679	103	-121	22	1679	103	-121	22	1679	103	-121	22	1679	103	-121	22	1679	103	-121	22	1679	103	-121	22	1679	103	-121	22	1679	103	-121	22	1679	103	-121	22	1679	103	-121	22	1679	103	-121	22	1679	103	-121	22	1679	103	-121	22	1679	103	-121	22	1679	103	-121	22	1679	103	-121	22	1679	103	-121	22	1679
104	-117	18	1697	104	-117	18	1697	104	-117	18	1697	104	-117	18	1697	104	-117	18	1697	104	-117	18	1697	104	-117	18	1697	104	-117	18	1697	104	-117	18	1697	104	-117	18	1697	104	-117	18	1697	104	-117	18	1697	104	-117	18	1697	104	-117	18	1697	104	-117	18	1697	104	-117	18	1697	104	-117	18	1697	104	-117	18	1697	104	-117	18	1697	104	-117	18	1697	104	-117	18	1697	104	-117	18	1697	104	-117	18	1697	104	-117	18	1697	104	-117	18	1697	104	-117	18	1697
105	-13	13	1710	105	-13	13	1710	105	-13	13	1710	105	-13	13	1710	105	-13	13	1710	105	-13	13	1710	105	-13	13	1710	105	-13	13	1710	105	-13	13	1710	105	-13	13	1710	105	-13	13	1710	105	-13	13	1710	105	-13	13	1710	105	-13	13	1710	105	-13	13	1710	105	-13	13	1710	105	-13	13	1710	105	-13	13	1710	105	-13	13	1710	105	-13	13	1710	105	-13	13	1710	105	-13	13	1710	105	-13	13	1710	105	-13	13	1710	105	-13	13	1710	105	-13	13	1710
106	-18	18	1728	106	-18	18	1728	106	-18	18	1728	106	-18	18	1728	106	-18	18	1728	106	-18	18	1728	106	-18	18	1728	106	-18	18	1728	106	-18	18	1728	106	-18	18	1728	106	-18	18	1728	106	-18	18	1728	106	-18	18	1728	106	-18	18	1728	106	-18	18	1728	106	-18	18	1728	106	-18	18	1728	106	-18	18	1728	106	-18	18	1728	106	-18	18	1728	106	-18	18	1728	106	-18	18	1728	106	-18	18	1728	106	-18	18	1728	106	-18	18	1728	106	-18	18	1728
