Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
59	-53	53	6787	59	-53	53	6787	59	-53	53	6787	59	-53	53	6787	59	-53	53	6787	59	-53	53	6787	59	-53	53	6787	59	-53	53	6787	59	-53	53	6787	59	-53	53	6787	59	-53	53	6787	59	-53	53	6787	59	-53	53	6787	59	-53	53	6787	59	-53	53	6787	59	-53	53	6787	59	-53	53	6787	59	-53	53	6787	59	-53	53	6787	59	-53	53	6787	59	-53	53	6787	59	-53	53	6787
60	-43	43	6830	60	-43	43	6830	60	-43	43	6830	60	-43	43	6830	60	-43	43	6830	60	-43	43	6830	60	-43	43	6830	60	-43	43	6830	60	-43	43	6830	60	-43	43	6830	60	-43	43	6830	60	-43	43	6830	60	-43	43	6830	60	-43	43	6830	60	-43	43	6830	60	-43	43	6830	60	-43	43	6830	60	-43	43	6830	60	-43	43	6830	60	-43	43	6830	60	-43	43	6830	60	-43	43	6830
61	-32	32	6862	61	-32	32	6862	61	-32	32	6862	61	-32	32	6862	61	-32	32	6862	61	-32	32	6862	61	-32	32	6862	61	-32	32	6862	61	-32	32	6862	61	-32	32	6862	61	-32	32	6862	61	-32	32	6862	61	-32	32	6862	61	-32	32	6862	61	-32	32	6862	61	-32	32	6862	61	-32	32	6862	61	-32	32	6862	61	-32	32	6862	61	-32	32	6862	61	-32	32	6862	61	-32	32	6862
62	-29	29	6891	62	-29	29	6891	62	-29	29	6891	62	-29	29	6891	62	-29	29	6891	62	-29	29	6891	62	-29	29	6891	62	-29	29	6891	62	-29	29	6891	62	-29	29	6891	62	-29	29	6891	62	-29	29	6891	62	-29	29	6891	62	-29	29	6891	62	-29	29	6891	62	-29	29	6891	62	-29	29	6891	62	-29	29	6891	62	-29	29	6891	62	-29	29	6891	62	-29	29	6891	62	-29	29	6891
63	-44	44	6935	63	-44	44	6935	63	-44	44	6935	63	-44	44	6935	63	-44	44	6935	63	-44	44	6935	63	-44	44	6935	63	-44	44	6935	63	-44	44	6935	63	-44	44	6935	63	-44	44	6935	63	-44	44	6935	63	-44	44	6935	63	-44	44	6935	63	-44	44	6935	63	-44	44	6935	63	-44	44	6935	63	-44	44	6935	63	-44	44	6935	63	-44	44	6935	63	-44	44	6935	63	-44	44	6935
64	-45	45	6980	64	-45	45	6980	64	-45	45	6980	64	-45	45	6980	64	-45	45	6980	64	-45	45	6980	64	-45	45	6980	64	-45	45	6980	64	-45	45	6980	64	-45	45	6980	64	-45	45	6980	64	-45	45	6980	64	-45	45	6980	64	-45	45	6980	64	-45	45	6980	64	-45	45	6980	64	-45	45	6980	64	-45	45	6980	64	-45	45	6980	64	-45	45	6980	64	-45	45	6980	64	-45	45	6980
65	-33	33	7013	65	-33	33	7013	65	-33	33	7013	65	-33	33	7013	65	-33	33	7013	65	-33	33	7013	65	-33	33	7013	65	-33	33	7013	65	-33	33	7013	65	-33	33	7013	65	-33	33	7013	65	-33	33	7013	65	-33	33	7013	65	-33	33	7013	65	-33	33	7013	65	-33	33	7013	65	-33	33	7013	65	-33	33	7013	65	-33	33	7013	65	-33	33	7013	65	-33	33	7013	65	-33	33	7013
66	-131	32	7045	66	-131	32	7045	66	-131	32	7045	66	-131	32	7045	66	-131	32	7045	66	-131	32	7045	66	-131	32	7045	66	-131	32	7045	66	-131	32	7045	66	-131	32	7045	66	-131	32	7045	66	-131	32	7045	66	-131	32	7045	66	-131	32	7045	66	-131	32	7045	66	-131	32	7045	66	-131	32	7045	66	-131	32	7045	66	-131	32	7045	66	-131	32	7045	66	-131	32	7045	66	-131	32	7045
67	-414	117	7162	67	-414	117	7162	67	-414	117	7162	67	-414	117	7162	67	-414	117	7162	67	-414	117	7162	67	-414	117	7162	67	-414	117	7162	67	-414	117	7162	67	-414	117	7162	67	-414	117	7162	67	-414	117	7162	67	-414	117	7162	67	-414	117	7162	67	-414	117	7162	67	-414	117	7162	67	-414	117	7162	67	-414	117	7162	67	-414	117	7162	67	-414	117	7162	67	-414	117	7162	67	-414	117	7162
68	-152	53	7215	68	-152	53	7215	68	-152	53	7215	68	-152	53	7215	68	-152	53	7215	68	-152	53	7215	68	-152	53	7215	68	-152	53	7215	68	-152	53	7215	68	-152	53	7215	68	-152	53	7215	68	-152	53	7215	68	-152	53	7215	68	-152	53	7215	68	-152	53	7215	68	-152	53	7215	68	-152	53	7215	68	-152	53	7215	68	-152	53	7215	68	-152	53	7215	68	-152	53	7215	68	-152	53	7215
69	-131	32	7247	69	-131	32	7247	69	-131	32	7247	69	-131	32	7247	69	-131	32	7247	69	-131	32	7247	69	-131	32	7247	69	-131	32	7247	69	-131	32	7247	69	-131	32	7247	69	-131	32	7247	69	-131	32	7247	69	-131	32	7247	69	-131	32	7247	69	-131	32	7247	69	-131	32	7247	69	-131	32	7247	69	-131	32	7247	69	-131	32	7247	69	-131	32	7247	69	-131	32	7247	69	-131	32	7247
70	-47	47	7294	70	-47	47	7294	70	-47	47	7294	70	-47	47	7294	70	-47	47	7294	70	-47	47	7294	70	-47	47	7294	70	-47	47	7294	70	-47	47	7294	70	-47	47	7294	70	-47	47	7294	70	-47	47	7294	70	-47	47	7294	70	-47	47	7294	70	-47	47	7294	70	-47	47	7294	70	-47	47	7294	70	-47	47	7294	70	-47	47	7294	70	-47	47	7294	70	-47	47	7294	70	-47	47	7294
71	-27	27	7321	71	-27	27	7321	71	-27	27	7321	71	-27	27	7321	71	-27	27	7321	71	-27	27	7321	71	-27	27	7321	71	-27	27	7321	71	-27	27	7321	71	-27	27	7321	71	-27	27	7321	71	-27	27	7321	71	-27	27	7321	71	-27	27	7321	71	-27	27	7321	71	-27	27	7321	71	-27	27	7321	71	-27	27	7321	71	-27	27	7321	71	-27	27	7321	71	-27	27	7321	71	-27	27	7321
72	-138	39	7360	72	-138	39	7360	72	-138	39	7360	72	-138	39	7360	72	-138	39	7360	72	-138	39	7360	72	-138	39	7360	72	-138	39	7360	72	-138	39	7360	72	-138	39	7360	72	-138	39	7360	72	-138	39	7360	72	-138	39	7360	72	-138	39	7360	72	-138	39	7360	72	-138	39	7360	72	-138	39	7360	72	-138	39	7360	72	-138	39	7360	72	-138	39	7360	72	-138	39	7360	72	-138	39	7360
73	-52	52	7412	73	-52	52	7412	73	-52	52	7412	73	-52	52	7412	73	-52	52	7412	73	-52	52	7412	73	-52	52	7412	73	-52	52	7412	73	-52	52	7412	73	-52	52	7412	73	-52	52	7412	73	-52	52	7412	73	-52	52	7412	73	-52	52	7412	73	-52	52	7412	73	-52	52	7412	73	-52	52	7412	73	-52	52	7412	73	-52	52	7412	73	-52	52	7412	73	-52	52	7412	73	-52	52	7412
74	-128	29	7441	74	-128	29	7441	74	-128	29	7441	74	-128	29	7441	74	-128	29	7441	74	-128	29	7441	74	-128	29	7441	74	-128	29	7441	74	-128	29	7441	74	-128	29	7441	74	-128	29	7441	74	-128	29	7441	74	-128	29	7441	74	-128	29	7441	74	-128	29	7441	74	-128	29	7441	74	-128	29	7441	74	-128	29	7441	74	-128	29	7441	74	-128	29	7441	74	-128	29	7441	74	-128	29	7441
75	-45	45	7486	75	-45	45	7486	75	-45	45	7486	75	-45	45	7486	75	-45	45	7486	75	-45	45	7486	75	-45	45	7486	75	-45	45	7486	75	-45	45	7486	75	-45	45	7486	75	-45	45	7486	75	-45	45	7486	75	-45	45	7486	75	-45	45	7486	75	-45	45	7486	75	-45	45	7486	75	-45	45	7486	75	-45	45	7486	75	-45	45	7486	75	-45	45	7486	75	-45	45	7486	75	-45	45	7486
76	-51	51	7537	76	-51	51	7537	76	-51	51	7537	76	-51	51	7537	76	-51	51	7537	76	-51	51	7537	76	-51	51	7537	76	-51	51	7537	76	-51	51	7537	76	-51	51	7537	76	-51	51	7537	76	-51	51	7537	76	-51	51	7537	76	-51	51	7537	76	-51	51	7537	76	-51	51	7537	76	-51	51	7537	76	-51	51	7537	76	-51	51	7537	76	-51	51	7537	76	-51	51	7537	76	-51	51	7537
77	-37	37	7574	77	-37	37	7574	77	-37	37	7574	77	-37	37	7574	77	-37	37	7574	77	-37	37	7574	77	-37	37	7574	77	-37	37	7574	77	-37	37	7574	77	-37	37	7574	77	-37	37	7574	77	-37	37	7574	77	-37	37	7574	77	-37	37	7574	77	-37	37	7574	77	-37	37	7574	77	-37	37	7574	77	-37	37	7574	77	-37	37	7574	77	-37	37	7574	77	-37	37	7574	77	-37	37	7574
78	-28	28	7602	78	-28	28	7602	78	-28	28	7602	78	-28	28	7602	78	-28	28	7602	78	-28	28	7602	78	-28	28	7602	78	-28	28	7602	78	-28	28	7602	78	-28	28	7602	78	-28	28	7602	78	-28	28	7602	78	-28	28	7602	78	-28	28	7602	78	-28	28	7602	78	-28	28	7602	78	-28	28	7602	78	-28	28	7602	78	-28	28	7602	78	-28	28	7602	78	-28	28	7602	78	-28	28	7602
79	-40	40	7642	79	-40	40	7642	79	-40	40	7642	79	-40	40	7642	79	-40	40	7642	79	-40	40	7642	79	-40	40	7642	79	-40	40	7642	79	-40	40	7642	79	-40	40	7642	79	-40	40	7642	79	-40	40	7642	79	-40	40	7642	79	-40	40	7642	79	-40	40	7642	79	-40	40	7642	79	-40	40	7642	79	-40	40	7642	79	-40	40	7642	79	-40	40	7642	79	-40	40	7642	79	-40	40	7642
80	-38	38	7680	80	-38	38	7680	80	-38	38	7680	80	-38	38	7680	80	-38	38	7680	80	-38	38	7680	80	-38	38	7680	80	-38	38	7680	80	-38	38	7680	80	-38	38	7680	80	-38	38	7680	80	-38	38	7680	80	-38	38	7680	80	-38	38	7680	80	-38	38	7680	80	-38	38	7680	80	-38	38	7680	80	-38	38	7680	80	-38	38	7680	80	-38	38	7680	80	-38	38	7680	80	-38	38	7680
81	-40	40	7720	81	-40	40	7720	81	-40	40	7720	81	-40	40	7720	81	-40	40	7720	81	-40	40	7720	81	-40	40	7720	81	-40	40	7720	81	-40	40	7720	81	-40	40	7720	81	-40	40	7720	81	-40	40	7720	81	-40	40	7720	81	-40	40	7720	81	-40	40	7720	81	-40	40	7720	81	-40	40	7720	81	-40	40	7720	81	-40	40	7720	81	-40	40	7720	81	-40	40	7720	81	-40	40	7720
82	-23	23	7743	82	-23	23	7743	82	-23	23	7743	82	-23	23	7743	82	-23	23	7743	82	-23	23	7743	82	-23	23	7743	82	-23	23	7743	82	-23	23	7743	82	-23	23	7743	82	-23	23	7743	82	-23	23	7743	82	-23	23	7743	82	-23	23	7743	82	-23	23	7743	82	-23	23	7743	82	-23	23	7743	82	-23	23	7743	82	-23	23	7743	82	-23	23	7743	82	-23	23	7743	82	-23	23	7743
83	-68	68	7811	83	-68	68	7811	83	-68	68	7811	83	-68	68	7811	83	-68	68	7811	83	-68	68	7811	83	-68	68	7811	83	-68	68	7811	83	-68	68	7811	83	-68	68	7811	83	-68	68	7811	83	-68	68	7811	83	-68	68	7811	83	-68	68	7811	83	-68	68	7811	83	-68	68	7811	83	-68	68	7811	83	-68	68	7811	83	-68	68	7811	83	-68	68	7811	83	-68	68	7811	83	-68	68	7811
84	-187	88	7899	84	-187	88	7899	84	-187	88	7899	84	-187	88	7899	84	-187	88	7899	84	-187	88	7899	84	-187	88	7899	84	-187	88	7899	84	-187	88	7899	84	-187	88	7899	84	-187	88	7899	84	-187	88	7899	84	-187	88	7899	84	-187	88	7899	84	-187	88	7899	84	-187	88	7899	84	-187	88	7899	84	-187	88	7899	84	-187	88	7899	84	-187	88	7899	84	-187	88	7899	84	-187	88	7899
85	-47	47	7946	85	-47	47	7946	85	-47	47	7946	85	-47	47	7946	85	-47	47	7946	85	-47	47	7946	85	-47	47	7946	85	-47	47	7946	85	-47	47	7946	85	-47	47	7946	85	-47	47	7946	85	-47	47	7946	85	-47	47	7946	85	-47	47	7946	85	-47	47	7946	85	-47	47	7946	85	-47	47	7946	85	-47	47	7946	85	-47	47	7946	85	-47	47	7946	85	-47	47	7946	85	-47	47	7946
86	-126	27	7973	86	-126	27	7973	86	-126	27	7973	86	-126	27	7973	86	-126	27	7973	86	-126	27	7973	86	-126	27	7973	86	-126	27	7973	86	-126	27	7973	86	-126	27	7973	86	-126	27	7973	86	-126	27	7973	86	-126	27	7973	86	-126	27	7973	86	-126	27	7973	86	-126	27	7973	86	-126	27	7973	86	-126	27	7973	86	-126	27	7973	86	-126	27	7973	86	-126	27	7973	86	-126	27	7973
87	-32	32	8005	87	-32	32	8005	87	-32	32	8005	87	-32	32	8005	87	-32	32	8005	87	-32	32	8005	87	-32	32	8005	87	-32	32	8005	87	-32	32	8005	87	-32	32	8005	87	-32	32	8005	87	-32	32	8005	87	-32	32	8005	87	-32	32	8005	87	-32	32	8005	87	-32	32	8005	87	-32	32	8005	87	-32	32	8005	87	-32	32	8005	87	-32	32	8005	87	-32	32	8005	87	-32	32	8005
88	-59	59	8064	88	-59	59	8064	88	-59	59	8064	88	-59	59	8064	88	-59	59	8064	88	-59	59	8064	88	-59	59	8064	88	-59	59	8064	88	-59	59	8064	88	-59	59	8064	88	-59	59	8064	88	-59	59	8064	88	-59	59	8064	88	-59	59	8064	88	-59	59	8064	88	-59	59	8064	88	-59	59	8064	88	-59	59	8064	88	-59	59	8064	88	-59	59	8064	88	-59	59	8064	88	-59	59	8064
89	-30	30	8094	89	-30	30	8094	89	-30	30	8094	89	-30	30	8094	89	-30	30	8094	89	-30	30	8094	89	-30	30	8094	89	-30	30	8094	89	-30	30	8094	89	-30	30	8094	89	-30	30	8094	89	-30	30	8094	89	-30	30	8094	89	-30	30	8094	89	-30	30	8094	89	-30	30	8094	89	-30	30	8094	89	-30	30	8094	89	-30	30	8094	89	-30	30	8094	89	-30	30	8094	89	-30	30	8094
90	-36	36	8130	90	-36	36	8130	90	-36	36	8130	90	-36	36	8130	90	-36	36	8130	90	-36	36	8130	90	-36	36	8130	90	-36	36	8130	90	-36	36	8130	90	-36	36	8130	90	-36	36	8130	90	-36	36	8130	90	-36	36	8130	90	-36	36	8130	90	-36	36	8130	90	-36	36	8130	90	-36	36	8130	90	-36	36	8130	90	-36	36	8130	90	-36	36	8130	90	-36	36	8130	90	-36	36	8130
91	-52	52	8182	91	-52	52	8182	91	-52	52	8182	91	-52	52	8182	91	-52	52	8182	91	-52	52	8182	91	-52	52	8182	91	-52	52	8182	91	-52	52	8182	91	-52	52	8182	91	-52	52	8182	91	-52	52	8182	91	-52	52	8182	91	-52	52	8182	91	-52	52	8182	91	-52	52	8182	91	-52	52	8182	91	-52	52	8182	91	-52	52	8182	91	-52	52	8182	91	-52	52	8182	91	-52	52	8182
92	-39	39	8221	92	-39	39	8221	92	-39	39	8221	92	-39	39	8221	92	-39	39	8221	92	-39	39	8221	92	-39	39	8221	92	-39	39	8221	92	-39	39	8221	92	-39	39	8221	92	-39	39	8221	92	-39	39	8221	92	-39	39	8221	92	-39	39	8221	92	-39	39	8221	92	-39	39	8221	92	-39	39	8221	92	-39	39	8221	92	-39	39	8221	92	-39	39	8221	92	-39	39	8221	92	-39	39	8221
93	-159	60	8281	93	-159	60	8281	93	-159	60	8281	93	-159	60	8281	93	-159	60	8281	93	-159	60	8281	93	-159	60	8281	93	-159	60	8281	93	-159	60	8281	93	-159	60	8281	93	-159	60	8281	93	-159	60	8281	93	-159	60	8281	93	-159	60	8281	93	-159	60	8281	93	-159	60	8281	93	-159	60	8281	93	-159	60	8281	93	-159	60	8281	93	-159	60	8281	93	-159	60	8281	93	-159	60	8281
94	-28	28	8309	94	-28	28	8309	94	-28	28	8309	94	-28	28	8309	94	-28	28	8309	94	-28	28	8309	94	-28	28	8309	94	-28	28	8309	94	-28	28	8309	94	-28	28	8309	94	-28	28	8309	94	-28	28	8309	94	-28	28	8309	94	-28	28	8309	94	-28	28	8309	94	-28	28	8309	94	-28	28	8309	94	-28	28	8309	94	-28	28	8309	94	-28	28	8309	94	-28	28	8309	94	-28	28	8309
95	-43	43	8352	95	-43	43	8352	95	-43	43	8352	95	-43	43	8352	95	-43	43	8352	95	-43	43	8352	95	-43	43	8352	95	-43	43	8352	95	-43	43	8352	95	-43	43	8352	95	-43	43	8352	95	-43	43	8352	95	-43	43	8352	95	-43	43	8352	95	-43	43	8352	95	-43	43	8352	95	-43	43	8352	95	-43	43	8352	95	-43	43	8352	95	-43	43	8352	95	-43	43	8352	95	-43	43	8352
96	-33	33	8385	96	-33	33	8385	96	-33	33	8385	96	-33	33	8385	96	-33	33	8385	96	-33	33	8385	96	-33	33	8385	96	-33	33	8385	96	-33	33	8385	96	-33	33	8385	96	-33	33	8385	96	-33	33	8385	96	-33	33	8385	96	-33	33	8385	96	-33	33	8385	96	-33	33	8385	96	-33	33	8385	96	-33	33	8385	96	-33	33	8385	96	-33	33	8385	96	-33	33	8385	96	-33	33	8385
97	-172	73	8458	97	-172	73	8458	97	-172	73	8458	97	-172	73	8458	97	-172	73	8458	97	-172	73	8458	97	-172	73	8458	97	-172	73	8458	97	-172	73	8458	97	-172	73	8458	97	-172	73	8458	97	-172	73	8458	97	-172	73	8458	97	-172	73	8458	97	-172	73	8458	97	-172	73	8458	97	-172	73	8458	97	-172	73	8458	97	-172	73	8458	97	-172	73	8458	97	-172	73	8458	97	-172	73	8458
98	-30	30	8488	98	-30	30	8488	98	-30	30	8488	98	-30	30	8488	98	-30	30	8488	98	-30	30	8488	98	-30	30	8488	98	-30	30	8488	98	-30	30	8488	98	-30	30	8488	98	-30	30	8488	98	-30	30	8488	98	-30	30	8488	98	-30	30	8488	98	-30	30	8488	98	-30	30	8488	98	-30	30	8488	98	-30	30	8488	98	-30	30	8488	98	-30	30	8488	98	-30	30	8488	98	-30	30	8488
99	-40	40	8528	99	-40	40	8528	99	-40	40	8528	99	-40	40	8528	99	-40	40	8528	99	-40	40	8528	99	-40	40	8528	99	-40	40	8528	99	-40	40	8528	99	-40	40	8528	99	-40	40	8528	99	-40	40	8528	99	-40	40	8528	99	-40	40	8528	99	-40	40	8528	99	-40	40	8528	99	-40	40	8528	99	-40	40	8528	99	-40	40	8528	99	-40	40	8528	99	-40	40	8528	99	-40	40	8528
100	-275	77	8605	100	-275	77	8605	100	-275	77	8605	100	-275	77	8605	100	-275	77	8605	100	-275	77	8605	100	-275	77	8605	100	-275	77	8605	100	-275	77	8605	100	-275	77	8605	100	-275	77	8605	100	-275	77	8605	100	-275	77	8605	100	-275	77	8605	100	-275	77	8605	100	-275	77	8605	100	-275	77	8605	100	-275	77	8605	100	-275	77	8605	100	-275	77	8605	100	-275	77	8605	100	-275	77	8605
101	-38	38	8643	101	-38	38	8643	101	-38	38	8643	101	-38	38	8643	101	-38	38	8643	101	-38	38	8643	101	-38	38	8643	101	-38	38	8643	101	-38	38	8643	101	-38	38	8643	101	-38	38	8643	101	-38	38	8643	101	-38	38	8643	101	-38	38	8643	101	-38	38	8643	101	-38	38	8643	101	-38	38	8643	101	-38	38	8643	101	-38	38	8643	101	-38	38	8643	101	-38	38	8643	101	-38	38	8643
102	-245	47	8690	102	-245	47	8690	102	-245	47	8690	102	-245	47	8690	102	-245	47	8690	102	-245	47	8690	102	-245	47	8690	102	-245	47	8690	102	-245	47	8690	102	-245	47	8690	102	-245	47	8690	102	-245	47	8690	102	-245	47	8690	102	-245	47	8690	102	-245	47	8690	102	-245	47	8690	102	-245	47	8690	102	-245	47	8690	102	-245	47	8690	102	-245	47	8690	102	-245	47	8690	102	-245	47	8690
103	-183	84	8774	103	-183	84	8774	103	-183	84	8774	103	-183	84	8774	103	-183	84	8774	103	-183	84	8774	103	-183	84	8774	103	-183	84	8774	103	-183	84	8774	103	-183	84	8774	103	-183	84	8774	103	-183	84	8774	103	-183	84	8774	103	-183	84	8774	103	-183	84	8774	103	-183	84	8774	103	-183	84	8774	103	-183	84	8774	103	-183	84	8774	103	-183	84	8774	103	-183	84	8774	103	-183	84	8774
104	-22	22	8796	104	-22	22	8796	104	-22	22	8796	104	-22	22	8796	104	-22	22	8796	104	-22	22	8796	104	-22	22	8796	104	-22	22	8796	104	-22	22	8796	104	-22	22	8796	104	-22	22	8796	104	-22	22	8796	104	-22	22	8796	104	-22	22	8796	104	-22	22	8796	104	-22	22	8796	104	-22	22	8796	104	-22	22	8796	104	-22	22	8796	104	-22	22	8796	104	-22	22	8796	104	-22	22	8796
105	-35	35	8831	105	-35	35	8831	105	-35	35	8831	105	-35	35	8831	105	-35	35	8831	105	-35	35	8831	105	-35	35	8831	105	-35	35	8831	105	-35	35	8831	105	-35	35	8831	105	-35	35	8831	105	-35	35	8831	105	-35	35	8831	105	-35	35	8831	105	-35	35	8831	105	-35	35	8831	105	-35	35	8831	105	-35	35	8831	105	-35	35	8831	105	-35	35	8831	105	-35	35	8831	105	-35	35	8831
106	-22	22	8853	106	-22	22	8853	106	-22	22	8853	106	-22	22	8853	106	-22	22	8853	106	-22	22	8853	106	-22	22	8853	106	-22	22	8853	106	-22	22	8853	106	-22	22	8853	106	-22	22	8853	106	-22	22	8853	106	-22	22	8853	106	-22	22	8853	106	-22	22	8853	106	-22	22	8853	106	-22	22	8853	106	-22	22	8853	106	-22	22	8853	106	-22	22	8853	106	-22	22	8853	106	-22	22	8853
107	-37	37	8890	107	-37	37	8890	107	-37	37	8890	107	-37	37	8890	107	-37	37	8890	107	-37	37	8890	107	-37	37	8890	107	-37	37	8890	107	-37	37	8890	107	-37	37	8890	107	-37	37	8890	107	-37	37	8890	107	-37	37	8890	107	-37	37	8890	107	-37	37	8890	107	-37	37	8890	107	-37	37	8890	107	-37	37	8890	107	-37	37	8890	107	-37	37	8890	107	-37	37	8890	107	-37	37	8890
108	-44	44	8934	108	-44	44	8934	108	-44	44	8934	108	-44	44	8934	108	-44	44	8934	108	-44	44	8934	108	-44	44	8934	108	-44	44	8934	108	-44	44	8934	108	-44	44	8934	108	-44	44	8934	108	-44	44	8934	108	-44	44	8934	108	-44	44	8934	108	-44	44	8934	108	-44	44	8934	108	-44	44	8934	108	-44	44	8934	108	-44	44	8934	108	-44	44	8934	108	-44	44	8934	108	-44	44	8934
109	-42	42	8976	109	-42	42	8976	109	-42	42	8976	109	-42	42	8976	109	-42	42	8976	109	-42	42	8976	109	-42	42	8976	109	-42	42	8976	109	-42	42	8976	109	-42	42	8976	109	-42	42	8976	109	-42	42	8976	109	-42	42	8976	109	-42	42	8976	109	-42	42	8976	109	-42	42	8976	109	-42	42	8976	109	-42	42	8976	109	-42	42	8976	109	-42	42	8976	109	-42	42	8976	109	-42	42	8976
110	-45	45	9021	110	-45	45	9021	110	-45	45	9021	110	-45	45	9021	110	-45	45	9021	110	-45	45	9021	110	-45	45	9021	110	-45	45	9021	110	-45	45	9021	110	-45	45	9021	110	-45	45	9021	110	-45	45	9021	110	-45	45	9021	110	-45	45	9021	110	-45	45	9021	110	-45	45	9021	110	-45	45	9021	110	-45	45	9021	110	-45	45	9021	110	-45	45	9021	110	-45	45	9021	110	-45	45	9021
111	-18	18	9039	111	-18	18	9039	111	-18	18	9039	111	-18	18	9039	111	-18	18	9039	111	-18	18	9039	111	-18	18	9039	111	-18	18	9039	111	-18	18	9039	111	-18	18	9039	111	-18	18	9039	111	-18	18	9039	111	-18	18	9039	111	-18	18	9039	111	-18	18	9039	111	-18	18	9039	111	-18	18	9039	111	-18	18	9039	111	-18	18	9039	111	-18	18	9039	111	-18	18	9039	111	-18	18	9039
112	-41	41	9080	112	-41	41	9080	112	-41	41	9080	112	-41	41	9080	112	-41	41	9080	112	-41	41	9080	112	-41	41	9080	112	-41	41	9080	112	-41	41	9080	112	-41	41	9080	112	-41	41	9080	112	-41	41	9080	112	-41	41	9080	112	-41	41	9080	112	-41	41	9080	112	-41	41	9080	112	-41	41	9080	112	-41	41	9080	112	-41	41	9080	112	-41	41	9080	112	-41	41	9080	112	-41	41	9080
113	-27	27	9107	113	-27	27	9107	113	-27	27	9107	113	-27	27	9107	113	-27	27	9107	113	-27	27	9107	113	-27	27	9107	113	-27	27	9107	113	-27	27	9107	113	-27	27	9107	113	-27	27	9107	113	-27	27	9107	113	-27	27	9107	113	-27	27	9107	113	-27	27	9107	113	-27	27	9107	113	-27	27	9107	113	-27	27	9107	113	-27	27	9107	113	-27	27	9107	113	-27	27	9107	113	-27	27	9107
114	-40	40	9147	114	-40	40	9147	114	-40	40	9147	114	-40	40	9147	114	-40	40	9147	114	-40	40	9147	114	-40	40	9147	114	-40	40	9147	114	-40	40	9147	114	-40	40	9147	114	-40	40	9147	114	-40	40	9147	114	-40	40	9147	114	-40	40	9147	114	-40	40	9147	114	-40	40	9147	114	-40	40	9147	114	-40	40	9147	114	-40	40	9147	114	-40	40	9147	114	-40	40	9147	114	-40	40	9147
115	-38	38	9185	115	-38	38	9185	115	-38	38	9185	115	-38	38	9185	115	-38	38	9185	115	-38	38	9185	115	-38	38	9185	115	-38	38	9185	115	-38	38	9185	115	-38	38	9185	115	-38	38	9185	115	-38	38	9185	115	-38	38	9185	115	-38	38	9185	115	-38	38	9185	115	-38	38	9185	115	-38	38	9185	115	-38	38	9185	115	-38	38	9185	115	-38	38	9185	115	-38	38	9185	115	-38	38	9185
116	-31	31	9216	116	-31	31	9216	116	-31	31	9216	116	-31	31	9216	116	-31	31	9216	116	-31	31	9216	116	-31	31	9216	116	-31	31	9216	116	-31	31	9216	116	-31	31	9216	116	-31	31	9216	116	-31	31	9216	116	-31	31	9216	116	-31	31	9216	116	-31	31	9216	116	-31	31	9216	116	-31	31	9216	116	-31	31	9216	116	-31	31	9216	116	-31	31	9216	116	-31	31	9216	116	-31	31	9216
117	-45	45	9261	117	-45	45	9261	117	-45	45	9261	117	-45	45	9261	117	-45	45	9261	117	-45	45	9261	117	-45	45	9261	117	-45	45	9261	117	-45	45	9261	117	-45	45	9261	117	-45	45	9261	117	-45	45	9261	117	-45	45	9261	117	-45	45	9261	117	-45	45	9261	117	-45	45	9261	117	-45	45	9261	117	-45	45	9261	117	-45	45	9261	117	-45	45	9261	117	-45	45	9261	117	-45	45	9261
118	-26	26	9287	118	-26	26	9287	118	-26	26	9287	118	-26	26	9287	118	-26	26	9287	118	-26	26	9287	118	-26	26	9287	118	-26	26	9287	118	-26	26	9287	118	-26	26	9287	118	-26	26	9287	118	-26	26	9287	118	-26	26	9287	118	-26	26	9287	118	-26	26	9287	118	-26	26	9287	118	-26	26	9287	118	-26	26	9287	118	-26	26	9287	118	-26	26	9287	118	-26	26	9287	118	-26	26	9287
119	-19	19	9306	119	-19	19	9306	119	-19	19	9306	119	-19	19	9306	119	-19	19	9306	119	-19	19	9306	119	-19	19	9306	119	-19	19	9306	119	-19	19	9306	119	-19	19	9306	119	-19	19	9306	119	-19	19	9306	119	-19	19	9306	119	-19	19	9306	119	-19	19	9306	119	-19	19	9306	119	-19	19	9306	119	-19	19	9306	119	-19	19	9306	119	-19	19	9306	119	-19	19	9306	119	-19	19	9306
