Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876	83	-43	43	7876
84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905	84	-29	29	7905
85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940	85	-35	35	7940
86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019	86	-79	79	8019
87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081	87	-62	62	8081
88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123	88	-42	42	8123
89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190	89	-166	67	8190
90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226	90	-36	36	8226
91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285	91	-59	59	8285
92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325	92	-40	40	8325
93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361	93	-36	36	8361
94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400	94	-39	39	8400
95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455	95	-55	55	8455
96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509	96	-54	54	8509
97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591	97	-379	82	8591
98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611	98	-20	20	8611
99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644	99	-33	33	8644
100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693	100	-49	49	8693
101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725	101	-32	32	8725
102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785	102	-258	60	8785
103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805	103	-20	20	8805
104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835	104	-30	30	8835
105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893	105	-157	58	8893
106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920	106	-27	27	8920
107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948	107	-28	28	8948
108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989	108	-41	41	8989
109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035	109	-46	46	9035
