Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
80	-167.0	167	16063	80	-167.0	167	16063	80	-167.0	167	16063	80	-167.0	167	16063
81	-165.0	165	16228	81	-165.0	165	16228	81	-165.0	165	16228	81	-165.0	165	16228
82	-185.0	185	16413	82	-185.0	185	16413	82	-185.0	185	16413	82	-185.0	185	16413
83	-129.0	129	16542	83	-129.0	129	16542	83	-129.0	129	16542	83	-129.0	129	16542
84	-203.0	203	16745	84	-203.0	203	16745	84	-203.0	203	16745	84	-203.0	203	16745
85	-289.0	289	17034	85	-289.0	289	17034	85	-289.0	289	17034	85	-289.0	289	17034
86	-257.0	257	17291	86	-257.0	257	17291	86	-257.0	257	17291	86	-257.0	257	17291
87	-216.0	216	17507	87	-216.0	216	17507	87	-216.0	216	17507	87	-216.0	216	17507
88	-244.0	244	17751	88	-244.0	244	17751	88	-244.0	244	17751	88	-244.0	244	17751
89	-500.0	500	18251	89	-500.0	500	18251	89	-500.0	500	18251	89	-500.0	500	18251
90	-325.0	325	18576	90	-325.0	325	18576	90	-325.0	325	18576	90	-325.0	325	18576
91	-500.0	500	19076	91	-500.0	500	19076	91	-500.0	500	19076	91	-500.0	500	19076
92	-500.0	500	19576	92	-500.0	500	19576	92	-500.0	500	19576	92	-500.0	500	19576
93	-500.0	500	20076	93	-500.0	500	20076	93	-500.0	500	20076	93	-500.0	500	20076
94	-465.0	465	20541	94	-465.0	465	20541	94	-465.0	465	20541	94	-465.0	465	20541
95	-500.0	500	21041	95	-500.0	500	21041	95	-500.0	500	21041	95	-500.0	500	21041
96	-500.0	500	21541	96	-500.0	500	21541	96	-500.0	500	21541	96	-500.0	500	21541
97	-500.0	500	22041	97	-500.0	500	22041	97	-500.0	500	22041	97	-500.0	500	22041
98	-500.0	500	22541	98	-500.0	500	22541	98	-500.0	500	22541	98	-500.0	500	22541
99	-500.0	500	23041	99	-500.0	500	23041	99	-500.0	500	23041	99	-500.0	500	23041
100	-500.0	500	23541	100	-500.0	500	23541	100	-500.0	500	23541	100	-500.0	500	23541
101	-500.0	500	24041	101	-500.0	500	24041	101	-500.0	500	24041	101	-500.0	500	24041
102	-500.0	500	24541	102	-500.0	500	24541	102	-500.0	500	24541	102	-500.0	500	24541
103	-500.0	500	25041	103	-500.0	500	25041	103	-500.0	500	25041	103	-500.0	500	25041
104	-500.0	500	25541	104	-500.0	500	25541	104	-500.0	500	25541	104	-500.0	500	25541
105	-500.0	500	26041	105	-500.0	500	26041	105	-500.0	500	26041	105	-500.0	500	26041
106	-500.0	500	26541	106	-500.0	500	26541	106	-500.0	500	26541	106	-500.0	500	26541
107	-500.0	500	27041	107	-500.0	500	27041	107	-500.0	500	27041	107	-500.0	500	27041
108	-500.0	500	27541	108	-500.0	500	27541	108	-500.0	500	27541	108	-500.0	500	27541
109	-500.0	500	28041	109	-500.0	500	28041	109	-500.0	500	28041	109	-500.0	500	28041
110	-500.0	500	28541	110	-500.0	500	28541	110	-500.0	500	28541	110	-500.0	500	28541
111	-500.0	500	29041	111	-500.0	500	29041	111	-500.0	500	29041	111	-500.0	500	29041
112	-500.0	500	29541	112	-500.0	500	29541	112	-500.0	500	29541	112	-500.0	500	29541
113	-500.0	500	30041	113	-500.0	500	30041	113	-500.0	500	30041	113	-500.0	500	30041
114	-500.0	500	30541	114	-500.0	500	30541	114	-500.0	500	30541	114	-500.0	500	30541
115	-500.0	500	31041	115	-500.0	500	31041	115	-500.0	500	31041	115	-500.0	500	31041
116	-500.0	500	31541	116	-500.0	500	31541	116	-500.0	500	31541	116	-500.0	500	31541
117	-500.0	500	32041	117	-500.0	500	32041	117	-500.0	500	32041	117	-500.0	500	32041
118	-500.0	500	32541	118	-500.0	500	32541	118	-500.0	500	32541	118	-500.0	500	32541
119	-500.0	500	33041	119	-500.0	500	33041	119	-500.0	500	33041	119	-500.0	500	33041
120	-500.0	500	33541	120	-500.0	500	33541	120	-500.0	500	33541	120	-500.0	500	33541
121	-500.0	500	34041	121	-500.0	500	34041	121	-500.0	500	34041	121	-500.0	500	34041
122	-500.0	500	34541	122	-500.0	500	34541	122	-500.0	500	34541	122	-500.0	500	34541
123	-500.0	500	35041	123	-500.0	500	35041	123	-500.0	500	35041	123	-500.0	500	35041
124	-500.0	500	35541	124	-500.0	500	35541	124	-500.0	500	35541	124	-500.0	500	35541
125	-500.0	500	36041	125	-500.0	500	36041	125	-500.0	500	36041	125	-500.0	500	36041
126	-500.0	500	36541	126	-500.0	500	36541	126	-500.0	500	36541	126	-500.0	500	36541
127	-500.0	500	37041	127	-500.0	500	37041	127	-500.0	500	37041	127	-500.0	500	37041
128	-500.0	500	37541	128	-500.0	500	37541	128	-500.0	500	37541	128	-500.0	500	37541
129	-500.0	500	38041	129	-500.0	500	38041	129	-500.0	500	38041	129	-500.0	500	38041
130	-500.0	500	38541	130	-500.0	500	38541	130	-500.0	500	38541	130	-500.0	500	38541
131	-500.0	500	39041	131	-500.0	500	39041	131	-500.0	500	39041	131	-500.0	500	39041
132	-500.0	500	39541	132	-500.0	500	39541	132	-500.0	500	39541	132	-500.0	500	39541
133	-500.0	500	40041	133	-500.0	500	40041	133	-500.0	500	40041	133	-500.0	500	40041
134	-500.0	500	40541	134	-500.0	500	40541	134	-500.0	500	40541	134	-500.0	500	40541
135	-500.0	500	41041	135	-500.0	500	41041	135	-500.0	500	41041	135	-500.0	500	41041
136	-500.0	500	41541	136	-500.0	500	41541	136	-500.0	500	41541	136	-500.0	500	41541
137	-500.0	500	42041	137	-500.0	500	42041	137	-500.0	500	42041	137	-500.0	500	42041
138	-500.0	500	42541	138	-500.0	500	42541	138	-500.0	500	42541	138	-500.0	500	42541
139	-500.0	500	43041	139	-500.0	500	43041	139	-500.0	500	43041	139	-500.0	500	43041
140	-500.0	500	43541	140	-500.0	500	43541	140	-500.0	500	43541	140	-500.0	500	43541
141	-500.0	500	44041	141	-500.0	500	44041	141	-500.0	500	44041	141	-500.0	500	44041
142	-500.0	500	44541	142	-500.0	500	44541	142	-500.0	500	44541	142	-500.0	500	44541
143	-500.0	500	45041	143	-500.0	500	45041	143	-500.0	500	45041	143	-500.0	500	45041
144	-500.0	500	45541	144	-500.0	500	45541	144	-500.0	500	45541	144	-500.0	500	45541
145	-500.0	500	46041	145	-500.0	500	46041	145	-500.0	500	46041	145	-500.0	500	46041
146	-500.0	500	46541	146	-500.0	500	46541	146	-500.0	500	46541	146	-500.0	500	46541
147	-500.0	500	47041	147	-500.0	500	47041	147	-500.0	500	47041	147	-500.0	500	47041
148	-500.0	500	47541	148	-500.0	500	47541	148	-500.0	500	47541	148	-500.0	500	47541
149	-500.0	500	48041	149	-500.0	500	48041	149	-500.0	500	48041	149	-500.0	500	48041
150	-500.0	500	48541	150	-500.0	500	48541	150	-500.0	500	48541	150	-500.0	500	48541
151	-500.0	500	49041	151	-500.0	500	49041	151	-500.0	500	49041	151	-500.0	500	49041
152	-500.0	500	49541	152	-500.0	500	49541	152	-500.0	500	49541	152	-500.0	500	49541
153	-500.0	500	50041	153	-500.0	500	50041	153	-500.0	500	50041	153	-500.0	500	50041
154	-500.0	500	50541	154	-500.0	500	50541	154	-500.0	500	50541	154	-500.0	500	50541
155	-500.0	500	51041	155	-500.0	500	51041	155	-500.0	500	51041	155	-500.0	500	51041
156	-500.0	500	51541	156	-500.0	500	51541	156	-500.0	500	51541	156	-500.0	500	51541
157	-500.0	500	52041	157	-500.0	500	52041	157	-500.0	500	52041	157	-500.0	500	52041
158	-500.0	500	52541	158	-500.0	500	52541	158	-500.0	500	52541	158	-500.0	500	52541
159	-500.0	500	53041	159	-500.0	500	53041	159	-500.0	500	53041	159	-500.0	500	53041
160	-500.0	500	53541	160	-500.0	500	53541	160	-500.0	500	53541	160	-500.0	500	53541
161	-500.0	500	54041	161	-500.0	500	54041	161	-500.0	500	54041	161	-500.0	500	54041
162	-500.0	500	54541	162	-500.0	500	54541	162	-500.0	500	54541	162	-500.0	500	54541
163	-500.0	500	55041	163	-500.0	500	55041	163	-500.0	500	55041	163	-500.0	500	55041
164	-500.0	500	55541	164	-500.0	500	55541	164	-500.0	500	55541	164	-500.0	500	55541
165	-500.0	500	56041	165	-500.0	500	56041	165	-500.0	500	56041	165	-500.0	500	56041
166	-500.0	500	56541	166	-500.0	500	56541	166	-500.0	500	56541	166	-500.0	500	56541
167	-500.0	500	57041	167	-500.0	500	57041	167	-500.0	500	57041	167	-500.0	500	57041
168	-500.0	500	57541	168	-500.0	500	57541	168	-500.0	500	57541	168	-500.0	500	57541
169	-500.0	500	58041	169	-500.0	500	58041	169	-500.0	500	58041	169	-500.0	500	58041
170	-500.0	500	58541	170	-500.0	500	58541	170	-500.0	500	58541	170	-500.0	500	58541
171	-500.0	500	59041	171	-500.0	500	59041	171	-500.0	500	59041	171	-500.0	500	59041
172	-500.0	500	59541	172	-500.0	500	59541	172	-500.0	500	59541	172	-500.0	500	59541
173	-500.0	500	60041	173	-500.0	500	60041	173	-500.0	500	60041	173	-500.0	500	60041
174	-500.0	500	60541	174	-500.0	500	60541	174	-500.0	500	60541	174	-500.0	500	60541
175	-500.0	500	61041	175	-500.0	500	61041	175	-500.0	500	61041	175	-500.0	500	61041
176	-500.0	500	61541	176	-500.0	500	61541	176	-500.0	500	61541	176	-500.0	500	61541
177	-500.0	500	62041	177	-500.0	500	62041	177	-500.0	500	62041	177	-500.0	500	62041
178	-500.0	500	62541	178	-500.0	500	62541	178	-500.0	500	62541	178	-500.0	500	62541
179	-500.0	500	63041	179	-500.0	500	63041	179	-500.0	500	63041	179	-500.0	500	63041
180	-500.0	500	63541	180	-500.0	500	63541	180	-500.0	500	63541	180	-500.0	500	63541
181	-500.0	500	64041	181	-500.0	500	64041	181	-500.0	500	64041	181	-500.0	500	64041
182	-500.0	500	64541	182	-500.0	500	64541	182	-500.0	500	64541	182	-500.0	500	64541
183	-500.0	500	65041	183	-500.0	500	65041	183	-500.0	500	65041	183	-500.0	500	65041
184	-500.0	500	65541	184	-500.0	500	65541	184	-500.0	500	65541	184	-500.0	500	65541
185	-500.0	500	66041	185	-500.0	500	66041	185	-500.0	500	66041	185	-500.0	500	66041
186	-500.0	500	66541	186	-500.0	500	66541	186	-500.0	500	66541	186	-500.0	500	66541
187	-500.0	500	67041	187	-500.0	500	67041	187	-500.0	500	67041	187	-500.0	500	67041
188	-500.0	500	67541	188	-500.0	500	67541	188	-500.0	500	67541	188	-500.0	500	67541
189	-500.0	500	68041	189	-500.0	500	68041	189	-500.0	500	68041	189	-500.0	500	68041
190	-500.0	500	68541	190	-500.0	500	68541	190	-500.0	500	68541	190	-500.0	500	68541
191	-500.0	500	69041	191	-500.0	500	69041	191	-500.0	500	69041	191	-500.0	500	69041
192	-500.0	500	69541	192	-500.0	500	69541	192	-500.0	500	69541	192	-500.0	500	69541
193	-500.0	500	70041	193	-500.0	500	70041	193	-500.0	500	70041	193	-500.0	500	70041
194	-500.0	500	70541	194	-500.0	500	70541	194	-500.0	500	70541	194	-500.0	500	70541
195	-500.0	500	71041	195	-500.0	500	71041	195	-500.0	500	71041	195	-500.0	500	71041
196	-500.0	500	71541	196	-500.0	500	71541	196	-500.0	500	71541	196	-500.0	500	71541
197	-500.0	500	72041	197	-500.0	500	72041	197	-500.0	500	72041	197	-500.0	500	72041
198	-500.0	500	72541	198	-500.0	500	72541	198	-500.0	500	72541	198	-500.0	500	72541
199	-500.0	500	73041	199	-500.0	500	73041	199	-500.0	500	73041	199	-500.0	500	73041
200	-500.0	500	73541	200	-500.0	500	73541	200	-500.0	500	73541	200	-500.0	500	73541
201	-500.0	500	74041	201	-500.0	500	74041	201	-500.0	500	74041	201	-500.0	500	74041
202	-500.0	500	74541	202	-500.0	500	74541	202	-500.0	500	74541	202	-500.0	500	74541
203	-500.0	500	75041	203	-500.0	500	75041	203	-500.0	500	75041	203	-500.0	500	75041
204	-500.0	500	75541	204	-500.0	500	75541	204	-500.0	500	75541	204	-500.0	500	75541
205	-500.0	500	76041	205	-500.0	500	76041	205	-500.0	500	76041	205	-500.0	500	76041
206	-500.0	500	76541	206	-500.0	500	76541	206	-500.0	500	76541	206	-500.0	500	76541
207	-500.0	500	77041	207	-500.0	500	77041	207	-500.0	500	77041	207	-500.0	500	77041
208	-500.0	500	77541	208	-500.0	500	77541	208	-500.0	500	77541	208	-500.0	500	77541
209	-500.0	500	78041	209	-500.0	500	78041	209	-500.0	500	78041	209	-500.0	500	78041
210	-500.0	500	78541	210	-500.0	500	78541	210	-500.0	500	78541	210	-500.0	500	78541
211	-500.0	500	79041	211	-500.0	500	79041	211	-500.0	500	79041	211	-500.0	500	79041
212	-500.0	500	79541	212	-500.0	500	79541	212	-500.0	500	79541	212	-500.0	500	79541
213	-500.0	500	80041	213	-500.0	500	80041	213	-500.0	500	80041	213	-500.0	500	80041
214	-500.0	500	80541	214	-500.0	500	80541	214	-500.0	500	80541	214	-500.0	500	80541
215	-500.0	500	81041	215	-500.0	500	81041	215	-500.0	500	81041	215	-500.0	500	81041
216	-500.0	500	81541	216	-500.0	500	81541	216	-500.0	500	81541	216	-500.0	500	81541
217	-500.0	500	82041	217	-500.0	500	82041	217	-500.0	500	82041	217	-500.0	500	82041
218	-500.0	500	82541	218	-500.0	500	82541	218	-500.0	500	82541	218	-500.0	500	82541
219	-500.0	500	83041	219	-500.0	500	83041	219	-500.0	500	83041	219	-500.0	500	83041
220	-500.0	500	83541	220	-500.0	500	83541	220	-500.0	500	83541	220	-500.0	500	83541
221	-500.0	500	84041	221	-500.0	500	84041	221	-500.0	500	84041	221	-500.0	500	84041
222	-500.0	500	84541	222	-500.0	500	84541	222	-500.0	500	84541	222	-500.0	500	84541
223	-500.0	500	85041	223	-500.0	500	85041	223	-500.0	500	85041	223	-500.0	500	85041
224	-281.0	281	85322	224	-281.0	281	85322	224	-281.0	281	85322	224	-281.0	281	85322
225	-291.0	291	85613	225	-291.0	291	85613	225	-291.0	291	85613	225	-291.0	291	85613
226	-500.0	500	86113	226	-500.0	500	86113	226	-500.0	500	86113	226	-500.0	500	86113
227	-500.0	500	86613	227	-500.0	500	86613	227	-500.0	500	86613	227	-500.0	500	86613
228	-500.0	500	87113	228	-500.0	500	87113	228	-500.0	500	87113	228	-500.0	500	87113
229	-500.0	500	87613	229	-500.0	500	87613	229	-500.0	500	87613	229	-500.0	500	87613
230	-500.0	500	88113	230	-500.0	500	88113	230	-500.0	500	88113	230	-500.0	500	88113
231	-500.0	500	88613	231	-500.0	500	88613	231	-500.0	500	88613	231	-500.0	500	88613
232	-500.0	500	89113	232	-500.0	500	89113	232	-500.0	500	89113	232	-500.0	500	89113
233	-500.0	500	89613	233	-500.0	500	89613	233	-500.0	500	89613	233	-500.0	500	89613
234	-500.0	500	90113	234	-500.0	500	90113	234	-500.0	500	90113	234	-500.0	500	90113
235	-500.0	500	90613	235	-500.0	500	90613	235	-500.0	500	90613	235	-500.0	500	90613
236	-500.0	500	91113	236	-500.0	500	91113	236	-500.0	500	91113	236	-500.0	500	91113
237	-500.0	500	91613	237	-500.0	500	91613	237	-500.0	500	91613	237	-500.0	500	91613
238	-500.0	500	92113	238	-500.0	500	92113	238	-500.0	500	92113	238	-500.0	500	92113
239	-500.0	500	92613	239	-500.0	500	92613	239	-500.0	500	92613	239	-500.0	500	92613
240	-480.0	480	93093	240	-480.0	480	93093	240	-480.0	480	93093	240	-480.0	480	93093
241	-500.0	500	93593	241	-500.0	500	93593	241	-500.0	500	93593	241	-500.0	500	93593
242	-500.0	500	94093	242	-500.0	500	94093	242	-500.0	500	94093	242	-500.0	500	94093
243	-500.0	500	94593	243	-500.0	500	94593	243	-500.0	500	94593	243	-500.0	500	94593
244	-500.0	500	95093	244	-500.0	500	95093	244	-500.0	500	95093	244	-500.0	500	95093
245	-500.0	500	95593	245	-500.0	500	95593	245	-500.0	500	95593	245	-500.0	500	95593
246	-500.0	500	96093	246	-500.0	500	96093	246	-500.0	500	96093	246	-500.0	500	96093
247	-500.0	500	96593	247	-500.0	500	96593	247	-500.0	500	96593	247	-500.0	500	96593
248	-500.0	500	97093	248	-500.0	500	97093	248	-500.0	500	97093	248	-500.0	500	97093
249	-500.0	500	97593	249	-500.0	500	97593	249	-500.0	500	97593	249	-500.0	500	97593
250	-500.0	500	98093	250	-500.0	500	98093	250	-500.0	500	98093	250	-500.0	500	98093
251	-500.0	500	98593	251	-500.0	500	98593	251	-500.0	500	98593	251	-500.0	500	98593
252	-500.0	500	99093	252	-500.0	500	99093	252	-500.0	500	99093	252	-500.0	500	99093
253	-500.0	500	99593	253	-500.0	500	99593	253	-500.0	500	99593	253	-500.0	500	99593
254	-500.0	500	100093	254	-500.0	500	100093	254	-500.0	500	100093	254	-500.0	500	100093
255	-500.0	500	100593	255	-500.0	500	100593	255	-500.0	500	100593	255	-500.0	500	100593
256	-500.0	500	101093	256	-500.0	500	101093	256	-500.0	500	101093	256	-500.0	500	101093
257	-500.0	500	101593	257	-500.0	500	101593	257	-500.0	500	101593	257	-500.0	500	101593
258	-500.0	500	102093	258	-500.0	500	102093	258	-500.0	500	102093	258	-500.0	500	102093
259	-500.0	500	102593	259	-500.0	500	102593	259	-500.0	500	102593	259	-500.0	500	102593
260	-500.0	500	103093	260	-500.0	500	103093	260	-500.0	500	103093	260	-500.0	500	103093
261	-500.0	500	103593	261	-500.0	500	103593	261	-500.0	500	103593	261	-500.0	500	103593
262	-500.0	500	104093	262	-500.0	500	104093	262	-500.0	500	104093	262	-500.0	500	104093
263	-500.0	500	104593	263	-500.0	500	104593	263	-500.0	500	104593	263	-500.0	500	104593
264	-500.0	500	105093	264	-500.0	500	105093	264	-500.0	500	105093	264	-500.0	500	105093
265	-500.0	500	105593	265	-500.0	500	105593	265	-500.0	500	105593	265	-500.0	500	105593
266	-500.0	500	106093	266	-500.0	500	106093	266	-500.0	500	106093	266	-500.0	500	106093
267	-500.0	500	106593	267	-500.0	500	106593	267	-500.0	500	106593	267	-500.0	500	106593
268	-500.0	500	107093	268	-500.0	500	107093	268	-500.0	500	107093	268	-500.0	500	107093
269	-500.0	500	107593	269	-500.0	500	107593	269	-500.0	500	107593	269	-500.0	500	107593
270	-500.0	500	108093	270	-500.0	500	108093	270	-500.0	500	108093	270	-500.0	500	108093
271	-500.0	500	108593	271	-500.0	500	108593	271	-500.0	500	108593	271	-500.0	500	108593
272	-500.0	500	109093	272	-500.0	500	109093	272	-500.0	500	109093	272	-500.0	500	109093
273	-500.0	500	109593	273	-500.0	500	109593	273	-500.0	500	109593	273	-500.0	500	109593
274	-500.0	500	110093	274	-500.0	500	110093	274	-500.0	500	110093	274	-500.0	500	110093
275	-500.0	500	110593	275	-500.0	500	110593	275	-500.0	500	110593	275	-500.0	500	110593
276	-500.0	500	111093	276	-500.0	500	111093	276	-500.0	500	111093	276	-500.0	500	111093
277	-500.0	500	111593	277	-500.0	500	111593	277	-500.0	500	111593	277	-500.0	500	111593
278	-500.0	500	112093	278	-500.0	500	112093	278	-500.0	500	112093	278	-500.0	500	112093
279	-500.0	500	112593	279	-500.0	500	112593	279	-500.0	500	112593	279	-500.0	500	112593
280	-500.0	500	113093	280	-500.0	500	113093	280	-500.0	500	113093	280	-500.0	500	113093
281	-500.0	500	113593	281	-500.0	500	113593	281	-500.0	500	113593	281	-500.0	500	113593
282	-500.0	500	114093	282	-500.0	500	114093	282	-500.0	500	114093	282	-500.0	500	114093
283	-500.0	500	114593	283	-500.0	500	114593	283	-500.0	500	114593	283	-500.0	500	114593
284	-500.0	500	115093	284	-500.0	500	115093	284	-500.0	500	115093	284	-500.0	500	115093
285	-500.0	500	115593	285	-500.0	500	115593	285	-500.0	500	115593	285	-500.0	500	115593
286	-500.0	500	116093	286	-500.0	500	116093	286	-500.0	500	116093	286	-500.0	500	116093
287	-500.0	500	116593	287	-500.0	500	116593	287	-500.0	500	116593	287	-500.0	500	116593
