Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042	66	-33	33	7042
67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091	67	-49	49	7091
68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131	68	-40	40	7131
69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178	69	-47	47	7178
70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214	70	-36	36	7214
71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282	71	-68	68	7282
72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330	72	-147	48	7330
73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410	73	-179	80	7410
74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452	74	-42	42	7452
75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486	75	-34	34	7486
76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558	76	-171	72	7558
77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582	77	-24	24	7582
78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620	78	-38	38	7620
79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665	79	-45	45	7665
80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717	80	-52	52	7717
81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762	81	-45	45	7762
82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791	82	-29	29	7791
83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841	83	-149	50	7841
84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875	84	-34	34	7875
85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902	85	-27	27	7902
86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953	86	-51	51	7953
87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996	87	-43	43	7996
88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018	88	-22	22	8018
89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070	89	-52	52	8070
90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100	90	-30	30	8100
91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137	91	-37	37	8137
92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173	92	-36	36	8173
93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208	93	-35	35	8208
94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243	94	-134	35	8243
