Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
62	-111	111	8961	62	-111	111	8961	62	-111	111	8961	62	-111	111	8961	62	-111	111	8961	62	-111	111	8961	62	-111	111	8961	62	-111	111	8961	62	-111	111	8961	62	-111	111	8961	62	-111	111	8961	62	-111	111	8961	62	-111	111	8961	62	-111	111	8961	62	-111	111	8961	62	-111	111	8961	62	-111	111	8961	62	-111	111	8961	62	-111	111	8961	62	-111	111	8961	62	-111	111	8961
63	-115	115	9076	63	-115	115	9076	63	-115	115	9076	63	-115	115	9076	63	-115	115	9076	63	-115	115	9076	63	-115	115	9076	63	-115	115	9076	63	-115	115	9076	63	-115	115	9076	63	-115	115	9076	63	-115	115	9076	63	-115	115	9076	63	-115	115	9076	63	-115	115	9076	63	-115	115	9076	63	-115	115	9076	63	-115	115	9076	63	-115	115	9076	63	-115	115	9076	63	-115	115	9076
64	-170	71	9147	64	-170	71	9147	64	-170	71	9147	64	-170	71	9147	64	-170	71	9147	64	-170	71	9147	64	-170	71	9147	64	-170	71	9147	64	-170	71	9147	64	-170	71	9147	64	-170	71	9147	64	-170	71	9147	64	-170	71	9147	64	-170	71	9147	64	-170	71	9147	64	-170	71	9147	64	-170	71	9147	64	-170	71	9147	64	-170	71	9147	64	-170	71	9147	64	-170	71	9147
65	-170	71	9218	65	-170	71	9218	65	-170	71	9218	65	-170	71	9218	65	-170	71	9218	65	-170	71	9218	65	-170	71	9218	65	-170	71	9218	65	-170	71	9218	65	-170	71	9218	65	-170	71	9218	65	-170	71	9218	65	-170	71	9218	65	-170	71	9218	65	-170	71	9218	65	-170	71	9218	65	-170	71	9218	65	-170	71	9218	65	-170	71	9218	65	-170	71	9218	65	-170	71	9218
66	-78	78	9296	66	-78	78	9296	66	-78	78	9296	66	-78	78	9296	66	-78	78	9296	66	-78	78	9296	66	-78	78	9296	66	-78	78	9296	66	-78	78	9296	66	-78	78	9296	66	-78	78	9296	66	-78	78	9296	66	-78	78	9296	66	-78	78	9296	66	-78	78	9296	66	-78	78	9296	66	-78	78	9296	66	-78	78	9296	66	-78	78	9296	66	-78	78	9296	66	-78	78	9296
67	-97	97	9393	67	-97	97	9393	67	-97	97	9393	67	-97	97	9393	67	-97	97	9393	67	-97	97	9393	67	-97	97	9393	67	-97	97	9393	67	-97	97	9393	67	-97	97	9393	67	-97	97	9393	67	-97	97	9393	67	-97	97	9393	67	-97	97	9393	67	-97	97	9393	67	-97	97	9393	67	-97	97	9393	67	-97	97	9393	67	-97	97	9393	67	-97	97	9393	67	-97	97	9393
68	-57	57	9450	68	-57	57	9450	68	-57	57	9450	68	-57	57	9450	68	-57	57	9450	68	-57	57	9450	68	-57	57	9450	68	-57	57	9450	68	-57	57	9450	68	-57	57	9450	68	-57	57	9450	68	-57	57	9450	68	-57	57	9450	68	-57	57	9450	68	-57	57	9450	68	-57	57	9450	68	-57	57	9450	68	-57	57	9450	68	-57	57	9450	68	-57	57	9450	68	-57	57	9450
69	-88	88	9538	69	-88	88	9538	69	-88	88	9538	69	-88	88	9538	69	-88	88	9538	69	-88	88	9538	69	-88	88	9538	69	-88	88	9538	69	-88	88	9538	69	-88	88	9538	69	-88	88	9538	69	-88	88	9538	69	-88	88	9538	69	-88	88	9538	69	-88	88	9538	69	-88	88	9538	69	-88	88	9538	69	-88	88	9538	69	-88	88	9538	69	-88	88	9538	69	-88	88	9538
70	-206	107	9645	70	-206	107	9645	70	-206	107	9645	70	-206	107	9645	70	-206	107	9645	70	-206	107	9645	70	-206	107	9645	70	-206	107	9645	70	-206	107	9645	70	-206	107	9645	70	-206	107	9645	70	-206	107	9645	70	-206	107	9645	70	-206	107	9645	70	-206	107	9645	70	-206	107	9645	70	-206	107	9645	70	-206	107	9645	70	-206	107	9645	70	-206	107	9645	70	-206	107	9645
71	-159	60	9705	71	-159	60	9705	71	-159	60	9705	71	-159	60	9705	71	-159	60	9705	71	-159	60	9705	71	-159	60	9705	71	-159	60	9705	71	-159	60	9705	71	-159	60	9705	71	-159	60	9705	71	-159	60	9705	71	-159	60	9705	71	-159	60	9705	71	-159	60	9705	71	-159	60	9705	71	-159	60	9705	71	-159	60	9705	71	-159	60	9705	71	-159	60	9705	71	-159	60	9705
72	-83	83	9788	72	-83	83	9788	72	-83	83	9788	72	-83	83	9788	72	-83	83	9788	72	-83	83	9788	72	-83	83	9788	72	-83	83	9788	72	-83	83	9788	72	-83	83	9788	72	-83	83	9788	72	-83	83	9788	72	-83	83	9788	72	-83	83	9788	72	-83	83	9788	72	-83	83	9788	72	-83	83	9788	72	-83	83	9788	72	-83	83	9788	72	-83	83	9788	72	-83	83	9788
73	-42	42	9830	73	-42	42	9830	73	-42	42	9830	73	-42	42	9830	73	-42	42	9830	73	-42	42	9830	73	-42	42	9830	73	-42	42	9830	73	-42	42	9830	73	-42	42	9830	73	-42	42	9830	73	-42	42	9830	73	-42	42	9830	73	-42	42	9830	73	-42	42	9830	73	-42	42	9830	73	-42	42	9830	73	-42	42	9830	73	-42	42	9830	73	-42	42	9830	73	-42	42	9830
74	-47	47	9877	74	-47	47	9877	74	-47	47	9877	74	-47	47	9877	74	-47	47	9877	74	-47	47	9877	74	-47	47	9877	74	-47	47	9877	74	-47	47	9877	74	-47	47	9877	74	-47	47	9877	74	-47	47	9877	74	-47	47	9877	74	-47	47	9877	74	-47	47	9877	74	-47	47	9877	74	-47	47	9877	74	-47	47	9877	74	-47	47	9877	74	-47	47	9877	74	-47	47	9877
75	-63	63	9940	75	-63	63	9940	75	-63	63	9940	75	-63	63	9940	75	-63	63	9940	75	-63	63	9940	75	-63	63	9940	75	-63	63	9940	75	-63	63	9940	75	-63	63	9940	75	-63	63	9940	75	-63	63	9940	75	-63	63	9940	75	-63	63	9940	75	-63	63	9940	75	-63	63	9940	75	-63	63	9940	75	-63	63	9940	75	-63	63	9940	75	-63	63	9940	75	-63	63	9940
76	-72	72	10012	76	-72	72	10012	76	-72	72	10012	76	-72	72	10012	76	-72	72	10012	76	-72	72	10012	76	-72	72	10012	76	-72	72	10012	76	-72	72	10012	76	-72	72	10012	76	-72	72	10012	76	-72	72	10012	76	-72	72	10012	76	-72	72	10012	76	-72	72	10012	76	-72	72	10012	76	-72	72	10012	76	-72	72	10012	76	-72	72	10012	76	-72	72	10012	76	-72	72	10012
77	-195	96	10108	77	-195	96	10108	77	-195	96	10108	77	-195	96	10108	77	-195	96	10108	77	-195	96	10108	77	-195	96	10108	77	-195	96	10108	77	-195	96	10108	77	-195	96	10108	77	-195	96	10108	77	-195	96	10108	77	-195	96	10108	77	-195	96	10108	77	-195	96	10108	77	-195	96	10108	77	-195	96	10108	77	-195	96	10108	77	-195	96	10108	77	-195	96	10108	77	-195	96	10108
78	-40	40	10148	78	-40	40	10148	78	-40	40	10148	78	-40	40	10148	78	-40	40	10148	78	-40	40	10148	78	-40	40	10148	78	-40	40	10148	78	-40	40	10148	78	-40	40	10148	78	-40	40	10148	78	-40	40	10148	78	-40	40	10148	78	-40	40	10148	78	-40	40	10148	78	-40	40	10148	78	-40	40	10148	78	-40	40	10148	78	-40	40	10148	78	-40	40	10148	78	-40	40	10148
79	-37	37	10185	79	-37	37	10185	79	-37	37	10185	79	-37	37	10185	79	-37	37	10185	79	-37	37	10185	79	-37	37	10185	79	-37	37	10185	79	-37	37	10185	79	-37	37	10185	79	-37	37	10185	79	-37	37	10185	79	-37	37	10185	79	-37	37	10185	79	-37	37	10185	79	-37	37	10185	79	-37	37	10185	79	-37	37	10185	79	-37	37	10185	79	-37	37	10185	79	-37	37	10185
80	-31	31	10216	80	-31	31	10216	80	-31	31	10216	80	-31	31	10216	80	-31	31	10216	80	-31	31	10216	80	-31	31	10216	80	-31	31	10216	80	-31	31	10216	80	-31	31	10216	80	-31	31	10216	80	-31	31	10216	80	-31	31	10216	80	-31	31	10216	80	-31	31	10216	80	-31	31	10216	80	-31	31	10216	80	-31	31	10216	80	-31	31	10216	80	-31	31	10216	80	-31	31	10216
81	-49	49	10265	81	-49	49	10265	81	-49	49	10265	81	-49	49	10265	81	-49	49	10265	81	-49	49	10265	81	-49	49	10265	81	-49	49	10265	81	-49	49	10265	81	-49	49	10265	81	-49	49	10265	81	-49	49	10265	81	-49	49	10265	81	-49	49	10265	81	-49	49	10265	81	-49	49	10265	81	-49	49	10265	81	-49	49	10265	81	-49	49	10265	81	-49	49	10265	81	-49	49	10265
82	-70	70	10335	82	-70	70	10335	82	-70	70	10335	82	-70	70	10335	82	-70	70	10335	82	-70	70	10335	82	-70	70	10335	82	-70	70	10335	82	-70	70	10335	82	-70	70	10335	82	-70	70	10335	82	-70	70	10335	82	-70	70	10335	82	-70	70	10335	82	-70	70	10335	82	-70	70	10335	82	-70	70	10335	82	-70	70	10335	82	-70	70	10335	82	-70	70	10335	82	-70	70	10335
83	-162	63	10398	83	-162	63	10398	83	-162	63	10398	83	-162	63	10398	83	-162	63	10398	83	-162	63	10398	83	-162	63	10398	83	-162	63	10398	83	-162	63	10398	83	-162	63	10398	83	-162	63	10398	83	-162	63	10398	83	-162	63	10398	83	-162	63	10398	83	-162	63	10398	83	-162	63	10398	83	-162	63	10398	83	-162	63	10398	83	-162	63	10398	83	-162	63	10398	83	-162	63	10398
84	-49	49	10447	84	-49	49	10447	84	-49	49	10447	84	-49	49	10447	84	-49	49	10447	84	-49	49	10447	84	-49	49	10447	84	-49	49	10447	84	-49	49	10447	84	-49	49	10447	84	-49	49	10447	84	-49	49	10447	84	-49	49	10447	84	-49	49	10447	84	-49	49	10447	84	-49	49	10447	84	-49	49	10447	84	-49	49	10447	84	-49	49	10447	84	-49	49	10447	84	-49	49	10447
85	-27	27	10474	85	-27	27	10474	85	-27	27	10474	85	-27	27	10474	85	-27	27	10474	85	-27	27	10474	85	-27	27	10474	85	-27	27	10474	85	-27	27	10474	85	-27	27	10474	85	-27	27	10474	85	-27	27	10474	85	-27	27	10474	85	-27	27	10474	85	-27	27	10474	85	-27	27	10474	85	-27	27	10474	85	-27	27	10474	85	-27	27	10474	85	-27	27	10474	85	-27	27	10474
86	-41	41	10515	86	-41	41	10515	86	-41	41	10515	86	-41	41	10515	86	-41	41	10515	86	-41	41	10515	86	-41	41	10515	86	-41	41	10515	86	-41	41	10515	86	-41	41	10515	86	-41	41	10515	86	-41	41	10515	86	-41	41	10515	86	-41	41	10515	86	-41	41	10515	86	-41	41	10515	86	-41	41	10515	86	-41	41	10515	86	-41	41	10515	86	-41	41	10515	86	-41	41	10515
87	-29	29	10544	87	-29	29	10544	87	-29	29	10544	87	-29	29	10544	87	-29	29	10544	87	-29	29	10544	87	-29	29	10544	87	-29	29	10544	87	-29	29	10544	87	-29	29	10544	87	-29	29	10544	87	-29	29	10544	87	-29	29	10544	87	-29	29	10544	87	-29	29	10544	87	-29	29	10544	87	-29	29	10544	87	-29	29	10544	87	-29	29	10544	87	-29	29	10544	87	-29	29	10544
88	-403	106	10650	88	-403	106	10650	88	-403	106	10650	88	-403	106	10650	88	-403	106	10650	88	-403	106	10650	88	-403	106	10650	88	-403	106	10650	88	-403	106	10650	88	-403	106	10650	88	-403	106	10650	88	-403	106	10650	88	-403	106	10650	88	-403	106	10650	88	-403	106	10650	88	-403	106	10650	88	-403	106	10650	88	-403	106	10650	88	-403	106	10650	88	-403	106	10650	88	-403	106	10650
89	-27	27	10677	89	-27	27	10677	89	-27	27	10677	89	-27	27	10677	89	-27	27	10677	89	-27	27	10677	89	-27	27	10677	89	-27	27	10677	89	-27	27	10677	89	-27	27	10677	89	-27	27	10677	89	-27	27	10677	89	-27	27	10677	89	-27	27	10677	89	-27	27	10677	89	-27	27	10677	89	-27	27	10677	89	-27	27	10677	89	-27	27	10677	89	-27	27	10677	89	-27	27	10677
90	-45	45	10722	90	-45	45	10722	90	-45	45	10722	90	-45	45	10722	90	-45	45	10722	90	-45	45	10722	90	-45	45	10722	90	-45	45	10722	90	-45	45	10722	90	-45	45	10722	90	-45	45	10722	90	-45	45	10722	90	-45	45	10722	90	-45	45	10722	90	-45	45	10722	90	-45	45	10722	90	-45	45	10722	90	-45	45	10722	90	-45	45	10722	90	-45	45	10722	90	-45	45	10722
91	-44	44	10766	91	-44	44	10766	91	-44	44	10766	91	-44	44	10766	91	-44	44	10766	91	-44	44	10766	91	-44	44	10766	91	-44	44	10766	91	-44	44	10766	91	-44	44	10766	91	-44	44	10766	91	-44	44	10766	91	-44	44	10766	91	-44	44	10766	91	-44	44	10766	91	-44	44	10766	91	-44	44	10766	91	-44	44	10766	91	-44	44	10766	91	-44	44	10766	91	-44	44	10766
92	-42	42	10808	92	-42	42	10808	92	-42	42	10808	92	-42	42	10808	92	-42	42	10808	92	-42	42	10808	92	-42	42	10808	92	-42	42	10808	92	-42	42	10808	92	-42	42	10808	92	-42	42	10808	92	-42	42	10808	92	-42	42	10808	92	-42	42	10808	92	-42	42	10808	92	-42	42	10808	92	-42	42	10808	92	-42	42	10808	92	-42	42	10808	92	-42	42	10808	92	-42	42	10808
93	-38	38	10846	93	-38	38	10846	93	-38	38	10846	93	-38	38	10846	93	-38	38	10846	93	-38	38	10846	93	-38	38	10846	93	-38	38	10846	93	-38	38	10846	93	-38	38	10846	93	-38	38	10846	93	-38	38	10846	93	-38	38	10846	93	-38	38	10846	93	-38	38	10846	93	-38	38	10846	93	-38	38	10846	93	-38	38	10846	93	-38	38	10846	93	-38	38	10846	93	-38	38	10846
94	-51	51	10897	94	-51	51	10897	94	-51	51	10897	94	-51	51	10897	94	-51	51	10897	94	-51	51	10897	94	-51	51	10897	94	-51	51	10897	94	-51	51	10897	94	-51	51	10897	94	-51	51	10897	94	-51	51	10897	94	-51	51	10897	94	-51	51	10897	94	-51	51	10897	94	-51	51	10897	94	-51	51	10897	94	-51	51	10897	94	-51	51	10897	94	-51	51	10897	94	-51	51	10897
95	-153	54	10951	95	-153	54	10951	95	-153	54	10951	95	-153	54	10951	95	-153	54	10951	95	-153	54	10951	95	-153	54	10951	95	-153	54	10951	95	-153	54	10951	95	-153	54	10951	95	-153	54	10951	95	-153	54	10951	95	-153	54	10951	95	-153	54	10951	95	-153	54	10951	95	-153	54	10951	95	-153	54	10951	95	-153	54	10951	95	-153	54	10951	95	-153	54	10951	95	-153	54	10951
96	-31	31	10982	96	-31	31	10982	96	-31	31	10982	96	-31	31	10982	96	-31	31	10982	96	-31	31	10982	96	-31	31	10982	96	-31	31	10982	96	-31	31	10982	96	-31	31	10982	96	-31	31	10982	96	-31	31	10982	96	-31	31	10982	96	-31	31	10982	96	-31	31	10982	96	-31	31	10982	96	-31	31	10982	96	-31	31	10982	96	-31	31	10982	96	-31	31	10982	96	-31	31	10982
97	-22	22	11004	97	-22	22	11004	97	-22	22	11004	97	-22	22	11004	97	-22	22	11004	97	-22	22	11004	97	-22	22	11004	97	-22	22	11004	97	-22	22	11004	97	-22	22	11004	97	-22	22	11004	97	-22	22	11004	97	-22	22	11004	97	-22	22	11004	97	-22	22	11004	97	-22	22	11004	97	-22	22	11004	97	-22	22	11004	97	-22	22	11004	97	-22	22	11004	97	-22	22	11004
98	-35	35	11039	98	-35	35	11039	98	-35	35	11039	98	-35	35	11039	98	-35	35	11039	98	-35	35	11039	98	-35	35	11039	98	-35	35	11039	98	-35	35	11039	98	-35	35	11039	98	-35	35	11039	98	-35	35	11039	98	-35	35	11039	98	-35	35	11039	98	-35	35	11039	98	-35	35	11039	98	-35	35	11039	98	-35	35	11039	98	-35	35	11039	98	-35	35	11039	98	-35	35	11039
99	-29	29	11068	99	-29	29	11068	99	-29	29	11068	99	-29	29	11068	99	-29	29	11068	99	-29	29	11068	99	-29	29	11068	99	-29	29	11068	99	-29	29	11068	99	-29	29	11068	99	-29	29	11068	99	-29	29	11068	99	-29	29	11068	99	-29	29	11068	99	-29	29	11068	99	-29	29	11068	99	-29	29	11068	99	-29	29	11068	99	-29	29	11068	99	-29	29	11068	99	-29	29	11068
100	-26	26	11094	100	-26	26	11094	100	-26	26	11094	100	-26	26	11094	100	-26	26	11094	100	-26	26	11094	100	-26	26	11094	100	-26	26	11094	100	-26	26	11094	100	-26	26	11094	100	-26	26	11094	100	-26	26	11094	100	-26	26	11094	100	-26	26	11094	100	-26	26	11094	100	-26	26	11094	100	-26	26	11094	100	-26	26	11094	100	-26	26	11094	100	-26	26	11094	100	-26	26	11094
101	-27	27	11121	101	-27	27	11121	101	-27	27	11121	101	-27	27	11121	101	-27	27	11121	101	-27	27	11121	101	-27	27	11121	101	-27	27	11121	101	-27	27	11121	101	-27	27	11121	101	-27	27	11121	101	-27	27	11121	101	-27	27	11121	101	-27	27	11121	101	-27	27	11121	101	-27	27	11121	101	-27	27	11121	101	-27	27	11121	101	-27	27	11121	101	-27	27	11121	101	-27	27	11121
102	-41	41	11162	102	-41	41	11162	102	-41	41	11162	102	-41	41	11162	102	-41	41	11162	102	-41	41	11162	102	-41	41	11162	102	-41	41	11162	102	-41	41	11162	102	-41	41	11162	102	-41	41	11162	102	-41	41	11162	102	-41	41	11162	102	-41	41	11162	102	-41	41	11162	102	-41	41	11162	102	-41	41	11162	102	-41	41	11162	102	-41	41	11162	102	-41	41	11162	102	-41	41	11162
103	-143	44	11206	103	-143	44	11206	103	-143	44	11206	103	-143	44	11206	103	-143	44	11206	103	-143	44	11206	103	-143	44	11206	103	-143	44	11206	103	-143	44	11206	103	-143	44	11206	103	-143	44	11206	103	-143	44	11206	103	-143	44	11206	103	-143	44	11206	103	-143	44	11206	103	-143	44	11206	103	-143	44	11206	103	-143	44	11206	103	-143	44	11206	103	-143	44	11206	103	-143	44	11206
104	-35	35	11241	104	-35	35	11241	104	-35	35	11241	104	-35	35	11241	104	-35	35	11241	104	-35	35	11241	104	-35	35	11241	104	-35	35	11241	104	-35	35	11241	104	-35	35	11241	104	-35	35	11241	104	-35	35	11241	104	-35	35	11241	104	-35	35	11241	104	-35	35	11241	104	-35	35	11241	104	-35	35	11241	104	-35	35	11241	104	-35	35	11241	104	-35	35	11241	104	-35	35	11241
105	-42	42	11283	105	-42	42	11283	105	-42	42	11283	105	-42	42	11283	105	-42	42	11283	105	-42	42	11283	105	-42	42	11283	105	-42	42	11283	105	-42	42	11283	105	-42	42	11283	105	-42	42	11283	105	-42	42	11283	105	-42	42	11283	105	-42	42	11283	105	-42	42	11283	105	-42	42	11283	105	-42	42	11283	105	-42	42	11283	105	-42	42	11283	105	-42	42	11283	105	-42	42	11283
106	-35	35	11318	106	-35	35	11318	106	-35	35	11318	106	-35	35	11318	106	-35	35	11318	106	-35	35	11318	106	-35	35	11318	106	-35	35	11318	106	-35	35	11318	106	-35	35	11318	106	-35	35	11318	106	-35	35	11318	106	-35	35	11318	106	-35	35	11318	106	-35	35	11318	106	-35	35	11318	106	-35	35	11318	106	-35	35	11318	106	-35	35	11318	106	-35	35	11318	106	-35	35	11318
107	-38	38	11356	107	-38	38	11356	107	-38	38	11356	107	-38	38	11356	107	-38	38	11356	107	-38	38	11356	107	-38	38	11356	107	-38	38	11356	107	-38	38	11356	107	-38	38	11356	107	-38	38	11356	107	-38	38	11356	107	-38	38	11356	107	-38	38	11356	107	-38	38	11356	107	-38	38	11356	107	-38	38	11356	107	-38	38	11356	107	-38	38	11356	107	-38	38	11356	107	-38	38	11356
108	-31	31	11387	108	-31	31	11387	108	-31	31	11387	108	-31	31	11387	108	-31	31	11387	108	-31	31	11387	108	-31	31	11387	108	-31	31	11387	108	-31	31	11387	108	-31	31	11387	108	-31	31	11387	108	-31	31	11387	108	-31	31	11387	108	-31	31	11387	108	-31	31	11387	108	-31	31	11387	108	-31	31	11387	108	-31	31	11387	108	-31	31	11387	108	-31	31	11387	108	-31	31	11387
109	-39	39	11426	109	-39	39	11426	109	-39	39	11426	109	-39	39	11426	109	-39	39	11426	109	-39	39	11426	109	-39	39	11426	109	-39	39	11426	109	-39	39	11426	109	-39	39	11426	109	-39	39	11426	109	-39	39	11426	109	-39	39	11426	109	-39	39	11426	109	-39	39	11426	109	-39	39	11426	109	-39	39	11426	109	-39	39	11426	109	-39	39	11426	109	-39	39	11426	109	-39	39	11426
110	-33	33	11459	110	-33	33	11459	110	-33	33	11459	110	-33	33	11459	110	-33	33	11459	110	-33	33	11459	110	-33	33	11459	110	-33	33	11459	110	-33	33	11459	110	-33	33	11459	110	-33	33	11459	110	-33	33	11459	110	-33	33	11459	110	-33	33	11459	110	-33	33	11459	110	-33	33	11459	110	-33	33	11459	110	-33	33	11459	110	-33	33	11459	110	-33	33	11459	110	-33	33	11459
111	-27	27	11486	111	-27	27	11486	111	-27	27	11486	111	-27	27	11486	111	-27	27	11486	111	-27	27	11486	111	-27	27	11486	111	-27	27	11486	111	-27	27	11486	111	-27	27	11486	111	-27	27	11486	111	-27	27	11486	111	-27	27	11486	111	-27	27	11486	111	-27	27	11486	111	-27	27	11486	111	-27	27	11486	111	-27	27	11486	111	-27	27	11486	111	-27	27	11486	111	-27	27	11486
112	-28	28	11514	112	-28	28	11514	112	-28	28	11514	112	-28	28	11514	112	-28	28	11514	112	-28	28	11514	112	-28	28	11514	112	-28	28	11514	112	-28	28	11514	112	-28	28	11514	112	-28	28	11514	112	-28	28	11514	112	-28	28	11514	112	-28	28	11514	112	-28	28	11514	112	-28	28	11514	112	-28	28	11514	112	-28	28	11514	112	-28	28	11514	112	-28	28	11514	112	-28	28	11514
113	-30	30	11544	113	-30	30	11544	113	-30	30	11544	113	-30	30	11544	113	-30	30	11544	113	-30	30	11544	113	-30	30	11544	113	-30	30	11544	113	-30	30	11544	113	-30	30	11544	113	-30	30	11544	113	-30	30	11544	113	-30	30	11544	113	-30	30	11544	113	-30	30	11544	113	-30	30	11544	113	-30	30	11544	113	-30	30	11544	113	-30	30	11544	113	-30	30	11544	113	-30	30	11544
114	-20	20	11564	114	-20	20	11564	114	-20	20	11564	114	-20	20	11564	114	-20	20	11564	114	-20	20	11564	114	-20	20	11564	114	-20	20	11564	114	-20	20	11564	114	-20	20	11564	114	-20	20	11564	114	-20	20	11564	114	-20	20	11564	114	-20	20	11564	114	-20	20	11564	114	-20	20	11564	114	-20	20	11564	114	-20	20	11564	114	-20	20	11564	114	-20	20	11564	114	-20	20	11564
115	-39	39	11603	115	-39	39	11603	115	-39	39	11603	115	-39	39	11603	115	-39	39	11603	115	-39	39	11603	115	-39	39	11603	115	-39	39	11603	115	-39	39	11603	115	-39	39	11603	115	-39	39	11603	115	-39	39	11603	115	-39	39	11603	115	-39	39	11603	115	-39	39	11603	115	-39	39	11603	115	-39	39	11603	115	-39	39	11603	115	-39	39	11603	115	-39	39	11603	115	-39	39	11603
116	-36	36	11639	116	-36	36	11639	116	-36	36	11639	116	-36	36	11639	116	-36	36	11639	116	-36	36	11639	116	-36	36	11639	116	-36	36	11639	116	-36	36	11639	116	-36	36	11639	116	-36	36	11639	116	-36	36	11639	116	-36	36	11639	116	-36	36	11639	116	-36	36	11639	116	-36	36	11639	116	-36	36	11639	116	-36	36	11639	116	-36	36	11639	116	-36	36	11639	116	-36	36	11639
117	-25	25	11664	117	-25	25	11664	117	-25	25	11664	117	-25	25	11664	117	-25	25	11664	117	-25	25	11664	117	-25	25	11664	117	-25	25	11664	117	-25	25	11664	117	-25	25	11664	117	-25	25	11664	117	-25	25	11664	117	-25	25	11664	117	-25	25	11664	117	-25	25	11664	117	-25	25	11664	117	-25	25	11664	117	-25	25	11664	117	-25	25	11664	117	-25	25	11664	117	-25	25	11664
118	-42	42	11706	118	-42	42	11706	118	-42	42	11706	118	-42	42	11706	118	-42	42	11706	118	-42	42	11706	118	-42	42	11706	118	-42	42	11706	118	-42	42	11706	118	-42	42	11706	118	-42	42	11706	118	-42	42	11706	118	-42	42	11706	118	-42	42	11706	118	-42	42	11706	118	-42	42	11706	118	-42	42	11706	118	-42	42	11706	118	-42	42	11706	118	-42	42	11706	118	-42	42	11706
119	-24	24	11730	119	-24	24	11730	119	-24	24	11730	119	-24	24	11730	119	-24	24	11730	119	-24	24	11730	119	-24	24	11730	119	-24	24	11730	119	-24	24	11730	119	-24	24	11730	119	-24	24	11730	119	-24	24	11730	119	-24	24	11730	119	-24	24	11730	119	-24	24	11730	119	-24	24	11730	119	-24	24	11730	119	-24	24	11730	119	-24	24	11730	119	-24	24	11730	119	-24	24	11730
120	-21	21	11751	120	-21	21	11751	120	-21	21	11751	120	-21	21	11751	120	-21	21	11751	120	-21	21	11751	120	-21	21	11751	120	-21	21	11751	120	-21	21	11751	120	-21	21	11751	120	-21	21	11751	120	-21	21	11751	120	-21	21	11751	120	-21	21	11751	120	-21	21	11751	120	-21	21	11751	120	-21	21	11751	120	-21	21	11751	120	-21	21	11751	120	-21	21	11751	120	-21	21	11751
121	-27	27	11778	121	-27	27	11778	121	-27	27	11778	121	-27	27	11778	121	-27	27	11778	121	-27	27	11778	121	-27	27	11778	121	-27	27	11778	121	-27	27	11778	121	-27	27	11778	121	-27	27	11778	121	-27	27	11778	121	-27	27	11778	121	-27	27	11778	121	-27	27	11778	121	-27	27	11778	121	-27	27	11778	121	-27	27	11778	121	-27	27	11778	121	-27	27	11778	121	-27	27	11778
122	-30	30	11808	122	-30	30	11808	122	-30	30	11808	122	-30	30	11808	122	-30	30	11808	122	-30	30	11808	122	-30	30	11808	122	-30	30	11808	122	-30	30	11808	122	-30	30	11808	122	-30	30	11808	122	-30	30	11808	122	-30	30	11808	122	-30	30	11808	122	-30	30	11808	122	-30	30	11808	122	-30	30	11808	122	-30	30	11808	122	-30	30	11808	122	-30	30	11808	122	-30	30	11808
123	-136	37	11845	123	-136	37	11845	123	-136	37	11845	123	-136	37	11845	123	-136	37	11845	123	-136	37	11845	123	-136	37	11845	123	-136	37	11845	123	-136	37	11845	123	-136	37	11845	123	-136	37	11845	123	-136	37	11845	123	-136	37	11845	123	-136	37	11845	123	-136	37	11845	123	-136	37	11845	123	-136	37	11845	123	-136	37	11845	123	-136	37	11845	123	-136	37	11845	123	-136	37	11845
124	-30	30	11875	124	-30	30	11875	124	-30	30	11875	124	-30	30	11875	124	-30	30	11875	124	-30	30	11875	124	-30	30	11875	124	-30	30	11875	124	-30	30	11875	124	-30	30	11875	124	-30	30	11875	124	-30	30	11875	124	-30	30	11875	124	-30	30	11875	124	-30	30	11875	124	-30	30	11875	124	-30	30	11875	124	-30	30	11875	124	-30	30	11875	124	-30	30	11875	124	-30	30	11875
125	-18	18	11893	125	-18	18	11893	125	-18	18	11893	125	-18	18	11893	125	-18	18	11893	125	-18	18	11893	125	-18	18	11893	125	-18	18	11893	125	-18	18	11893	125	-18	18	11893	125	-18	18	11893	125	-18	18	11893	125	-18	18	11893	125	-18	18	11893	125	-18	18	11893	125	-18	18	11893	125	-18	18	11893	125	-18	18	11893	125	-18	18	11893	125	-18	18	11893	125	-18	18	11893
