Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
51	-78	78	6153	51	-78	78	6153	51	-78	78	6153	51	-78	78	6153	51	-78	78	6153	51	-78	78	6153	51	-78	78	6153	51	-78	78	6153	51	-78	78	6153	51	-78	78	6153	51	-78	78	6153	51	-78	78	6153	51	-78	78	6153	51	-78	78	6153	51	-78	78	6153	51	-78	78	6153	51	-78	78	6153	51	-78	78	6153	51	-78	78	6153	51	-78	78	6153	51	-78	78	6153	51	-78	78	6153	51	-78	78	6153	51	-78	78	6153	51	-78	78	6153
52	-179	80	6233	52	-179	80	6233	52	-179	80	6233	52	-179	80	6233	52	-179	80	6233	52	-179	80	6233	52	-179	80	6233	52	-179	80	6233	52	-179	80	6233	52	-179	80	6233	52	-179	80	6233	52	-179	80	6233	52	-179	80	6233	52	-179	80	6233	52	-179	80	6233	52	-179	80	6233	52	-179	80	6233	52	-179	80	6233	52	-179	80	6233	52	-179	80	6233	52	-179	80	6233	52	-179	80	6233	52	-179	80	6233	52	-179	80	6233	52	-179	80	6233
53	-118	118	6351	53	-118	118	6351	53	-118	118	6351	53	-118	118	6351	53	-118	118	6351	53	-118	118	6351	53	-118	118	6351	53	-118	118	6351	53	-118	118	6351	53	-118	118	6351	53	-118	118	6351	53	-118	118	6351	53	-118	118	6351	53	-118	118	6351	53	-118	118	6351	53	-118	118	6351	53	-118	118	6351	53	-118	118	6351	53	-118	118	6351	53	-118	118	6351	53	-118	118	6351	53	-118	118	6351	53	-118	118	6351	53	-118	118	6351	53	-118	118	6351
54	-28	28	6379	54	-28	28	6379	54	-28	28	6379	54	-28	28	6379	54	-28	28	6379	54	-28	28	6379	54	-28	28	6379	54	-28	28	6379	54	-28	28	6379	54	-28	28	6379	54	-28	28	6379	54	-28	28	6379	54	-28	28	6379	54	-28	28	6379	54	-28	28	6379	54	-28	28	6379	54	-28	28	6379	54	-28	28	6379	54	-28	28	6379	54	-28	28	6379	54	-28	28	6379	54	-28	28	6379	54	-28	28	6379	54	-28	28	6379	54	-28	28	6379
55	-53	53	6432	55	-53	53	6432	55	-53	53	6432	55	-53	53	6432	55	-53	53	6432	55	-53	53	6432	55	-53	53	6432	55	-53	53	6432	55	-53	53	6432	55	-53	53	6432	55	-53	53	6432	55	-53	53	6432	55	-53	53	6432	55	-53	53	6432	55	-53	53	6432	55	-53	53	6432	55	-53	53	6432	55	-53	53	6432	55	-53	53	6432	55	-53	53	6432	55	-53	53	6432	55	-53	53	6432	55	-53	53	6432	55	-53	53	6432	55	-53	53	6432
56	-55	55	6487	56	-55	55	6487	56	-55	55	6487	56	-55	55	6487	56	-55	55	6487	56	-55	55	6487	56	-55	55	6487	56	-55	55	6487	56	-55	55	6487	56	-55	55	6487	56	-55	55	6487	56	-55	55	6487	56	-55	55	6487	56	-55	55	6487	56	-55	55	6487	56	-55	55	6487	56	-55	55	6487	56	-55	55	6487	56	-55	55	6487	56	-55	55	6487	56	-55	55	6487	56	-55	55	6487	56	-55	55	6487	56	-55	55	6487	56	-55	55	6487
57	-81	81	6568	57	-81	81	6568	57	-81	81	6568	57	-81	81	6568	57	-81	81	6568	57	-81	81	6568	57	-81	81	6568	57	-81	81	6568	57	-81	81	6568	57	-81	81	6568	57	-81	81	6568	57	-81	81	6568	57	-81	81	6568	57	-81	81	6568	57	-81	81	6568	57	-81	81	6568	57	-81	81	6568	57	-81	81	6568	57	-81	81	6568	57	-81	81	6568	57	-81	81	6568	57	-81	81	6568	57	-81	81	6568	57	-81	81	6568	57	-81	81	6568
58	-65	65	6633	58	-65	65	6633	58	-65	65	6633	58	-65	65	6633	58	-65	65	6633	58	-65	65	6633	58	-65	65	6633	58	-65	65	6633	58	-65	65	6633	58	-65	65	6633	58	-65	65	6633	58	-65	65	6633	58	-65	65	6633	58	-65	65	6633	58	-65	65	6633	58	-65	65	6633	58	-65	65	6633	58	-65	65	6633	58	-65	65	6633	58	-65	65	6633	58	-65	65	6633	58	-65	65	6633	58	-65	65	6633	58	-65	65	6633	58	-65	65	6633
59	-38	38	6671	59	-38	38	6671	59	-38	38	6671	59	-38	38	6671	59	-38	38	6671	59	-38	38	6671	59	-38	38	6671	59	-38	38	6671	59	-38	38	6671	59	-38	38	6671	59	-38	38	6671	59	-38	38	6671	59	-38	38	6671	59	-38	38	6671	59	-38	38	6671	59	-38	38	6671	59	-38	38	6671	59	-38	38	6671	59	-38	38	6671	59	-38	38	6671	59	-38	38	6671	59	-38	38	6671	59	-38	38	6671	59	-38	38	6671	59	-38	38	6671
60	-35	35	6706	60	-35	35	6706	60	-35	35	6706	60	-35	35	6706	60	-35	35	6706	60	-35	35	6706	60	-35	35	6706	60	-35	35	6706	60	-35	35	6706	60	-35	35	6706	60	-35	35	6706	60	-35	35	6706	60	-35	35	6706	60	-35	35	6706	60	-35	35	6706	60	-35	35	6706	60	-35	35	6706	60	-35	35	6706	60	-35	35	6706	60	-35	35	6706	60	-35	35	6706	60	-35	35	6706	60	-35	35	6706	60	-35	35	6706	60	-35	35	6706
61	-64	64	6770	61	-64	64	6770	61	-64	64	6770	61	-64	64	6770	61	-64	64	6770	61	-64	64	6770	61	-64	64	6770	61	-64	64	6770	61	-64	64	6770	61	-64	64	6770	61	-64	64	6770	61	-64	64	6770	61	-64	64	6770	61	-64	64	6770	61	-64	64	6770	61	-64	64	6770	61	-64	64	6770	61	-64	64	6770	61	-64	64	6770	61	-64	64	6770	61	-64	64	6770	61	-64	64	6770	61	-64	64	6770	61	-64	64	6770	61	-64	64	6770
62	-136	37	6807	62	-136	37	6807	62	-136	37	6807	62	-136	37	6807	62	-136	37	6807	62	-136	37	6807	62	-136	37	6807	62	-136	37	6807	62	-136	37	6807	62	-136	37	6807	62	-136	37	6807	62	-136	37	6807	62	-136	37	6807	62	-136	37	6807	62	-136	37	6807	62	-136	37	6807	62	-136	37	6807	62	-136	37	6807	62	-136	37	6807	62	-136	37	6807	62	-136	37	6807	62	-136	37	6807	62	-136	37	6807	62	-136	37	6807	62	-136	37	6807
63	-36	36	6843	63	-36	36	6843	63	-36	36	6843	63	-36	36	6843	63	-36	36	6843	63	-36	36	6843	63	-36	36	6843	63	-36	36	6843	63	-36	36	6843	63	-36	36	6843	63	-36	36	6843	63	-36	36	6843	63	-36	36	6843	63	-36	36	6843	63	-36	36	6843	63	-36	36	6843	63	-36	36	6843	63	-36	36	6843	63	-36	36	6843	63	-36	36	6843	63	-36	36	6843	63	-36	36	6843	63	-36	36	6843	63	-36	36	6843	63	-36	36	6843
64	-59	59	6902	64	-59	59	6902	64	-59	59	6902	64	-59	59	6902	64	-59	59	6902	64	-59	59	6902	64	-59	59	6902	64	-59	59	6902	64	-59	59	6902	64	-59	59	6902	64	-59	59	6902	64	-59	59	6902	64	-59	59	6902	64	-59	59	6902	64	-59	59	6902	64	-59	59	6902	64	-59	59	6902	64	-59	59	6902	64	-59	59	6902	64	-59	59	6902	64	-59	59	6902	64	-59	59	6902	64	-59	59	6902	64	-59	59	6902	64	-59	59	6902
65	-29	29	6931	65	-29	29	6931	65	-29	29	6931	65	-29	29	6931	65	-29	29	6931	65	-29	29	6931	65	-29	29	6931	65	-29	29	6931	65	-29	29	6931	65	-29	29	6931	65	-29	29	6931	65	-29	29	6931	65	-29	29	6931	65	-29	29	6931	65	-29	29	6931	65	-29	29	6931	65	-29	29	6931	65	-29	29	6931	65	-29	29	6931	65	-29	29	6931	65	-29	29	6931	65	-29	29	6931	65	-29	29	6931	65	-29	29	6931	65	-29	29	6931
66	-62	62	6993	66	-62	62	6993	66	-62	62	6993	66	-62	62	6993	66	-62	62	6993	66	-62	62	6993	66	-62	62	6993	66	-62	62	6993	66	-62	62	6993	66	-62	62	6993	66	-62	62	6993	66	-62	62	6993	66	-62	62	6993	66	-62	62	6993	66	-62	62	6993	66	-62	62	6993	66	-62	62	6993	66	-62	62	6993	66	-62	62	6993	66	-62	62	6993	66	-62	62	6993	66	-62	62	6993	66	-62	62	6993	66	-62	62	6993	66	-62	62	6993
67	-49	49	7042	67	-49	49	7042	67	-49	49	7042	67	-49	49	7042	67	-49	49	7042	67	-49	49	7042	67	-49	49	7042	67	-49	49	7042	67	-49	49	7042	67	-49	49	7042	67	-49	49	7042	67	-49	49	7042	67	-49	49	7042	67	-49	49	7042	67	-49	49	7042	67	-49	49	7042	67	-49	49	7042	67	-49	49	7042	67	-49	49	7042	67	-49	49	7042	67	-49	49	7042	67	-49	49	7042	67	-49	49	7042	67	-49	49	7042	67	-49	49	7042
68	-38	38	7080	68	-38	38	7080	68	-38	38	7080	68	-38	38	7080	68	-38	38	7080	68	-38	38	7080	68	-38	38	7080	68	-38	38	7080	68	-38	38	7080	68	-38	38	7080	68	-38	38	7080	68	-38	38	7080	68	-38	38	7080	68	-38	38	7080	68	-38	38	7080	68	-38	38	7080	68	-38	38	7080	68	-38	38	7080	68	-38	38	7080	68	-38	38	7080	68	-38	38	7080	68	-38	38	7080	68	-38	38	7080	68	-38	38	7080	68	-38	38	7080
69	-86	86	7166	69	-86	86	7166	69	-86	86	7166	69	-86	86	7166	69	-86	86	7166	69	-86	86	7166	69	-86	86	7166	69	-86	86	7166	69	-86	86	7166	69	-86	86	7166	69	-86	86	7166	69	-86	86	7166	69	-86	86	7166	69	-86	86	7166	69	-86	86	7166	69	-86	86	7166	69	-86	86	7166	69	-86	86	7166	69	-86	86	7166	69	-86	86	7166	69	-86	86	7166	69	-86	86	7166	69	-86	86	7166	69	-86	86	7166	69	-86	86	7166
70	-23	23	7189	70	-23	23	7189	70	-23	23	7189	70	-23	23	7189	70	-23	23	7189	70	-23	23	7189	70	-23	23	7189	70	-23	23	7189	70	-23	23	7189	70	-23	23	7189	70	-23	23	7189	70	-23	23	7189	70	-23	23	7189	70	-23	23	7189	70	-23	23	7189	70	-23	23	7189	70	-23	23	7189	70	-23	23	7189	70	-23	23	7189	70	-23	23	7189	70	-23	23	7189	70	-23	23	7189	70	-23	23	7189	70	-23	23	7189	70	-23	23	7189
71	-52	52	7241	71	-52	52	7241	71	-52	52	7241	71	-52	52	7241	71	-52	52	7241	71	-52	52	7241	71	-52	52	7241	71	-52	52	7241	71	-52	52	7241	71	-52	52	7241	71	-52	52	7241	71	-52	52	7241	71	-52	52	7241	71	-52	52	7241	71	-52	52	7241	71	-52	52	7241	71	-52	52	7241	71	-52	52	7241	71	-52	52	7241	71	-52	52	7241	71	-52	52	7241	71	-52	52	7241	71	-52	52	7241	71	-52	52	7241	71	-52	52	7241
72	-25	25	7266	72	-25	25	7266	72	-25	25	7266	72	-25	25	7266	72	-25	25	7266	72	-25	25	7266	72	-25	25	7266	72	-25	25	7266	72	-25	25	7266	72	-25	25	7266	72	-25	25	7266	72	-25	25	7266	72	-25	25	7266	72	-25	25	7266	72	-25	25	7266	72	-25	25	7266	72	-25	25	7266	72	-25	25	7266	72	-25	25	7266	72	-25	25	7266	72	-25	25	7266	72	-25	25	7266	72	-25	25	7266	72	-25	25	7266	72	-25	25	7266
73	-36	36	7302	73	-36	36	7302	73	-36	36	7302	73	-36	36	7302	73	-36	36	7302	73	-36	36	7302	73	-36	36	7302	73	-36	36	7302	73	-36	36	7302	73	-36	36	7302	73	-36	36	7302	73	-36	36	7302	73	-36	36	7302	73	-36	36	7302	73	-36	36	7302	73	-36	36	7302	73	-36	36	7302	73	-36	36	7302	73	-36	36	7302	73	-36	36	7302	73	-36	36	7302	73	-36	36	7302	73	-36	36	7302	73	-36	36	7302	73	-36	36	7302
74	-32	32	7334	74	-32	32	7334	74	-32	32	7334	74	-32	32	7334	74	-32	32	7334	74	-32	32	7334	74	-32	32	7334	74	-32	32	7334	74	-32	32	7334	74	-32	32	7334	74	-32	32	7334	74	-32	32	7334	74	-32	32	7334	74	-32	32	7334	74	-32	32	7334	74	-32	32	7334	74	-32	32	7334	74	-32	32	7334	74	-32	32	7334	74	-32	32	7334	74	-32	32	7334	74	-32	32	7334	74	-32	32	7334	74	-32	32	7334	74	-32	32	7334
75	-50	50	7384	75	-50	50	7384	75	-50	50	7384	75	-50	50	7384	75	-50	50	7384	75	-50	50	7384	75	-50	50	7384	75	-50	50	7384	75	-50	50	7384	75	-50	50	7384	75	-50	50	7384	75	-50	50	7384	75	-50	50	7384	75	-50	50	7384	75	-50	50	7384	75	-50	50	7384	75	-50	50	7384	75	-50	50	7384	75	-50	50	7384	75	-50	50	7384	75	-50	50	7384	75	-50	50	7384	75	-50	50	7384	75	-50	50	7384	75	-50	50	7384
76	-172	73	7457	76	-172	73	7457	76	-172	73	7457	76	-172	73	7457	76	-172	73	7457	76	-172	73	7457	76	-172	73	7457	76	-172	73	7457	76	-172	73	7457	76	-172	73	7457	76	-172	73	7457	76	-172	73	7457	76	-172	73	7457	76	-172	73	7457	76	-172	73	7457	76	-172	73	7457	76	-172	73	7457	76	-172	73	7457	76	-172	73	7457	76	-172	73	7457	76	-172	73	7457	76	-172	73	7457	76	-172	73	7457	76	-172	73	7457	76	-172	73	7457
77	-143	44	7501	77	-143	44	7501	77	-143	44	7501	77	-143	44	7501	77	-143	44	7501	77	-143	44	7501	77	-143	44	7501	77	-143	44	7501	77	-143	44	7501	77	-143	44	7501	77	-143	44	7501	77	-143	44	7501	77	-143	44	7501	77	-143	44	7501	77	-143	44	7501	77	-143	44	7501	77	-143	44	7501	77	-143	44	7501	77	-143	44	7501	77	-143	44	7501	77	-143	44	7501	77	-143	44	7501	77	-143	44	7501	77	-143	44	7501	77	-143	44	7501
78	-54	54	7555	78	-54	54	7555	78	-54	54	7555	78	-54	54	7555	78	-54	54	7555	78	-54	54	7555	78	-54	54	7555	78	-54	54	7555	78	-54	54	7555	78	-54	54	7555	78	-54	54	7555	78	-54	54	7555	78	-54	54	7555	78	-54	54	7555	78	-54	54	7555	78	-54	54	7555	78	-54	54	7555	78	-54	54	7555	78	-54	54	7555	78	-54	54	7555	78	-54	54	7555	78	-54	54	7555	78	-54	54	7555	78	-54	54	7555	78	-54	54	7555
79	-35	35	7590	79	-35	35	7590	79	-35	35	7590	79	-35	35	7590	79	-35	35	7590	79	-35	35	7590	79	-35	35	7590	79	-35	35	7590	79	-35	35	7590	79	-35	35	7590	79	-35	35	7590	79	-35	35	7590	79	-35	35	7590	79	-35	35	7590	79	-35	35	7590	79	-35	35	7590	79	-35	35	7590	79	-35	35	7590	79	-35	35	7590	79	-35	35	7590	79	-35	35	7590	79	-35	35	7590	79	-35	35	7590	79	-35	35	7590	79	-35	35	7590
80	-32	32	7622	80	-32	32	7622	80	-32	32	7622	80	-32	32	7622	80	-32	32	7622	80	-32	32	7622	80	-32	32	7622	80	-32	32	7622	80	-32	32	7622	80	-32	32	7622	80	-32	32	7622	80	-32	32	7622	80	-32	32	7622	80	-32	32	7622	80	-32	32	7622	80	-32	32	7622	80	-32	32	7622	80	-32	32	7622	80	-32	32	7622	80	-32	32	7622	80	-32	32	7622	80	-32	32	7622	80	-32	32	7622	80	-32	32	7622	80	-32	32	7622
81	-57	57	7679	81	-57	57	7679	81	-57	57	7679	81	-57	57	7679	81	-57	57	7679	81	-57	57	7679	81	-57	57	7679	81	-57	57	7679	81	-57	57	7679	81	-57	57	7679	81	-57	57	7679	81	-57	57	7679	81	-57	57	7679	81	-57	57	7679	81	-57	57	7679	81	-57	57	7679	81	-57	57	7679	81	-57	57	7679	81	-57	57	7679	81	-57	57	7679	81	-57	57	7679	81	-57	57	7679	81	-57	57	7679	81	-57	57	7679	81	-57	57	7679
82	-29	29	7708	82	-29	29	7708	82	-29	29	7708	82	-29	29	7708	82	-29	29	7708	82	-29	29	7708	82	-29	29	7708	82	-29	29	7708	82	-29	29	7708	82	-29	29	7708	82	-29	29	7708	82	-29	29	7708	82	-29	29	7708	82	-29	29	7708	82	-29	29	7708	82	-29	29	7708	82	-29	29	7708	82	-29	29	7708	82	-29	29	7708	82	-29	29	7708	82	-29	29	7708	82	-29	29	7708	82	-29	29	7708	82	-29	29	7708	82	-29	29	7708
83	-30	30	7738	83	-30	30	7738	83	-30	30	7738	83	-30	30	7738	83	-30	30	7738	83	-30	30	7738	83	-30	30	7738	83	-30	30	7738	83	-30	30	7738	83	-30	30	7738	83	-30	30	7738	83	-30	30	7738	83	-30	30	7738	83	-30	30	7738	83	-30	30	7738	83	-30	30	7738	83	-30	30	7738	83	-30	30	7738	83	-30	30	7738	83	-30	30	7738	83	-30	30	7738	83	-30	30	7738	83	-30	30	7738	83	-30	30	7738	83	-30	30	7738
84	-36	36	7774	84	-36	36	7774	84	-36	36	7774	84	-36	36	7774	84	-36	36	7774	84	-36	36	7774	84	-36	36	7774	84	-36	36	7774	84	-36	36	7774	84	-36	36	7774	84	-36	36	7774	84	-36	36	7774	84	-36	36	7774	84	-36	36	7774	84	-36	36	7774	84	-36	36	7774	84	-36	36	7774	84	-36	36	7774	84	-36	36	7774	84	-36	36	7774	84	-36	36	7774	84	-36	36	7774	84	-36	36	7774	84	-36	36	7774	84	-36	36	7774
85	-154	55	7829	85	-154	55	7829	85	-154	55	7829	85	-154	55	7829	85	-154	55	7829	85	-154	55	7829	85	-154	55	7829	85	-154	55	7829	85	-154	55	7829	85	-154	55	7829	85	-154	55	7829	85	-154	55	7829	85	-154	55	7829	85	-154	55	7829	85	-154	55	7829	85	-154	55	7829	85	-154	55	7829	85	-154	55	7829	85	-154	55	7829	85	-154	55	7829	85	-154	55	7829	85	-154	55	7829	85	-154	55	7829	85	-154	55	7829	85	-154	55	7829
86	-39	39	7868	86	-39	39	7868	86	-39	39	7868	86	-39	39	7868	86	-39	39	7868	86	-39	39	7868	86	-39	39	7868	86	-39	39	7868	86	-39	39	7868	86	-39	39	7868	86	-39	39	7868	86	-39	39	7868	86	-39	39	7868	86	-39	39	7868	86	-39	39	7868	86	-39	39	7868	86	-39	39	7868	86	-39	39	7868	86	-39	39	7868	86	-39	39	7868	86	-39	39	7868	86	-39	39	7868	86	-39	39	7868	86	-39	39	7868	86	-39	39	7868
87	-140	41	7909	87	-140	41	7909	87	-140	41	7909	87	-140	41	7909	87	-140	41	7909	87	-140	41	7909	87	-140	41	7909	87	-140	41	7909	87	-140	41	7909	87	-140	41	7909	87	-140	41	7909	87	-140	41	7909	87	-140	41	7909	87	-140	41	7909	87	-140	41	7909	87	-140	41	7909	87	-140	41	7909	87	-140	41	7909	87	-140	41	7909	87	-140	41	7909	87	-140	41	7909	87	-140	41	7909	87	-140	41	7909	87	-140	41	7909	87	-140	41	7909
88	-32	32	7941	88	-32	32	7941	88	-32	32	7941	88	-32	32	7941	88	-32	32	7941	88	-32	32	7941	88	-32	32	7941	88	-32	32	7941	88	-32	32	7941	88	-32	32	7941	88	-32	32	7941	88	-32	32	7941	88	-32	32	7941	88	-32	32	7941	88	-32	32	7941	88	-32	32	7941	88	-32	32	7941	88	-32	32	7941	88	-32	32	7941	88	-32	32	7941	88	-32	32	7941	88	-32	32	7941	88	-32	32	7941	88	-32	32	7941	88	-32	32	7941
89	-70	70	8011	89	-70	70	8011	89	-70	70	8011	89	-70	70	8011	89	-70	70	8011	89	-70	70	8011	89	-70	70	8011	89	-70	70	8011	89	-70	70	8011	89	-70	70	8011	89	-70	70	8011	89	-70	70	8011	89	-70	70	8011	89	-70	70	8011	89	-70	70	8011	89	-70	70	8011	89	-70	70	8011	89	-70	70	8011	89	-70	70	8011	89	-70	70	8011	89	-70	70	8011	89	-70	70	8011	89	-70	70	8011	89	-70	70	8011	89	-70	70	8011
90	-39	39	8050	90	-39	39	8050	90	-39	39	8050	90	-39	39	8050	90	-39	39	8050	90	-39	39	8050	90	-39	39	8050	90	-39	39	8050	90	-39	39	8050	90	-39	39	8050	90	-39	39	8050	90	-39	39	8050	90	-39	39	8050	90	-39	39	8050	90	-39	39	8050	90	-39	39	8050	90	-39	39	8050	90	-39	39	8050	90	-39	39	8050	90	-39	39	8050	90	-39	39	8050	90	-39	39	8050	90	-39	39	8050	90	-39	39	8050	90	-39	39	8050
91	-18	18	8068	91	-18	18	8068	91	-18	18	8068	91	-18	18	8068	91	-18	18	8068	91	-18	18	8068	91	-18	18	8068	91	-18	18	8068	91	-18	18	8068	91	-18	18	8068	91	-18	18	8068	91	-18	18	8068	91	-18	18	8068	91	-18	18	8068	91	-18	18	8068	91	-18	18	8068	91	-18	18	8068	91	-18	18	8068	91	-18	18	8068	91	-18	18	8068	91	-18	18	8068	91	-18	18	8068	91	-18	18	8068	91	-18	18	8068	91	-18	18	8068
92	-39	39	8107	92	-39	39	8107	92	-39	39	8107	92	-39	39	8107	92	-39	39	8107	92	-39	39	8107	92	-39	39	8107	92	-39	39	8107	92	-39	39	8107	92	-39	39	8107	92	-39	39	8107	92	-39	39	8107	92	-39	39	8107	92	-39	39	8107	92	-39	39	8107	92	-39	39	8107	92	-39	39	8107	92	-39	39	8107	92	-39	39	8107	92	-39	39	8107	92	-39	39	8107	92	-39	39	8107	92	-39	39	8107	92	-39	39	8107	92	-39	39	8107
93	-232	34	8141	93	-232	34	8141	93	-232	34	8141	93	-232	34	8141	93	-232	34	8141	93	-232	34	8141	93	-232	34	8141	93	-232	34	8141	93	-232	34	8141	93	-232	34	8141	93	-232	34	8141	93	-232	34	8141	93	-232	34	8141	93	-232	34	8141	93	-232	34	8141	93	-232	34	8141	93	-232	34	8141	93	-232	34	8141	93	-232	34	8141	93	-232	34	8141	93	-232	34	8141	93	-232	34	8141	93	-232	34	8141	93	-232	34	8141	93	-232	34	8141
94	-28	28	8169	94	-28	28	8169	94	-28	28	8169	94	-28	28	8169	94	-28	28	8169	94	-28	28	8169	94	-28	28	8169	94	-28	28	8169	94	-28	28	8169	94	-28	28	8169	94	-28	28	8169	94	-28	28	8169	94	-28	28	8169	94	-28	28	8169	94	-28	28	8169	94	-28	28	8169	94	-28	28	8169	94	-28	28	8169	94	-28	28	8169	94	-28	28	8169	94	-28	28	8169	94	-28	28	8169	94	-28	28	8169	94	-28	28	8169	94	-28	28	8169
95	-46	46	8215	95	-46	46	8215	95	-46	46	8215	95	-46	46	8215	95	-46	46	8215	95	-46	46	8215	95	-46	46	8215	95	-46	46	8215	95	-46	46	8215	95	-46	46	8215	95	-46	46	8215	95	-46	46	8215	95	-46	46	8215	95	-46	46	8215	95	-46	46	8215	95	-46	46	8215	95	-46	46	8215	95	-46	46	8215	95	-46	46	8215	95	-46	46	8215	95	-46	46	8215	95	-46	46	8215	95	-46	46	8215	95	-46	46	8215	95	-46	46	8215
96	-32	32	8247	96	-32	32	8247	96	-32	32	8247	96	-32	32	8247	96	-32	32	8247	96	-32	32	8247	96	-32	32	8247	96	-32	32	8247	96	-32	32	8247	96	-32	32	8247	96	-32	32	8247	96	-32	32	8247	96	-32	32	8247	96	-32	32	8247	96	-32	32	8247	96	-32	32	8247	96	-32	32	8247	96	-32	32	8247	96	-32	32	8247	96	-32	32	8247	96	-32	32	8247	96	-32	32	8247	96	-32	32	8247	96	-32	32	8247	96	-32	32	8247
97	-17	17	8264	97	-17	17	8264	97	-17	17	8264	97	-17	17	8264	97	-17	17	8264	97	-17	17	8264	97	-17	17	8264	97	-17	17	8264	97	-17	17	8264	97	-17	17	8264	97	-17	17	8264	97	-17	17	8264	97	-17	17	8264	97	-17	17	8264	97	-17	17	8264	97	-17	17	8264	97	-17	17	8264	97	-17	17	8264	97	-17	17	8264	97	-17	17	8264	97	-17	17	8264	97	-17	17	8264	97	-17	17	8264	97	-17	17	8264	97	-17	17	8264
98	-34	34	8298	98	-34	34	8298	98	-34	34	8298	98	-34	34	8298	98	-34	34	8298	98	-34	34	8298	98	-34	34	8298	98	-34	34	8298	98	-34	34	8298	98	-34	34	8298	98	-34	34	8298	98	-34	34	8298	98	-34	34	8298	98	-34	34	8298	98	-34	34	8298	98	-34	34	8298	98	-34	34	8298	98	-34	34	8298	98	-34	34	8298	98	-34	34	8298	98	-34	34	8298	98	-34	34	8298	98	-34	34	8298	98	-34	34	8298	98	-34	34	8298
99	-159	60	8358	99	-159	60	8358	99	-159	60	8358	99	-159	60	8358	99	-159	60	8358	99	-159	60	8358	99	-159	60	8358	99	-159	60	8358	99	-159	60	8358	99	-159	60	8358	99	-159	60	8358	99	-159	60	8358	99	-159	60	8358	99	-159	60	8358	99	-159	60	8358	99	-159	60	8358	99	-159	60	8358	99	-159	60	8358	99	-159	60	8358	99	-159	60	8358	99	-159	60	8358	99	-159	60	8358	99	-159	60	8358	99	-159	60	8358	99	-159	60	8358
100	-40	40	8398	100	-40	40	8398	100	-40	40	8398	100	-40	40	8398	100	-40	40	8398	100	-40	40	8398	100	-40	40	8398	100	-40	40	8398	100	-40	40	8398	100	-40	40	8398	100	-40	40	8398	100	-40	40	8398	100	-40	40	8398	100	-40	40	8398	100	-40	40	8398	100	-40	40	8398	100	-40	40	8398	100	-40	40	8398	100	-40	40	8398	100	-40	40	8398	100	-40	40	8398	100	-40	40	8398	100	-40	40	8398	100	-40	40	8398	100	-40	40	8398
101	-34	34	8432	101	-34	34	8432	101	-34	34	8432	101	-34	34	8432	101	-34	34	8432	101	-34	34	8432	101	-34	34	8432	101	-34	34	8432	101	-34	34	8432	101	-34	34	8432	101	-34	34	8432	101	-34	34	8432	101	-34	34	8432	101	-34	34	8432	101	-34	34	8432	101	-34	34	8432	101	-34	34	8432	101	-34	34	8432	101	-34	34	8432	101	-34	34	8432	101	-34	34	8432	101	-34	34	8432	101	-34	34	8432	101	-34	34	8432	101	-34	34	8432
102	-40	40	8472	102	-40	40	8472	102	-40	40	8472	102	-40	40	8472	102	-40	40	8472	102	-40	40	8472	102	-40	40	8472	102	-40	40	8472	102	-40	40	8472	102	-40	40	8472	102	-40	40	8472	102	-40	40	8472	102	-40	40	8472	102	-40	40	8472	102	-40	40	8472	102	-40	40	8472	102	-40	40	8472	102	-40	40	8472	102	-40	40	8472	102	-40	40	8472	102	-40	40	8472	102	-40	40	8472	102	-40	40	8472	102	-40	40	8472	102	-40	40	8472
103	-34	34	8506	103	-34	34	8506	103	-34	34	8506	103	-34	34	8506	103	-34	34	8506	103	-34	34	8506	103	-34	34	8506	103	-34	34	8506	103	-34	34	8506	103	-34	34	8506	103	-34	34	8506	103	-34	34	8506	103	-34	34	8506	103	-34	34	8506	103	-34	34	8506	103	-34	34	8506	103	-34	34	8506	103	-34	34	8506	103	-34	34	8506	103	-34	34	8506	103	-34	34	8506	103	-34	34	8506	103	-34	34	8506	103	-34	34	8506	103	-34	34	8506
104	-27	27	8533	104	-27	27	8533	104	-27	27	8533	104	-27	27	8533	104	-27	27	8533	104	-27	27	8533	104	-27	27	8533	104	-27	27	8533	104	-27	27	8533	104	-27	27	8533	104	-27	27	8533	104	-27	27	8533	104	-27	27	8533	104	-27	27	8533	104	-27	27	8533	104	-27	27	8533	104	-27	27	8533	104	-27	27	8533	104	-27	27	8533	104	-27	27	8533	104	-27	27	8533	104	-27	27	8533	104	-27	27	8533	104	-27	27	8533	104	-27	27	8533
