Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048	124	-17	17	6048
125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070	125	-22	22	6070
126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091	126	-21	21	6091
127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119	127	-28	28	6119
128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142	128	-23	23	6142
129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159	129	-17	17	6159
130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178	130	-19	19	6178
131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195	131	-17	17	6195
132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233	132	-137	38	6233
133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255	133	-22	22	6255
134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272	134	-17	17	6272
135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293	135	-21	21	6293
136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323	136	-30	30	6323
137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342	137	-19	19	6342
138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359	138	-17	17	6359
139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376	139	-17	17	6376
140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399	140	-23	23	6399
141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420	141	-21	21	6420
142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439	142	-19	19	6439
143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461	143	-22	22	6461
144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484	144	-23	23	6484
145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502	145	-18	18	6502
146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523	146	-21	21	6523
147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541	147	-18	18	6541
148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560	148	-19	19	6560
149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586	149	-26	26	6586
