Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
71	-15	15	1200	71	-15	15	1200	71	-15	15	1200	71	-15	15	1200	71	-15	15	1200	71	-15	15	1200	71	-15	15	1200	71	-15	15	1200	71	-15	15	1200	71	-15	15	1200	71	-15	15	1200	71	-15	15	1200	71	-15	15	1200	71	-15	15	1200	71	-15	15	1200	71	-15	15	1200	71	-15	15	1200	71	-15	15	1200	71	-15	15	1200	71	-15	15	1200
72	-13	13	1213	72	-13	13	1213	72	-13	13	1213	72	-13	13	1213	72	-13	13	1213	72	-13	13	1213	72	-13	13	1213	72	-13	13	1213	72	-13	13	1213	72	-13	13	1213	72	-13	13	1213	72	-13	13	1213	72	-13	13	1213	72	-13	13	1213	72	-13	13	1213	72	-13	13	1213	72	-13	13	1213	72	-13	13	1213	72	-13	13	1213	72	-13	13	1213
73	-13	13	1226	73	-13	13	1226	73	-13	13	1226	73	-13	13	1226	73	-13	13	1226	73	-13	13	1226	73	-13	13	1226	73	-13	13	1226	73	-13	13	1226	73	-13	13	1226	73	-13	13	1226	73	-13	13	1226	73	-13	13	1226	73	-13	13	1226	73	-13	13	1226	73	-13	13	1226	73	-13	13	1226	73	-13	13	1226	73	-13	13	1226	73	-13	13	1226
74	-13	13	1239	74	-13	13	1239	74	-13	13	1239	74	-13	13	1239	74	-13	13	1239	74	-13	13	1239	74	-13	13	1239	74	-13	13	1239	74	-13	13	1239	74	-13	13	1239	74	-13	13	1239	74	-13	13	1239	74	-13	13	1239	74	-13	13	1239	74	-13	13	1239	74	-13	13	1239	74	-13	13	1239	74	-13	13	1239	74	-13	13	1239	74	-13	13	1239
75	-13	13	1252	75	-13	13	1252	75	-13	13	1252	75	-13	13	1252	75	-13	13	1252	75	-13	13	1252	75	-13	13	1252	75	-13	13	1252	75	-13	13	1252	75	-13	13	1252	75	-13	13	1252	75	-13	13	1252	75	-13	13	1252	75	-13	13	1252	75	-13	13	1252	75	-13	13	1252	75	-13	13	1252	75	-13	13	1252	75	-13	13	1252	75	-13	13	1252
76	-13	13	1265	76	-13	13	1265	76	-13	13	1265	76	-13	13	1265	76	-13	13	1265	76	-13	13	1265	76	-13	13	1265	76	-13	13	1265	76	-13	13	1265	76	-13	13	1265	76	-13	13	1265	76	-13	13	1265	76	-13	13	1265	76	-13	13	1265	76	-13	13	1265	76	-13	13	1265	76	-13	13	1265	76	-13	13	1265	76	-13	13	1265	76	-13	13	1265
77	-13	13	1278	77	-13	13	1278	77	-13	13	1278	77	-13	13	1278	77	-13	13	1278	77	-13	13	1278	77	-13	13	1278	77	-13	13	1278	77	-13	13	1278	77	-13	13	1278	77	-13	13	1278	77	-13	13	1278	77	-13	13	1278	77	-13	13	1278	77	-13	13	1278	77	-13	13	1278	77	-13	13	1278	77	-13	13	1278	77	-13	13	1278	77	-13	13	1278
78	-14	14	1292	78	-14	14	1292	78	-14	14	1292	78	-14	14	1292	78	-14	14	1292	78	-14	14	1292	78	-14	14	1292	78	-14	14	1292	78	-14	14	1292	78	-14	14	1292	78	-14	14	1292	78	-14	14	1292	78	-14	14	1292	78	-14	14	1292	78	-14	14	1292	78	-14	14	1292	78	-14	14	1292	78	-14	14	1292	78	-14	14	1292	78	-14	14	1292
79	-17	17	1309	79	-17	17	1309	79	-17	17	1309	79	-17	17	1309	79	-17	17	1309	79	-17	17	1309	79	-17	17	1309	79	-17	17	1309	79	-17	17	1309	79	-17	17	1309	79	-17	17	1309	79	-17	17	1309	79	-17	17	1309	79	-17	17	1309	79	-17	17	1309	79	-17	17	1309	79	-17	17	1309	79	-17	17	1309	79	-17	17	1309	79	-17	17	1309
80	-13	13	1322	80	-13	13	1322	80	-13	13	1322	80	-13	13	1322	80	-13	13	1322	80	-13	13	1322	80	-13	13	1322	80	-13	13	1322	80	-13	13	1322	80	-13	13	1322	80	-13	13	1322	80	-13	13	1322	80	-13	13	1322	80	-13	13	1322	80	-13	13	1322	80	-13	13	1322	80	-13	13	1322	80	-13	13	1322	80	-13	13	1322	80	-13	13	1322
81	-13	13	1335	81	-13	13	1335	81	-13	13	1335	81	-13	13	1335	81	-13	13	1335	81	-13	13	1335	81	-13	13	1335	81	-13	13	1335	81	-13	13	1335	81	-13	13	1335	81	-13	13	1335	81	-13	13	1335	81	-13	13	1335	81	-13	13	1335	81	-13	13	1335	81	-13	13	1335	81	-13	13	1335	81	-13	13	1335	81	-13	13	1335	81	-13	13	1335
82	-15	15	1350	82	-15	15	1350	82	-15	15	1350	82	-15	15	1350	82	-15	15	1350	82	-15	15	1350	82	-15	15	1350	82	-15	15	1350	82	-15	15	1350	82	-15	15	1350	82	-15	15	1350	82	-15	15	1350	82	-15	15	1350	82	-15	15	1350	82	-15	15	1350	82	-15	15	1350	82	-15	15	1350	82	-15	15	1350	82	-15	15	1350	82	-15	15	1350
83	-19	19	1369	83	-19	19	1369	83	-19	19	1369	83	-19	19	1369	83	-19	19	1369	83	-19	19	1369	83	-19	19	1369	83	-19	19	1369	83	-19	19	1369	83	-19	19	1369	83	-19	19	1369	83	-19	19	1369	83	-19	19	1369	83	-19	19	1369	83	-19	19	1369	83	-19	19	1369	83	-19	19	1369	83	-19	19	1369	83	-19	19	1369	83	-19	19	1369
84	-116	17	1386	84	-116	17	1386	84	-116	17	1386	84	-116	17	1386	84	-116	17	1386	84	-116	17	1386	84	-116	17	1386	84	-116	17	1386	84	-116	17	1386	84	-116	17	1386	84	-116	17	1386	84	-116	17	1386	84	-116	17	1386	84	-116	17	1386	84	-116	17	1386	84	-116	17	1386	84	-116	17	1386	84	-116	17	1386	84	-116	17	1386	84	-116	17	1386
85	-17	17	1403	85	-17	17	1403	85	-17	17	1403	85	-17	17	1403	85	-17	17	1403	85	-17	17	1403	85	-17	17	1403	85	-17	17	1403	85	-17	17	1403	85	-17	17	1403	85	-17	17	1403	85	-17	17	1403	85	-17	17	1403	85	-17	17	1403	85	-17	17	1403	85	-17	17	1403	85	-17	17	1403	85	-17	17	1403	85	-17	17	1403	85	-17	17	1403
86	-15	15	1418	86	-15	15	1418	86	-15	15	1418	86	-15	15	1418	86	-15	15	1418	86	-15	15	1418	86	-15	15	1418	86	-15	15	1418	86	-15	15	1418	86	-15	15	1418	86	-15	15	1418	86	-15	15	1418	86	-15	15	1418	86	-15	15	1418	86	-15	15	1418	86	-15	15	1418	86	-15	15	1418	86	-15	15	1418	86	-15	15	1418	86	-15	15	1418
87	-227	29	1447	87	-227	29	1447	87	-227	29	1447	87	-227	29	1447	87	-227	29	1447	87	-227	29	1447	87	-227	29	1447	87	-227	29	1447	87	-227	29	1447	87	-227	29	1447	87	-227	29	1447	87	-227	29	1447	87	-227	29	1447	87	-227	29	1447	87	-227	29	1447	87	-227	29	1447	87	-227	29	1447	87	-227	29	1447	87	-227	29	1447	87	-227	29	1447
88	-118	19	1466	88	-118	19	1466	88	-118	19	1466	88	-118	19	1466	88	-118	19	1466	88	-118	19	1466	88	-118	19	1466	88	-118	19	1466	88	-118	19	1466	88	-118	19	1466	88	-118	19	1466	88	-118	19	1466	88	-118	19	1466	88	-118	19	1466	88	-118	19	1466	88	-118	19	1466	88	-118	19	1466	88	-118	19	1466	88	-118	19	1466	88	-118	19	1466
89	-17	17	1483	89	-17	17	1483	89	-17	17	1483	89	-17	17	1483	89	-17	17	1483	89	-17	17	1483	89	-17	17	1483	89	-17	17	1483	89	-17	17	1483	89	-17	17	1483	89	-17	17	1483	89	-17	17	1483	89	-17	17	1483	89	-17	17	1483	89	-17	17	1483	89	-17	17	1483	89	-17	17	1483	89	-17	17	1483	89	-17	17	1483	89	-17	17	1483
90	-15	15	1498	90	-15	15	1498	90	-15	15	1498	90	-15	15	1498	90	-15	15	1498	90	-15	15	1498	90	-15	15	1498	90	-15	15	1498	90	-15	15	1498	90	-15	15	1498	90	-15	15	1498	90	-15	15	1498	90	-15	15	1498	90	-15	15	1498	90	-15	15	1498	90	-15	15	1498	90	-15	15	1498	90	-15	15	1498	90	-15	15	1498	90	-15	15	1498
91	-13	13	1511	91	-13	13	1511	91	-13	13	1511	91	-13	13	1511	91	-13	13	1511	91	-13	13	1511	91	-13	13	1511	91	-13	13	1511	91	-13	13	1511	91	-13	13	1511	91	-13	13	1511	91	-13	13	1511	91	-13	13	1511	91	-13	13	1511	91	-13	13	1511	91	-13	13	1511	91	-13	13	1511	91	-13	13	1511	91	-13	13	1511	91	-13	13	1511
92	-15	15	1526	92	-15	15	1526	92	-15	15	1526	92	-15	15	1526	92	-15	15	1526	92	-15	15	1526	92	-15	15	1526	92	-15	15	1526	92	-15	15	1526	92	-15	15	1526	92	-15	15	1526	92	-15	15	1526	92	-15	15	1526	92	-15	15	1526	92	-15	15	1526	92	-15	15	1526	92	-15	15	1526	92	-15	15	1526	92	-15	15	1526	92	-15	15	1526
93	-15	15	1541	93	-15	15	1541	93	-15	15	1541	93	-15	15	1541	93	-15	15	1541	93	-15	15	1541	93	-15	15	1541	93	-15	15	1541	93	-15	15	1541	93	-15	15	1541	93	-15	15	1541	93	-15	15	1541	93	-15	15	1541	93	-15	15	1541	93	-15	15	1541	93	-15	15	1541	93	-15	15	1541	93	-15	15	1541	93	-15	15	1541	93	-15	15	1541
94	-13	13	1554	94	-13	13	1554	94	-13	13	1554	94	-13	13	1554	94	-13	13	1554	94	-13	13	1554	94	-13	13	1554	94	-13	13	1554	94	-13	13	1554	94	-13	13	1554	94	-13	13	1554	94	-13	13	1554	94	-13	13	1554	94	-13	13	1554	94	-13	13	1554	94	-13	13	1554	94	-13	13	1554	94	-13	13	1554	94	-13	13	1554	94	-13	13	1554
95	-13	13	1567	95	-13	13	1567	95	-13	13	1567	95	-13	13	1567	95	-13	13	1567	95	-13	13	1567	95	-13	13	1567	95	-13	13	1567	95	-13	13	1567	95	-13	13	1567	95	-13	13	1567	95	-13	13	1567	95	-13	13	1567	95	-13	13	1567	95	-13	13	1567	95	-13	13	1567	95	-13	13	1567	95	-13	13	1567	95	-13	13	1567	95	-13	13	1567
96	-13	13	1580	96	-13	13	1580	96	-13	13	1580	96	-13	13	1580	96	-13	13	1580	96	-13	13	1580	96	-13	13	1580	96	-13	13	1580	96	-13	13	1580	96	-13	13	1580	96	-13	13	1580	96	-13	13	1580	96	-13	13	1580	96	-13	13	1580	96	-13	13	1580	96	-13	13	1580	96	-13	13	1580	96	-13	13	1580	96	-13	13	1580	96	-13	13	1580
97	-13	13	1593	97	-13	13	1593	97	-13	13	1593	97	-13	13	1593	97	-13	13	1593	97	-13	13	1593	97	-13	13	1593	97	-13	13	1593	97	-13	13	1593	97	-13	13	1593	97	-13	13	1593	97	-13	13	1593	97	-13	13	1593	97	-13	13	1593	97	-13	13	1593	97	-13	13	1593	97	-13	13	1593	97	-13	13	1593	97	-13	13	1593	97	-13	13	1593
98	-14	14	1607	98	-14	14	1607	98	-14	14	1607	98	-14	14	1607	98	-14	14	1607	98	-14	14	1607	98	-14	14	1607	98	-14	14	1607	98	-14	14	1607	98	-14	14	1607	98	-14	14	1607	98	-14	14	1607	98	-14	14	1607	98	-14	14	1607	98	-14	14	1607	98	-14	14	1607	98	-14	14	1607	98	-14	14	1607	98	-14	14	1607	98	-14	14	1607
99	-118	19	1626	99	-118	19	1626	99	-118	19	1626	99	-118	19	1626	99	-118	19	1626	99	-118	19	1626	99	-118	19	1626	99	-118	19	1626	99	-118	19	1626	99	-118	19	1626	99	-118	19	1626	99	-118	19	1626	99	-118	19	1626	99	-118	19	1626	99	-118	19	1626	99	-118	19	1626	99	-118	19	1626	99	-118	19	1626	99	-118	19	1626	99	-118	19	1626
100	-119	20	1646	100	-119	20	1646	100	-119	20	1646	100	-119	20	1646	100	-119	20	1646	100	-119	20	1646	100	-119	20	1646	100	-119	20	1646	100	-119	20	1646	100	-119	20	1646	100	-119	20	1646	100	-119	20	1646	100	-119	20	1646	100	-119	20	1646	100	-119	20	1646	100	-119	20	1646	100	-119	20	1646	100	-119	20	1646	100	-119	20	1646	100	-119	20	1646
101	-13	13	1659	101	-13	13	1659	101	-13	13	1659	101	-13	13	1659	101	-13	13	1659	101	-13	13	1659	101	-13	13	1659	101	-13	13	1659	101	-13	13	1659	101	-13	13	1659	101	-13	13	1659	101	-13	13	1659	101	-13	13	1659	101	-13	13	1659	101	-13	13	1659	101	-13	13	1659	101	-13	13	1659	101	-13	13	1659	101	-13	13	1659	101	-13	13	1659
102	-120	21	1680	102	-120	21	1680	102	-120	21	1680	102	-120	21	1680	102	-120	21	1680	102	-120	21	1680	102	-120	21	1680	102	-120	21	1680	102	-120	21	1680	102	-120	21	1680	102	-120	21	1680	102	-120	21	1680	102	-120	21	1680	102	-120	21	1680	102	-120	21	1680	102	-120	21	1680	102	-120	21	1680	102	-120	21	1680	102	-120	21	1680	102	-120	21	1680
103	-226	28	1708	103	-226	28	1708	103	-226	28	1708	103	-226	28	1708	103	-226	28	1708	103	-226	28	1708	103	-226	28	1708	103	-226	28	1708	103	-226	28	1708	103	-226	28	1708	103	-226	28	1708	103	-226	28	1708	103	-226	28	1708	103	-226	28	1708	103	-226	28	1708	103	-226	28	1708	103	-226	28	1708	103	-226	28	1708	103	-226	28	1708	103	-226	28	1708
104	-230	32	1740	104	-230	32	1740	104	-230	32	1740	104	-230	32	1740	104	-230	32	1740	104	-230	32	1740	104	-230	32	1740	104	-230	32	1740	104	-230	32	1740	104	-230	32	1740	104	-230	32	1740	104	-230	32	1740	104	-230	32	1740	104	-230	32	1740	104	-230	32	1740	104	-230	32	1740	104	-230	32	1740	104	-230	32	1740	104	-230	32	1740	104	-230	32	1740
105	-14	14	1754	105	-14	14	1754	105	-14	14	1754	105	-14	14	1754	105	-14	14	1754	105	-14	14	1754	105	-14	14	1754	105	-14	14	1754	105	-14	14	1754	105	-14	14	1754	105	-14	14	1754	105	-14	14	1754	105	-14	14	1754	105	-14	14	1754	105	-14	14	1754	105	-14	14	1754	105	-14	14	1754	105	-14	14	1754	105	-14	14	1754	105	-14	14	1754
106	-15	15	1769	106	-15	15	1769	106	-15	15	1769	106	-15	15	1769	106	-15	15	1769	106	-15	15	1769	106	-15	15	1769	106	-15	15	1769	106	-15	15	1769	106	-15	15	1769	106	-15	15	1769	106	-15	15	1769	106	-15	15	1769	106	-15	15	1769	106	-15	15	1769	106	-15	15	1769	106	-15	15	1769	106	-15	15	1769	106	-15	15	1769	106	-15	15	1769
107	-17	17	1786	107	-17	17	1786	107	-17	17	1786	107	-17	17	1786	107	-17	17	1786	107	-17	17	1786	107	-17	17	1786	107	-17	17	1786	107	-17	17	1786	107	-17	17	1786	107	-17	17	1786	107	-17	17	1786	107	-17	17	1786	107	-17	17	1786	107	-17	17	1786	107	-17	17	1786	107	-17	17	1786	107	-17	17	1786	107	-17	17	1786	107	-17	17	1786
108	-13	13	1799	108	-13	13	1799	108	-13	13	1799	108	-13	13	1799	108	-13	13	1799	108	-13	13	1799	108	-13	13	1799	108	-13	13	1799	108	-13	13	1799	108	-13	13	1799	108	-13	13	1799	108	-13	13	1799	108	-13	13	1799	108	-13	13	1799	108	-13	13	1799	108	-13	13	1799	108	-13	13	1799	108	-13	13	1799	108	-13	13	1799	108	-13	13	1799
109	-17	17	1816	109	-17	17	1816	109	-17	17	1816	109	-17	17	1816	109	-17	17	1816	109	-17	17	1816	109	-17	17	1816	109	-17	17	1816	109	-17	17	1816	109	-17	17	1816	109	-17	17	1816	109	-17	17	1816	109	-17	17	1816	109	-17	17	1816	109	-17	17	1816	109	-17	17	1816	109	-17	17	1816	109	-17	17	1816	109	-17	17	1816	109	-17	17	1816
110	-17	17	1833	110	-17	17	1833	110	-17	17	1833	110	-17	17	1833	110	-17	17	1833	110	-17	17	1833	110	-17	17	1833	110	-17	17	1833	110	-17	17	1833	110	-17	17	1833	110	-17	17	1833	110	-17	17	1833	110	-17	17	1833	110	-17	17	1833	110	-17	17	1833	110	-17	17	1833	110	-17	17	1833	110	-17	17	1833	110	-17	17	1833	110	-17	17	1833
111	-17	17	1850	111	-17	17	1850	111	-17	17	1850	111	-17	17	1850	111	-17	17	1850	111	-17	17	1850	111	-17	17	1850	111	-17	17	1850	111	-17	17	1850	111	-17	17	1850	111	-17	17	1850	111	-17	17	1850	111	-17	17	1850	111	-17	17	1850	111	-17	17	1850	111	-17	17	1850	111	-17	17	1850	111	-17	17	1850	111	-17	17	1850	111	-17	17	1850
112	-13	13	1863	112	-13	13	1863	112	-13	13	1863	112	-13	13	1863	112	-13	13	1863	112	-13	13	1863	112	-13	13	1863	112	-13	13	1863	112	-13	13	1863	112	-13	13	1863	112	-13	13	1863	112	-13	13	1863	112	-13	13	1863	112	-13	13	1863	112	-13	13	1863	112	-13	13	1863	112	-13	13	1863	112	-13	13	1863	112	-13	13	1863	112	-13	13	1863
113	-13	13	1876	113	-13	13	1876	113	-13	13	1876	113	-13	13	1876	113	-13	13	1876	113	-13	13	1876	113	-13	13	1876	113	-13	13	1876	113	-13	13	1876	113	-13	13	1876	113	-13	13	1876	113	-13	13	1876	113	-13	13	1876	113	-13	13	1876	113	-13	13	1876	113	-13	13	1876	113	-13	13	1876	113	-13	13	1876	113	-13	13	1876	113	-13	13	1876
114	-227	29	1905	114	-227	29	1905	114	-227	29	1905	114	-227	29	1905	114	-227	29	1905	114	-227	29	1905	114	-227	29	1905	114	-227	29	1905	114	-227	29	1905	114	-227	29	1905	114	-227	29	1905	114	-227	29	1905	114	-227	29	1905	114	-227	29	1905	114	-227	29	1905	114	-227	29	1905	114	-227	29	1905	114	-227	29	1905	114	-227	29	1905	114	-227	29	1905
115	-116	17	1922	115	-116	17	1922	115	-116	17	1922	115	-116	17	1922	115	-116	17	1922	115	-116	17	1922	115	-116	17	1922	115	-116	17	1922	115	-116	17	1922	115	-116	17	1922	115	-116	17	1922	115	-116	17	1922	115	-116	17	1922	115	-116	17	1922	115	-116	17	1922	115	-116	17	1922	115	-116	17	1922	115	-116	17	1922	115	-116	17	1922	115	-116	17	1922
116	-13	13	1935	116	-13	13	1935	116	-13	13	1935	116	-13	13	1935	116	-13	13	1935	116	-13	13	1935	116	-13	13	1935	116	-13	13	1935	116	-13	13	1935	116	-13	13	1935	116	-13	13	1935	116	-13	13	1935	116	-13	13	1935	116	-13	13	1935	116	-13	13	1935	116	-13	13	1935	116	-13	13	1935	116	-13	13	1935	116	-13	13	1935	116	-13	13	1935
117	-13	13	1948	117	-13	13	1948	117	-13	13	1948	117	-13	13	1948	117	-13	13	1948	117	-13	13	1948	117	-13	13	1948	117	-13	13	1948	117	-13	13	1948	117	-13	13	1948	117	-13	13	1948	117	-13	13	1948	117	-13	13	1948	117	-13	13	1948	117	-13	13	1948	117	-13	13	1948	117	-13	13	1948	117	-13	13	1948	117	-13	13	1948	117	-13	13	1948
118	-15	15	1963	118	-15	15	1963	118	-15	15	1963	118	-15	15	1963	118	-15	15	1963	118	-15	15	1963	118	-15	15	1963	118	-15	15	1963	118	-15	15	1963	118	-15	15	1963	118	-15	15	1963	118	-15	15	1963	118	-15	15	1963	118	-15	15	1963	118	-15	15	1963	118	-15	15	1963	118	-15	15	1963	118	-15	15	1963	118	-15	15	1963	118	-15	15	1963
119	-15	15	1978	119	-15	15	1978	119	-15	15	1978	119	-15	15	1978	119	-15	15	1978	119	-15	15	1978	119	-15	15	1978	119	-15	15	1978	119	-15	15	1978	119	-15	15	1978	119	-15	15	1978	119	-15	15	1978	119	-15	15	1978	119	-15	15	1978	119	-15	15	1978	119	-15	15	1978	119	-15	15	1978	119	-15	15	1978	119	-15	15	1978	119	-15	15	1978
120	-124	25	2003	120	-124	25	2003	120	-124	25	2003	120	-124	25	2003	120	-124	25	2003	120	-124	25	2003	120	-124	25	2003	120	-124	25	2003	120	-124	25	2003	120	-124	25	2003	120	-124	25	2003	120	-124	25	2003	120	-124	25	2003	120	-124	25	2003	120	-124	25	2003	120	-124	25	2003	120	-124	25	2003	120	-124	25	2003	120	-124	25	2003	120	-124	25	2003
121	-13	13	2016	121	-13	13	2016	121	-13	13	2016	121	-13	13	2016	121	-13	13	2016	121	-13	13	2016	121	-13	13	2016	121	-13	13	2016	121	-13	13	2016	121	-13	13	2016	121	-13	13	2016	121	-13	13	2016	121	-13	13	2016	121	-13	13	2016	121	-13	13	2016	121	-13	13	2016	121	-13	13	2016	121	-13	13	2016	121	-13	13	2016	121	-13	13	2016
122	-15	15	2031	122	-15	15	2031	122	-15	15	2031	122	-15	15	2031	122	-15	15	2031	122	-15	15	2031	122	-15	15	2031	122	-15	15	2031	122	-15	15	2031	122	-15	15	2031	122	-15	15	2031	122	-15	15	2031	122	-15	15	2031	122	-15	15	2031	122	-15	15	2031	122	-15	15	2031	122	-15	15	2031	122	-15	15	2031	122	-15	15	2031	122	-15	15	2031
123	-17	17	2048	123	-17	17	2048	123	-17	17	2048	123	-17	17	2048	123	-17	17	2048	123	-17	17	2048	123	-17	17	2048	123	-17	17	2048	123	-17	17	2048	123	-17	17	2048	123	-17	17	2048	123	-17	17	2048	123	-17	17	2048	123	-17	17	2048	123	-17	17	2048	123	-17	17	2048	123	-17	17	2048	123	-17	17	2048	123	-17	17	2048	123	-17	17	2048
124	-13	13	2061	124	-13	13	2061	124	-13	13	2061	124	-13	13	2061	124	-13	13	2061	124	-13	13	2061	124	-13	13	2061	124	-13	13	2061	124	-13	13	2061	124	-13	13	2061	124	-13	13	2061	124	-13	13	2061	124	-13	13	2061	124	-13	13	2061	124	-13	13	2061	124	-13	13	2061	124	-13	13	2061	124	-13	13	2061	124	-13	13	2061	124	-13	13	2061
125	-15	15	2076	125	-15	15	2076	125	-15	15	2076	125	-15	15	2076	125	-15	15	2076	125	-15	15	2076	125	-15	15	2076	125	-15	15	2076	125	-15	15	2076	125	-15	15	2076	125	-15	15	2076	125	-15	15	2076	125	-15	15	2076	125	-15	15	2076	125	-15	15	2076	125	-15	15	2076	125	-15	15	2076	125	-15	15	2076	125	-15	15	2076	125	-15	15	2076
126	-228	30	2106	126	-228	30	2106	126	-228	30	2106	126	-228	30	2106	126	-228	30	2106	126	-228	30	2106	126	-228	30	2106	126	-228	30	2106	126	-228	30	2106	126	-228	30	2106	126	-228	30	2106	126	-228	30	2106	126	-228	30	2106	126	-228	30	2106	126	-228	30	2106	126	-228	30	2106	126	-228	30	2106	126	-228	30	2106	126	-228	30	2106	126	-228	30	2106
127	-15	15	2121	127	-15	15	2121	127	-15	15	2121	127	-15	15	2121	127	-15	15	2121	127	-15	15	2121	127	-15	15	2121	127	-15	15	2121	127	-15	15	2121	127	-15	15	2121	127	-15	15	2121	127	-15	15	2121	127	-15	15	2121	127	-15	15	2121	127	-15	15	2121	127	-15	15	2121	127	-15	15	2121	127	-15	15	2121	127	-15	15	2121	127	-15	15	2121
128	-13	13	2134	128	-13	13	2134	128	-13	13	2134	128	-13	13	2134	128	-13	13	2134	128	-13	13	2134	128	-13	13	2134	128	-13	13	2134	128	-13	13	2134	128	-13	13	2134	128	-13	13	2134	128	-13	13	2134	128	-13	13	2134	128	-13	13	2134	128	-13	13	2134	128	-13	13	2134	128	-13	13	2134	128	-13	13	2134	128	-13	13	2134	128	-13	13	2134
129	-15	15	2149	129	-15	15	2149	129	-15	15	2149	129	-15	15	2149	129	-15	15	2149	129	-15	15	2149	129	-15	15	2149	129	-15	15	2149	129	-15	15	2149	129	-15	15	2149	129	-15	15	2149	129	-15	15	2149	129	-15	15	2149	129	-15	15	2149	129	-15	15	2149	129	-15	15	2149	129	-15	15	2149	129	-15	15	2149	129	-15	15	2149	129	-15	15	2149
130	-13	13	2162	130	-13	13	2162	130	-13	13	2162	130	-13	13	2162	130	-13	13	2162	130	-13	13	2162	130	-13	13	2162	130	-13	13	2162	130	-13	13	2162	130	-13	13	2162	130	-13	13	2162	130	-13	13	2162	130	-13	13	2162	130	-13	13	2162	130	-13	13	2162	130	-13	13	2162	130	-13	13	2162	130	-13	13	2162	130	-13	13	2162	130	-13	13	2162
131	-317	20	2182	131	-317	20	2182	131	-317	20	2182	131	-317	20	2182	131	-317	20	2182	131	-317	20	2182	131	-317	20	2182	131	-317	20	2182	131	-317	20	2182	131	-317	20	2182	131	-317	20	2182	131	-317	20	2182	131	-317	20	2182	131	-317	20	2182	131	-317	20	2182	131	-317	20	2182	131	-317	20	2182	131	-317	20	2182	131	-317	20	2182	131	-317	20	2182
132	-13	13	2195	132	-13	13	2195	132	-13	13	2195	132	-13	13	2195	132	-13	13	2195	132	-13	13	2195	132	-13	13	2195	132	-13	13	2195	132	-13	13	2195	132	-13	13	2195	132	-13	13	2195	132	-13	13	2195	132	-13	13	2195	132	-13	13	2195	132	-13	13	2195	132	-13	13	2195	132	-13	13	2195	132	-13	13	2195	132	-13	13	2195	132	-13	13	2195
133	-13	13	2208	133	-13	13	2208	133	-13	13	2208	133	-13	13	2208	133	-13	13	2208	133	-13	13	2208	133	-13	13	2208	133	-13	13	2208	133	-13	13	2208	133	-13	13	2208	133	-13	13	2208	133	-13	13	2208	133	-13	13	2208	133	-13	13	2208	133	-13	13	2208	133	-13	13	2208	133	-13	13	2208	133	-13	13	2208	133	-13	13	2208	133	-13	13	2208
134	-13	13	2221	134	-13	13	2221	134	-13	13	2221	134	-13	13	2221	134	-13	13	2221	134	-13	13	2221	134	-13	13	2221	134	-13	13	2221	134	-13	13	2221	134	-13	13	2221	134	-13	13	2221	134	-13	13	2221	134	-13	13	2221	134	-13	13	2221	134	-13	13	2221	134	-13	13	2221	134	-13	13	2221	134	-13	13	2221	134	-13	13	2221	134	-13	13	2221
135	-13	13	2234	135	-13	13	2234	135	-13	13	2234	135	-13	13	2234	135	-13	13	2234	135	-13	13	2234	135	-13	13	2234	135	-13	13	2234	135	-13	13	2234	135	-13	13	2234	135	-13	13	2234	135	-13	13	2234	135	-13	13	2234	135	-13	13	2234	135	-13	13	2234	135	-13	13	2234	135	-13	13	2234	135	-13	13	2234	135	-13	13	2234	135	-13	13	2234
136	-14	14	2248	136	-14	14	2248	136	-14	14	2248	136	-14	14	2248	136	-14	14	2248	136	-14	14	2248	136	-14	14	2248	136	-14	14	2248	136	-14	14	2248	136	-14	14	2248	136	-14	14	2248	136	-14	14	2248	136	-14	14	2248	136	-14	14	2248	136	-14	14	2248	136	-14	14	2248	136	-14	14	2248	136	-14	14	2248	136	-14	14	2248	136	-14	14	2248
137	-15	15	2263	137	-15	15	2263	137	-15	15	2263	137	-15	15	2263	137	-15	15	2263	137	-15	15	2263	137	-15	15	2263	137	-15	15	2263	137	-15	15	2263	137	-15	15	2263	137	-15	15	2263	137	-15	15	2263	137	-15	15	2263	137	-15	15	2263	137	-15	15	2263	137	-15	15	2263	137	-15	15	2263	137	-15	15	2263	137	-15	15	2263	137	-15	15	2263
138	-13	13	2276	138	-13	13	2276	138	-13	13	2276	138	-13	13	2276	138	-13	13	2276	138	-13	13	2276	138	-13	13	2276	138	-13	13	2276	138	-13	13	2276	138	-13	13	2276	138	-13	13	2276	138	-13	13	2276	138	-13	13	2276	138	-13	13	2276	138	-13	13	2276	138	-13	13	2276	138	-13	13	2276	138	-13	13	2276	138	-13	13	2276	138	-13	13	2276
