Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194	87	-151	52	5194
88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223	88	-29	29	5223
89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250	89	-27	27	5250
90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276	90	-26	26	5276
91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301	91	-25	25	5301
92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336	92	-35	35	5336
93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354	93	-18	18	5354
94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389	94	-35	35	5389
95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418	95	-29	29	5418
96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438	96	-20	20	5438
97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463	97	-25	25	5463
98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488	98	-25	25	5488
99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506	99	-18	18	5506
100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535	100	-29	29	5535
101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560	101	-25	25	5560
102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586	102	-26	26	5586
103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609	103	-23	23	5609
104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633	104	-24	24	5633
105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682	105	-49	49	5682
106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713	106	-31	31	5713
107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732	107	-19	19	5732
108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753	108	-21	21	5753
109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775	109	-22	22	5775
110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797	110	-22	22	5797
111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828	111	-130	31	5828
112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860	112	-32	32	5860
113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882	113	-22	22	5882
114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900	114	-18	18	5900
