Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
84	-17	17	1422	84	-17	17	1422	84	-17	17	1422	84	-17	17	1422	84	-17	17	1422	84	-17	17	1422	84	-17	17	1422	84	-17	17	1422	84	-17	17	1422	84	-17	17	1422	84	-17	17	1422	84	-17	17	1422	84	-17	17	1422	84	-17	17	1422	84	-17	17	1422	84	-17	17	1422	84	-17	17	1422
85	-16	16	1438	85	-16	16	1438	85	-16	16	1438	85	-16	16	1438	85	-16	16	1438	85	-16	16	1438	85	-16	16	1438	85	-16	16	1438	85	-16	16	1438	85	-16	16	1438	85	-16	16	1438	85	-16	16	1438	85	-16	16	1438	85	-16	16	1438	85	-16	16	1438	85	-16	16	1438	85	-16	16	1438
86	-15	15	1453	86	-15	15	1453	86	-15	15	1453	86	-15	15	1453	86	-15	15	1453	86	-15	15	1453	86	-15	15	1453	86	-15	15	1453	86	-15	15	1453	86	-15	15	1453	86	-15	15	1453	86	-15	15	1453	86	-15	15	1453	86	-15	15	1453	86	-15	15	1453	86	-15	15	1453	86	-15	15	1453
87	-13	13	1466	87	-13	13	1466	87	-13	13	1466	87	-13	13	1466	87	-13	13	1466	87	-13	13	1466	87	-13	13	1466	87	-13	13	1466	87	-13	13	1466	87	-13	13	1466	87	-13	13	1466	87	-13	13	1466	87	-13	13	1466	87	-13	13	1466	87	-13	13	1466	87	-13	13	1466	87	-13	13	1466
88	-15	15	1481	88	-15	15	1481	88	-15	15	1481	88	-15	15	1481	88	-15	15	1481	88	-15	15	1481	88	-15	15	1481	88	-15	15	1481	88	-15	15	1481	88	-15	15	1481	88	-15	15	1481	88	-15	15	1481	88	-15	15	1481	88	-15	15	1481	88	-15	15	1481	88	-15	15	1481	88	-15	15	1481
89	-119	20	1501	89	-119	20	1501	89	-119	20	1501	89	-119	20	1501	89	-119	20	1501	89	-119	20	1501	89	-119	20	1501	89	-119	20	1501	89	-119	20	1501	89	-119	20	1501	89	-119	20	1501	89	-119	20	1501	89	-119	20	1501	89	-119	20	1501	89	-119	20	1501	89	-119	20	1501	89	-119	20	1501
90	-15	15	1516	90	-15	15	1516	90	-15	15	1516	90	-15	15	1516	90	-15	15	1516	90	-15	15	1516	90	-15	15	1516	90	-15	15	1516	90	-15	15	1516	90	-15	15	1516	90	-15	15	1516	90	-15	15	1516	90	-15	15	1516	90	-15	15	1516	90	-15	15	1516	90	-15	15	1516	90	-15	15	1516
91	-15	15	1531	91	-15	15	1531	91	-15	15	1531	91	-15	15	1531	91	-15	15	1531	91	-15	15	1531	91	-15	15	1531	91	-15	15	1531	91	-15	15	1531	91	-15	15	1531	91	-15	15	1531	91	-15	15	1531	91	-15	15	1531	91	-15	15	1531	91	-15	15	1531	91	-15	15	1531	91	-15	15	1531
92	-229	31	1562	92	-229	31	1562	92	-229	31	1562	92	-229	31	1562	92	-229	31	1562	92	-229	31	1562	92	-229	31	1562	92	-229	31	1562	92	-229	31	1562	92	-229	31	1562	92	-229	31	1562	92	-229	31	1562	92	-229	31	1562	92	-229	31	1562	92	-229	31	1562	92	-229	31	1562	92	-229	31	1562
93	-13	13	1575	93	-13	13	1575	93	-13	13	1575	93	-13	13	1575	93	-13	13	1575	93	-13	13	1575	93	-13	13	1575	93	-13	13	1575	93	-13	13	1575	93	-13	13	1575	93	-13	13	1575	93	-13	13	1575	93	-13	13	1575	93	-13	13	1575	93	-13	13	1575	93	-13	13	1575	93	-13	13	1575
94	-14	14	1589	94	-14	14	1589	94	-14	14	1589	94	-14	14	1589	94	-14	14	1589	94	-14	14	1589	94	-14	14	1589	94	-14	14	1589	94	-14	14	1589	94	-14	14	1589	94	-14	14	1589	94	-14	14	1589	94	-14	14	1589	94	-14	14	1589	94	-14	14	1589	94	-14	14	1589	94	-14	14	1589
95	-13	13	1602	95	-13	13	1602	95	-13	13	1602	95	-13	13	1602	95	-13	13	1602	95	-13	13	1602	95	-13	13	1602	95	-13	13	1602	95	-13	13	1602	95	-13	13	1602	95	-13	13	1602	95	-13	13	1602	95	-13	13	1602	95	-13	13	1602	95	-13	13	1602	95	-13	13	1602	95	-13	13	1602
96	-13	13	1615	96	-13	13	1615	96	-13	13	1615	96	-13	13	1615	96	-13	13	1615	96	-13	13	1615	96	-13	13	1615	96	-13	13	1615	96	-13	13	1615	96	-13	13	1615	96	-13	13	1615	96	-13	13	1615	96	-13	13	1615	96	-13	13	1615	96	-13	13	1615	96	-13	13	1615	96	-13	13	1615
97	-15	15	1630	97	-15	15	1630	97	-15	15	1630	97	-15	15	1630	97	-15	15	1630	97	-15	15	1630	97	-15	15	1630	97	-15	15	1630	97	-15	15	1630	97	-15	15	1630	97	-15	15	1630	97	-15	15	1630	97	-15	15	1630	97	-15	15	1630	97	-15	15	1630	97	-15	15	1630	97	-15	15	1630
98	-18	18	1648	98	-18	18	1648	98	-18	18	1648	98	-18	18	1648	98	-18	18	1648	98	-18	18	1648	98	-18	18	1648	98	-18	18	1648	98	-18	18	1648	98	-18	18	1648	98	-18	18	1648	98	-18	18	1648	98	-18	18	1648	98	-18	18	1648	98	-18	18	1648	98	-18	18	1648	98	-18	18	1648
99	-13	13	1661	99	-13	13	1661	99	-13	13	1661	99	-13	13	1661	99	-13	13	1661	99	-13	13	1661	99	-13	13	1661	99	-13	13	1661	99	-13	13	1661	99	-13	13	1661	99	-13	13	1661	99	-13	13	1661	99	-13	13	1661	99	-13	13	1661	99	-13	13	1661	99	-13	13	1661	99	-13	13	1661
100	-115	16	1677	100	-115	16	1677	100	-115	16	1677	100	-115	16	1677	100	-115	16	1677	100	-115	16	1677	100	-115	16	1677	100	-115	16	1677	100	-115	16	1677	100	-115	16	1677	100	-115	16	1677	100	-115	16	1677	100	-115	16	1677	100	-115	16	1677	100	-115	16	1677	100	-115	16	1677	100	-115	16	1677
101	-13	13	1690	101	-13	13	1690	101	-13	13	1690	101	-13	13	1690	101	-13	13	1690	101	-13	13	1690	101	-13	13	1690	101	-13	13	1690	101	-13	13	1690	101	-13	13	1690	101	-13	13	1690	101	-13	13	1690	101	-13	13	1690	101	-13	13	1690	101	-13	13	1690	101	-13	13	1690	101	-13	13	1690
102	-13	13	1703	102	-13	13	1703	102	-13	13	1703	102	-13	13	1703	102	-13	13	1703	102	-13	13	1703	102	-13	13	1703	102	-13	13	1703	102	-13	13	1703	102	-13	13	1703	102	-13	13	1703	102	-13	13	1703	102	-13	13	1703	102	-13	13	1703	102	-13	13	1703	102	-13	13	1703	102	-13	13	1703
103	-123	24	1727	103	-123	24	1727	103	-123	24	1727	103	-123	24	1727	103	-123	24	1727	103	-123	24	1727	103	-123	24	1727	103	-123	24	1727	103	-123	24	1727	103	-123	24	1727	103	-123	24	1727	103	-123	24	1727	103	-123	24	1727	103	-123	24	1727	103	-123	24	1727	103	-123	24	1727	103	-123	24	1727
104	-15	15	1742	104	-15	15	1742	104	-15	15	1742	104	-15	15	1742	104	-15	15	1742	104	-15	15	1742	104	-15	15	1742	104	-15	15	1742	104	-15	15	1742	104	-15	15	1742	104	-15	15	1742	104	-15	15	1742	104	-15	15	1742	104	-15	15	1742	104	-15	15	1742	104	-15	15	1742	104	-15	15	1742
105	-15	15	1757	105	-15	15	1757	105	-15	15	1757	105	-15	15	1757	105	-15	15	1757	105	-15	15	1757	105	-15	15	1757	105	-15	15	1757	105	-15	15	1757	105	-15	15	1757	105	-15	15	1757	105	-15	15	1757	105	-15	15	1757	105	-15	15	1757	105	-15	15	1757	105	-15	15	1757	105	-15	15	1757
106	-15	15	1772	106	-15	15	1772	106	-15	15	1772	106	-15	15	1772	106	-15	15	1772	106	-15	15	1772	106	-15	15	1772	106	-15	15	1772	106	-15	15	1772	106	-15	15	1772	106	-15	15	1772	106	-15	15	1772	106	-15	15	1772	106	-15	15	1772	106	-15	15	1772	106	-15	15	1772	106	-15	15	1772
107	-13	13	1785	107	-13	13	1785	107	-13	13	1785	107	-13	13	1785	107	-13	13	1785	107	-13	13	1785	107	-13	13	1785	107	-13	13	1785	107	-13	13	1785	107	-13	13	1785	107	-13	13	1785	107	-13	13	1785	107	-13	13	1785	107	-13	13	1785	107	-13	13	1785	107	-13	13	1785	107	-13	13	1785
108	-15	15	1800	108	-15	15	1800	108	-15	15	1800	108	-15	15	1800	108	-15	15	1800	108	-15	15	1800	108	-15	15	1800	108	-15	15	1800	108	-15	15	1800	108	-15	15	1800	108	-15	15	1800	108	-15	15	1800	108	-15	15	1800	108	-15	15	1800	108	-15	15	1800	108	-15	15	1800	108	-15	15	1800
109	-13	13	1813	109	-13	13	1813	109	-13	13	1813	109	-13	13	1813	109	-13	13	1813	109	-13	13	1813	109	-13	13	1813	109	-13	13	1813	109	-13	13	1813	109	-13	13	1813	109	-13	13	1813	109	-13	13	1813	109	-13	13	1813	109	-13	13	1813	109	-13	13	1813	109	-13	13	1813	109	-13	13	1813
110	-121	22	1835	110	-121	22	1835	110	-121	22	1835	110	-121	22	1835	110	-121	22	1835	110	-121	22	1835	110	-121	22	1835	110	-121	22	1835	110	-121	22	1835	110	-121	22	1835	110	-121	22	1835	110	-121	22	1835	110	-121	22	1835	110	-121	22	1835	110	-121	22	1835	110	-121	22	1835	110	-121	22	1835
111	-19	19	1854	111	-19	19	1854	111	-19	19	1854	111	-19	19	1854	111	-19	19	1854	111	-19	19	1854	111	-19	19	1854	111	-19	19	1854	111	-19	19	1854	111	-19	19	1854	111	-19	19	1854	111	-19	19	1854	111	-19	19	1854	111	-19	19	1854	111	-19	19	1854	111	-19	19	1854	111	-19	19	1854
112	-15	15	1869	112	-15	15	1869	112	-15	15	1869	112	-15	15	1869	112	-15	15	1869	112	-15	15	1869	112	-15	15	1869	112	-15	15	1869	112	-15	15	1869	112	-15	15	1869	112	-15	15	1869	112	-15	15	1869	112	-15	15	1869	112	-15	15	1869	112	-15	15	1869	112	-15	15	1869	112	-15	15	1869
113	-15	15	1884	113	-15	15	1884	113	-15	15	1884	113	-15	15	1884	113	-15	15	1884	113	-15	15	1884	113	-15	15	1884	113	-15	15	1884	113	-15	15	1884	113	-15	15	1884	113	-15	15	1884	113	-15	15	1884	113	-15	15	1884	113	-15	15	1884	113	-15	15	1884	113	-15	15	1884	113	-15	15	1884
114	-13	13	1897	114	-13	13	1897	114	-13	13	1897	114	-13	13	1897	114	-13	13	1897	114	-13	13	1897	114	-13	13	1897	114	-13	13	1897	114	-13	13	1897	114	-13	13	1897	114	-13	13	1897	114	-13	13	1897	114	-13	13	1897	114	-13	13	1897	114	-13	13	1897	114	-13	13	1897	114	-13	13	1897
115	-13	13	1910	115	-13	13	1910	115	-13	13	1910	115	-13	13	1910	115	-13	13	1910	115	-13	13	1910	115	-13	13	1910	115	-13	13	1910	115	-13	13	1910	115	-13	13	1910	115	-13	13	1910	115	-13	13	1910	115	-13	13	1910	115	-13	13	1910	115	-13	13	1910	115	-13	13	1910	115	-13	13	1910
116	-15	15	1925	116	-15	15	1925	116	-15	15	1925	116	-15	15	1925	116	-15	15	1925	116	-15	15	1925	116	-15	15	1925	116	-15	15	1925	116	-15	15	1925	116	-15	15	1925	116	-15	15	1925	116	-15	15	1925	116	-15	15	1925	116	-15	15	1925	116	-15	15	1925	116	-15	15	1925	116	-15	15	1925
117	-13	13	1938	117	-13	13	1938	117	-13	13	1938	117	-13	13	1938	117	-13	13	1938	117	-13	13	1938	117	-13	13	1938	117	-13	13	1938	117	-13	13	1938	117	-13	13	1938	117	-13	13	1938	117	-13	13	1938	117	-13	13	1938	117	-13	13	1938	117	-13	13	1938	117	-13	13	1938	117	-13	13	1938
118	-13	13	1951	118	-13	13	1951	118	-13	13	1951	118	-13	13	1951	118	-13	13	1951	118	-13	13	1951	118	-13	13	1951	118	-13	13	1951	118	-13	13	1951	118	-13	13	1951	118	-13	13	1951	118	-13	13	1951	118	-13	13	1951	118	-13	13	1951	118	-13	13	1951	118	-13	13	1951	118	-13	13	1951
119	-123	24	1975	119	-123	24	1975	119	-123	24	1975	119	-123	24	1975	119	-123	24	1975	119	-123	24	1975	119	-123	24	1975	119	-123	24	1975	119	-123	24	1975	119	-123	24	1975	119	-123	24	1975	119	-123	24	1975	119	-123	24	1975	119	-123	24	1975	119	-123	24	1975	119	-123	24	1975	119	-123	24	1975
120	-17	17	1992	120	-17	17	1992	120	-17	17	1992	120	-17	17	1992	120	-17	17	1992	120	-17	17	1992	120	-17	17	1992	120	-17	17	1992	120	-17	17	1992	120	-17	17	1992	120	-17	17	1992	120	-17	17	1992	120	-17	17	1992	120	-17	17	1992	120	-17	17	1992	120	-17	17	1992	120	-17	17	1992
121	-13	13	2005	121	-13	13	2005	121	-13	13	2005	121	-13	13	2005	121	-13	13	2005	121	-13	13	2005	121	-13	13	2005	121	-13	13	2005	121	-13	13	2005	121	-13	13	2005	121	-13	13	2005	121	-13	13	2005	121	-13	13	2005	121	-13	13	2005	121	-13	13	2005	121	-13	13	2005	121	-13	13	2005
122	-15	15	2020	122	-15	15	2020	122	-15	15	2020	122	-15	15	2020	122	-15	15	2020	122	-15	15	2020	122	-15	15	2020	122	-15	15	2020	122	-15	15	2020	122	-15	15	2020	122	-15	15	2020	122	-15	15	2020	122	-15	15	2020	122	-15	15	2020	122	-15	15	2020	122	-15	15	2020	122	-15	15	2020
123	-13	13	2033	123	-13	13	2033	123	-13	13	2033	123	-13	13	2033	123	-13	13	2033	123	-13	13	2033	123	-13	13	2033	123	-13	13	2033	123	-13	13	2033	123	-13	13	2033	123	-13	13	2033	123	-13	13	2033	123	-13	13	2033	123	-13	13	2033	123	-13	13	2033	123	-13	13	2033	123	-13	13	2033
124	-237	39	2072	124	-237	39	2072	124	-237	39	2072	124	-237	39	2072	124	-237	39	2072	124	-237	39	2072	124	-237	39	2072	124	-237	39	2072	124	-237	39	2072	124	-237	39	2072	124	-237	39	2072	124	-237	39	2072	124	-237	39	2072	124	-237	39	2072	124	-237	39	2072	124	-237	39	2072	124	-237	39	2072
125	-14	14	2086	125	-14	14	2086	125	-14	14	2086	125	-14	14	2086	125	-14	14	2086	125	-14	14	2086	125	-14	14	2086	125	-14	14	2086	125	-14	14	2086	125	-14	14	2086	125	-14	14	2086	125	-14	14	2086	125	-14	14	2086	125	-14	14	2086	125	-14	14	2086	125	-14	14	2086	125	-14	14	2086
126	-15	15	2101	126	-15	15	2101	126	-15	15	2101	126	-15	15	2101	126	-15	15	2101	126	-15	15	2101	126	-15	15	2101	126	-15	15	2101	126	-15	15	2101	126	-15	15	2101	126	-15	15	2101	126	-15	15	2101	126	-15	15	2101	126	-15	15	2101	126	-15	15	2101	126	-15	15	2101	126	-15	15	2101
127	-13	13	2114	127	-13	13	2114	127	-13	13	2114	127	-13	13	2114	127	-13	13	2114	127	-13	13	2114	127	-13	13	2114	127	-13	13	2114	127	-13	13	2114	127	-13	13	2114	127	-13	13	2114	127	-13	13	2114	127	-13	13	2114	127	-13	13	2114	127	-13	13	2114	127	-13	13	2114	127	-13	13	2114
128	-116	17	2131	128	-116	17	2131	128	-116	17	2131	128	-116	17	2131	128	-116	17	2131	128	-116	17	2131	128	-116	17	2131	128	-116	17	2131	128	-116	17	2131	128	-116	17	2131	128	-116	17	2131	128	-116	17	2131	128	-116	17	2131	128	-116	17	2131	128	-116	17	2131	128	-116	17	2131	128	-116	17	2131
129	-15	15	2146	129	-15	15	2146	129	-15	15	2146	129	-15	15	2146	129	-15	15	2146	129	-15	15	2146	129	-15	15	2146	129	-15	15	2146	129	-15	15	2146	129	-15	15	2146	129	-15	15	2146	129	-15	15	2146	129	-15	15	2146	129	-15	15	2146	129	-15	15	2146	129	-15	15	2146	129	-15	15	2146
130	-123	24	2170	130	-123	24	2170	130	-123	24	2170	130	-123	24	2170	130	-123	24	2170	130	-123	24	2170	130	-123	24	2170	130	-123	24	2170	130	-123	24	2170	130	-123	24	2170	130	-123	24	2170	130	-123	24	2170	130	-123	24	2170	130	-123	24	2170	130	-123	24	2170	130	-123	24	2170	130	-123	24	2170
131	-13	13	2183	131	-13	13	2183	131	-13	13	2183	131	-13	13	2183	131	-13	13	2183	131	-13	13	2183	131	-13	13	2183	131	-13	13	2183	131	-13	13	2183	131	-13	13	2183	131	-13	13	2183	131	-13	13	2183	131	-13	13	2183	131	-13	13	2183	131	-13	13	2183	131	-13	13	2183	131	-13	13	2183
132	-115	16	2199	132	-115	16	2199	132	-115	16	2199	132	-115	16	2199	132	-115	16	2199	132	-115	16	2199	132	-115	16	2199	132	-115	16	2199	132	-115	16	2199	132	-115	16	2199	132	-115	16	2199	132	-115	16	2199	132	-115	16	2199	132	-115	16	2199	132	-115	16	2199	132	-115	16	2199	132	-115	16	2199
133	-17	17	2216	133	-17	17	2216	133	-17	17	2216	133	-17	17	2216	133	-17	17	2216	133	-17	17	2216	133	-17	17	2216	133	-17	17	2216	133	-17	17	2216	133	-17	17	2216	133	-17	17	2216	133	-17	17	2216	133	-17	17	2216	133	-17	17	2216	133	-17	17	2216	133	-17	17	2216	133	-17	17	2216
134	-13	13	2229	134	-13	13	2229	134	-13	13	2229	134	-13	13	2229	134	-13	13	2229	134	-13	13	2229	134	-13	13	2229	134	-13	13	2229	134	-13	13	2229	134	-13	13	2229	134	-13	13	2229	134	-13	13	2229	134	-13	13	2229	134	-13	13	2229	134	-13	13	2229	134	-13	13	2229	134	-13	13	2229
135	-119	20	2249	135	-119	20	2249	135	-119	20	2249	135	-119	20	2249	135	-119	20	2249	135	-119	20	2249	135	-119	20	2249	135	-119	20	2249	135	-119	20	2249	135	-119	20	2249	135	-119	20	2249	135	-119	20	2249	135	-119	20	2249	135	-119	20	2249	135	-119	20	2249	135	-119	20	2249	135	-119	20	2249
136	-324	27	2276	136	-324	27	2276	136	-324	27	2276	136	-324	27	2276	136	-324	27	2276	136	-324	27	2276	136	-324	27	2276	136	-324	27	2276	136	-324	27	2276	136	-324	27	2276	136	-324	27	2276	136	-324	27	2276	136	-324	27	2276	136	-324	27	2276	136	-324	27	2276	136	-324	27	2276	136	-324	27	2276
137	-13	13	2289	137	-13	13	2289	137	-13	13	2289	137	-13	13	2289	137	-13	13	2289	137	-13	13	2289	137	-13	13	2289	137	-13	13	2289	137	-13	13	2289	137	-13	13	2289	137	-13	13	2289	137	-13	13	2289	137	-13	13	2289	137	-13	13	2289	137	-13	13	2289	137	-13	13	2289	137	-13	13	2289
138	-15	15	2304	138	-15	15	2304	138	-15	15	2304	138	-15	15	2304	138	-15	15	2304	138	-15	15	2304	138	-15	15	2304	138	-15	15	2304	138	-15	15	2304	138	-15	15	2304	138	-15	15	2304	138	-15	15	2304	138	-15	15	2304	138	-15	15	2304	138	-15	15	2304	138	-15	15	2304	138	-15	15	2304
139	-17	17	2321	139	-17	17	2321	139	-17	17	2321	139	-17	17	2321	139	-17	17	2321	139	-17	17	2321	139	-17	17	2321	139	-17	17	2321	139	-17	17	2321	139	-17	17	2321	139	-17	17	2321	139	-17	17	2321	139	-17	17	2321	139	-17	17	2321	139	-17	17	2321	139	-17	17	2321	139	-17	17	2321
140	-15	15	2336	140	-15	15	2336	140	-15	15	2336	140	-15	15	2336	140	-15	15	2336	140	-15	15	2336	140	-15	15	2336	140	-15	15	2336	140	-15	15	2336	140	-15	15	2336	140	-15	15	2336	140	-15	15	2336	140	-15	15	2336	140	-15	15	2336	140	-15	15	2336	140	-15	15	2336	140	-15	15	2336
141	-13	13	2349	141	-13	13	2349	141	-13	13	2349	141	-13	13	2349	141	-13	13	2349	141	-13	13	2349	141	-13	13	2349	141	-13	13	2349	141	-13	13	2349	141	-13	13	2349	141	-13	13	2349	141	-13	13	2349	141	-13	13	2349	141	-13	13	2349	141	-13	13	2349	141	-13	13	2349	141	-13	13	2349
142	-17	17	2366	142	-17	17	2366	142	-17	17	2366	142	-17	17	2366	142	-17	17	2366	142	-17	17	2366	142	-17	17	2366	142	-17	17	2366	142	-17	17	2366	142	-17	17	2366	142	-17	17	2366	142	-17	17	2366	142	-17	17	2366	142	-17	17	2366	142	-17	17	2366	142	-17	17	2366	142	-17	17	2366
143	-13	13	2379	143	-13	13	2379	143	-13	13	2379	143	-13	13	2379	143	-13	13	2379	143	-13	13	2379	143	-13	13	2379	143	-13	13	2379	143	-13	13	2379	143	-13	13	2379	143	-13	13	2379	143	-13	13	2379	143	-13	13	2379	143	-13	13	2379	143	-13	13	2379	143	-13	13	2379	143	-13	13	2379
144	-19	19	2398	144	-19	19	2398	144	-19	19	2398	144	-19	19	2398	144	-19	19	2398	144	-19	19	2398	144	-19	19	2398	144	-19	19	2398	144	-19	19	2398	144	-19	19	2398	144	-19	19	2398	144	-19	19	2398	144	-19	19	2398	144	-19	19	2398	144	-19	19	2398	144	-19	19	2398	144	-19	19	2398
145	-13	13	2411	145	-13	13	2411	145	-13	13	2411	145	-13	13	2411	145	-13	13	2411	145	-13	13	2411	145	-13	13	2411	145	-13	13	2411	145	-13	13	2411	145	-13	13	2411	145	-13	13	2411	145	-13	13	2411	145	-13	13	2411	145	-13	13	2411	145	-13	13	2411	145	-13	13	2411	145	-13	13	2411
146	-17	17	2428	146	-17	17	2428	146	-17	17	2428	146	-17	17	2428	146	-17	17	2428	146	-17	17	2428	146	-17	17	2428	146	-17	17	2428	146	-17	17	2428	146	-17	17	2428	146	-17	17	2428	146	-17	17	2428	146	-17	17	2428	146	-17	17	2428	146	-17	17	2428	146	-17	17	2428	146	-17	17	2428
147	-113	14	2442	147	-113	14	2442	147	-113	14	2442	147	-113	14	2442	147	-113	14	2442	147	-113	14	2442	147	-113	14	2442	147	-113	14	2442	147	-113	14	2442	147	-113	14	2442	147	-113	14	2442	147	-113	14	2442	147	-113	14	2442	147	-113	14	2442	147	-113	14	2442	147	-113	14	2442	147	-113	14	2442
148	-13	13	2455	148	-13	13	2455	148	-13	13	2455	148	-13	13	2455	148	-13	13	2455	148	-13	13	2455	148	-13	13	2455	148	-13	13	2455	148	-13	13	2455	148	-13	13	2455	148	-13	13	2455	148	-13	13	2455	148	-13	13	2455	148	-13	13	2455	148	-13	13	2455	148	-13	13	2455	148	-13	13	2455
149	-118	19	2474	149	-118	19	2474	149	-118	19	2474	149	-118	19	2474	149	-118	19	2474	149	-118	19	2474	149	-118	19	2474	149	-118	19	2474	149	-118	19	2474	149	-118	19	2474	149	-118	19	2474	149	-118	19	2474	149	-118	19	2474	149	-118	19	2474	149	-118	19	2474	149	-118	19	2474	149	-118	19	2474
150	-13	13	2487	150	-13	13	2487	150	-13	13	2487	150	-13	13	2487	150	-13	13	2487	150	-13	13	2487	150	-13	13	2487	150	-13	13	2487	150	-13	13	2487	150	-13	13	2487	150	-13	13	2487	150	-13	13	2487	150	-13	13	2487	150	-13	13	2487	150	-13	13	2487	150	-13	13	2487	150	-13	13	2487
151	-15	15	2502	151	-15	15	2502	151	-15	15	2502	151	-15	15	2502	151	-15	15	2502	151	-15	15	2502	151	-15	15	2502	151	-15	15	2502	151	-15	15	2502	151	-15	15	2502	151	-15	15	2502	151	-15	15	2502	151	-15	15	2502	151	-15	15	2502	151	-15	15	2502	151	-15	15	2502	151	-15	15	2502
152	-129	30	2532	152	-129	30	2532	152	-129	30	2532	152	-129	30	2532	152	-129	30	2532	152	-129	30	2532	152	-129	30	2532	152	-129	30	2532	152	-129	30	2532	152	-129	30	2532	152	-129	30	2532	152	-129	30	2532	152	-129	30	2532	152	-129	30	2532	152	-129	30	2532	152	-129	30	2532	152	-129	30	2532
153	-17	17	2549	153	-17	17	2549	153	-17	17	2549	153	-17	17	2549	153	-17	17	2549	153	-17	17	2549	153	-17	17	2549	153	-17	17	2549	153	-17	17	2549	153	-17	17	2549	153	-17	17	2549	153	-17	17	2549	153	-17	17	2549	153	-17	17	2549	153	-17	17	2549	153	-17	17	2549	153	-17	17	2549
154	-122	23	2572	154	-122	23	2572	154	-122	23	2572	154	-122	23	2572	154	-122	23	2572	154	-122	23	2572	154	-122	23	2572	154	-122	23	2572	154	-122	23	2572	154	-122	23	2572	154	-122	23	2572	154	-122	23	2572	154	-122	23	2572	154	-122	23	2572	154	-122	23	2572	154	-122	23	2572	154	-122	23	2572
155	-13	13	2585	155	-13	13	2585	155	-13	13	2585	155	-13	13	2585	155	-13	13	2585	155	-13	13	2585	155	-13	13	2585	155	-13	13	2585	155	-13	13	2585	155	-13	13	2585	155	-13	13	2585	155	-13	13	2585	155	-13	13	2585	155	-13	13	2585	155	-13	13	2585	155	-13	13	2585	155	-13	13	2585
156	-13	13	2598	156	-13	13	2598	156	-13	13	2598	156	-13	13	2598	156	-13	13	2598	156	-13	13	2598	156	-13	13	2598	156	-13	13	2598	156	-13	13	2598	156	-13	13	2598	156	-13	13	2598	156	-13	13	2598	156	-13	13	2598	156	-13	13	2598	156	-13	13	2598	156	-13	13	2598	156	-13	13	2598
157	-13	13	2611	157	-13	13	2611	157	-13	13	2611	157	-13	13	2611	157	-13	13	2611	157	-13	13	2611	157	-13	13	2611	157	-13	13	2611	157	-13	13	2611	157	-13	13	2611	157	-13	13	2611	157	-13	13	2611	157	-13	13	2611	157	-13	13	2611	157	-13	13	2611	157	-13	13	2611	157	-13	13	2611
158	-119	20	2631	158	-119	20	2631	158	-119	20	2631	158	-119	20	2631	158	-119	20	2631	158	-119	20	2631	158	-119	20	2631	158	-119	20	2631	158	-119	20	2631	158	-119	20	2631	158	-119	20	2631	158	-119	20	2631	158	-119	20	2631	158	-119	20	2631	158	-119	20	2631	158	-119	20	2631	158	-119	20	2631
159	-15	15	2646	159	-15	15	2646	159	-15	15	2646	159	-15	15	2646	159	-15	15	2646	159	-15	15	2646	159	-15	15	2646	159	-15	15	2646	159	-15	15	2646	159	-15	15	2646	159	-15	15	2646	159	-15	15	2646	159	-15	15	2646	159	-15	15	2646	159	-15	15	2646	159	-15	15	2646	159	-15	15	2646
160	-17	17	2663	160	-17	17	2663	160	-17	17	2663	160	-17	17	2663	160	-17	17	2663	160	-17	17	2663	160	-17	17	2663	160	-17	17	2663	160	-17	17	2663	160	-17	17	2663	160	-17	17	2663	160	-17	17	2663	160	-17	17	2663	160	-17	17	2663	160	-17	17	2663	160	-17	17	2663	160	-17	17	2663
161	-19	19	2682	161	-19	19	2682	161	-19	19	2682	161	-19	19	2682	161	-19	19	2682	161	-19	19	2682	161	-19	19	2682	161	-19	19	2682	161	-19	19	2682	161	-19	19	2682	161	-19	19	2682	161	-19	19	2682	161	-19	19	2682	161	-19	19	2682	161	-19	19	2682	161	-19	19	2682	161	-19	19	2682
162	-15	15	2697	162	-15	15	2697	162	-15	15	2697	162	-15	15	2697	162	-15	15	2697	162	-15	15	2697	162	-15	15	2697	162	-15	15	2697	162	-15	15	2697	162	-15	15	2697	162	-15	15	2697	162	-15	15	2697	162	-15	15	2697	162	-15	15	2697	162	-15	15	2697	162	-15	15	2697	162	-15	15	2697
163	-13	13	2710	163	-13	13	2710	163	-13	13	2710	163	-13	13	2710	163	-13	13	2710	163	-13	13	2710	163	-13	13	2710	163	-13	13	2710	163	-13	13	2710	163	-13	13	2710	163	-13	13	2710	163	-13	13	2710	163	-13	13	2710	163	-13	13	2710	163	-13	13	2710	163	-13	13	2710	163	-13	13	2710
